trading_session,rth_open,rth_high,rth_low,rth_close,rth_range,rth_close_position,first_30m_direction,first_30m_range,first_60m_direction,first_60m_range,morning_trend_proxy,afternoon_trend_proxy,full_day_trend_proxy,intraday_reversal_proxy,range_day_proxy,high_volatility_bucket,low_volatility_bucket,volatility_bucket,power_hour_range,power_hour_direction,power_hour_expansion,lunch_range,lunch_expansion,lunch_compression,prior_rth_close_relation,prior_rth_midpoint_relation,prior_rth_high_low_interaction_flag
2023-01-03,11119.5,11181.75,10844.25,10942.5,337.5,0.291111,down,190.75,down,256.5,True,False,False,False,False,True,False,high,102.0,up,False,70.25,False,False,unknown,unknown,False
2023-01-04,11033.75,11068.0,10863.25,10996.5,204.75,0.650794,down,92.5,down,183.5,False,False,False,False,False,False,False,normal,121.75,up,True,75.5,True,False,above,above,False
2023-01-05,10922.25,10927.25,10804.75,10820.25,122.5,0.126531,down,111.25,down,112.5,True,False,True,False,False,False,True,low,89.5,down,True,51.75,True,False,below,below,True
2023-01-06,10890.5,11166.0,10766.5,11114.25,399.5,0.870463,down,178.5,up,178.5,False,False,True,False,False,True,False,high,61.25,up,False,73.0,False,False,above,above,True
2023-01-09,11199.5,11385.5,11161.0,11187.75,224.5,0.119154,up,117.25,up,130.75,True,True,True,True,False,False,False,normal,114.5,down,True,50.25,False,False,above,above,True
2023-01-10,11143.0,11286.0,11120.75,11285.5,165.25,0.996974,up,108.5,up,145.5,False,True,True,False,False,False,True,low,53.5,down,False,76.75,True,False,below,below,True
2023-01-11,11323.75,11479.5,11290.75,11476.0,188.75,0.981457,up,73.25,up,97.25,False,True,True,False,False,False,False,normal,49.5,up,False,61.25,False,False,above,above,True
2023-01-12,11490.25,11575.25,11311.0,11531.25,264.25,0.833491,down,207.5,down,207.5,False,False,True,False,False,False,False,normal,59.0,down,False,135.0,True,False,above,above,True
2023-01-13,11424.5,11619.25,11408.5,11607.75,210.75,0.945433,up,69.25,up,113.5,False,True,True,False,False,False,False,normal,65.0,up,False,74.75,True,False,below,below,True
2023-01-16,11590.5,11611.0,11560.5,11564.25,50.5,0.074257,up,22.5,down,29.5,True,False,True,False,False,False,True,low,0.0,flat,False,26.5,True,False,below,above,False
2023-01-17,11598.5,11685.0,11549.25,11627.0,135.75,0.572744,up,77.75,up,135.75,False,False,False,False,True,False,True,low,29.25,up,False,54.5,True,False,above,above,True
2023-01-18,11694.75,11759.5,11470.75,11479.5,288.75,0.030303,up,54.75,up,87.25,True,False,True,False,False,False,False,normal,58.0,down,False,57.0,False,False,above,above,True
2023-01-19,11407.5,11454.5,11308.5,11360.5,146.0,0.356164,down,97.75,down,97.75,True,False,False,False,True,False,True,low,66.25,down,True,63.25,True,False,below,below,True
2023-01-20,11428.25,11686.0,11383.0,11675.75,303.0,0.966172,up,90.0,up,108.5,False,True,True,False,False,True,False,high,73.5,up,False,39.75,False,True,above,above,True
2023-01-23,11704.0,11983.0,11671.75,11931.25,311.25,0.833735,up,149.75,up,187.75,True,False,True,False,False,True,False,high,80.75,down,False,43.75,False,True,above,above,True
2023-01-24,11860.0,11951.75,11838.0,11905.5,113.75,0.593407,up,111.75,up,113.75,True,False,False,False,True,False,True,low,62.25,down,True,51.75,True,False,below,above,False
2023-01-25,11712.5,11902.5,11604.5,11875.0,298.0,0.907718,down,101.5,down,109.5,False,True,True,True,False,True,False,high,77.25,up,False,69.0,False,False,below,below,True
2023-01-26,12017.75,12111.5,11904.0,12104.75,207.5,0.96747,down,128.0,up,128.0,False,True,True,False,False,False,False,normal,53.5,up,False,83.0,True,False,above,above,True
2023-01-27,12047.0,12308.0,12041.75,12223.0,266.25,0.680751,up,105.25,up,150.75,True,False,False,False,False,False,False,normal,52.75,up,False,89.0,False,False,below,above,True
2023-01-30,12082.75,12143.5,11960.0,11971.0,183.5,0.059946,up,72.25,down,116.0,False,False,True,False,False,False,False,normal,54.0,down,False,66.0,True,False,below,below,True
2023-01-31,11974.25,12156.0,11969.25,12153.75,186.75,0.987952,up,86.0,up,92.0,True,True,True,False,False,False,False,normal,53.0,down,False,53.5,False,False,above,below,True
2023-02-01,12143.75,12516.0,12055.0,12420.25,461.0,0.792299,up,56.25,down,56.25,False,True,False,False,False,True,False,high,461.0,up,True,45.75,False,True,below,above,True
2023-02-02,12681.5,12934.75,12647.5,12855.0,287.25,0.722367,down,78.5,up,100.0,True,False,False,False,False,False,False,normal,133.75,down,True,70.0,False,False,above,above,True
2023-02-03,12574.5,12877.75,12558.25,12623.5,319.5,0.204225,up,196.25,up,274.25,True,False,False,False,False,True,False,high,99.5,down,False,159.0,True,False,below,below,True
2023-02-06,12509.0,12608.75,12456.5,12513.25,152.25,0.372742,up,67.5,down,118.5,False,False,False,False,True,False,True,low,81.75,down,True,91.0,True,False,below,below,True
2023-02-07,12504.0,12818.75,12459.25,12772.25,359.5,0.870654,down,65.25,down,76.75,False,False,True,False,False,True,False,high,134.25,up,True,242.25,True,False,below,below,True
2023-02-08,12713.75,12752.25,12512.5,12543.5,239.75,0.129301,down,89.5,down,96.75,True,False,True,False,False,False,False,normal,68.0,down,False,85.25,True,False,below,above,False
2023-02-09,12722.75,12729.5,12366.0,12427.5,363.5,0.169188,down,95.25,down,111.5,True,False,True,False,False,True,False,high,120.75,down,False,115.75,False,False,above,above,True
2023-02-10,12335.0,12421.75,12243.0,12345.75,178.75,0.574825,up,82.25,up,137.25,False,False,False,False,True,False,False,normal,61.0,up,False,90.0,True,False,below,below,True
2023-02-13,12402.0,12567.75,12352.0,12544.5,215.75,0.892236,up,113.5,up,121.0,True,False,True,False,False,False,False,normal,65.0,up,False,53.5,False,False,above,above,True
