regime,phase,module_group,net_pnl_contribution,active_days,consistently_hurts_weak_folds
weak_folds,phase10b,phase10b overnight/prior-level branch,35145.21,120,False
weak_folds,phase11a,phase11a opening range fade,3121.02,196,False
weak_folds,phase12a,phase12a opening-drive pullback,1688.62,60,False
weak_folds,phase13a,phase13a prior RTH high/low breakout,1762.0,123,False
weak_folds,phase14a,phase14a prior RTH midpoint/close reaction,797.97,108,False
weak_folds,phase15a,phase15a trend/power continuation,1259.11,102,False
strong_folds_or_nonweak_days,phase10b,phase10b overnight/prior-level branch,35145.21,120,False
strong_folds_or_nonweak_days,phase11a,phase11a opening range fade,3142.24,195,False
strong_folds_or_nonweak_days,phase12a,phase12a opening-drive pullback,1688.62,60,False
strong_folds_or_nonweak_days,phase13a,phase13a prior RTH high/low breakout,1762.0,123,False
strong_folds_or_nonweak_days,phase14a,phase14a prior RTH midpoint/close reaction,797.97,108,False
strong_folds_or_nonweak_days,phase15a,phase15a trend/power continuation,1259.11,102,False
high_vol_days,phase10b,phase10b overnight/prior-level branch,40575.05,73,False
high_vol_days,phase11a,phase11a opening range fade,1416.86,98,False
high_vol_days,phase12a,phase12a opening-drive pullback,2064.25,29,False
high_vol_days,phase13a,phase13a prior RTH high/low breakout,1496.62,56,False
high_vol_days,phase14a,phase14a prior RTH midpoint/close reaction,1327.68,60,False
high_vol_days,phase15a,phase15a trend/power continuation,2260.48,61,False
range_days,phase10b,phase10b overnight/prior-level branch,-4023.12,12,False
range_days,phase11a,phase11a opening range fade,-864.01,23,False
range_days,phase12a,phase12a opening-drive pullback,-258.0,7,False
range_days,phase13a,phase13a prior RTH high/low breakout,79.38,15,False
range_days,phase14a,phase14a prior RTH midpoint/close reaction,-147.64,9,False
range_days,phase15a,phase15a trend/power continuation,-154.44,5,False
trend_days,phase10b,phase10b overnight/prior-level branch,42360.74,46,False
trend_days,phase11a,phase11a opening range fade,590.44,81,False
trend_days,phase12a,phase12a opening-drive pullback,2144.43,33,False
trend_days,phase13a,phase13a prior RTH high/low breakout,1885.46,56,False
trend_days,phase14a,phase14a prior RTH midpoint/close reaction,664.12,40,False
trend_days,phase15a,phase15a trend/power continuation,2103.62,54,False
power_hour_expansion_days,phase10b,phase10b overnight/prior-level branch,-5638.81,38,False
power_hour_expansion_days,phase11a,phase11a opening range fade,-1165.6,64,False
power_hour_expansion_days,phase12a,phase12a opening-drive pullback,-284.75,13,False
power_hour_expansion_days,phase13a,phase13a prior RTH high/low breakout,1072.98,31,False
power_hour_expansion_days,phase14a,phase14a prior RTH midpoint/close reaction,-453.84,35,False
power_hour_expansion_days,phase15a,phase15a trend/power continuation,586.24,23,False
