audit,portfolio_set,portfolio_mode,fold,is_weak_fold,overlap_days,overlap_day_frequency,avg_modules_firing_per_day,trade_overlap_count_portfolio_level,skipped_overlap_count_portfolio_level,skipped_session_count_portfolio_level,early_losing_module_when_later_module_helped_days,diagnosis_overlap_priority_risk,diagnosis_max_one_session_suppression_risk,high_movement_no_trade_days
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,True,41,1.0,9.414634,0,0,402,11,True,True,0
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,True,41,1.0,9.04878,0,0,318,12,True,True,0
B,diversifier_only_phase13a,max_one_trade_per_session,1,True,38,1.0,9.289474,0,0,123,11,True,True,0
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,True,44,1.0,9.113636,0,0,1234,13,True,True,0
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,True,42,1.0,9.309524,0,0,256,12,True,True,0
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,1,True,41,1.0,9.04878,0,0,393,12,True,True,0
B,rare_plus_diversifier_modules,max_one_trade_per_session,2,True,45,0.978261,10.369565,0,0,256,9,True,True,0
B,audit_a_best_plus_phase13a,max_one_trade_per_session,3,True,41,1.0,10.121951,0,0,402,9,True,True,0
B,top_cross_family_plus_phase13a,max_one_trade_per_session,3,True,42,1.0,9.97619,0,0,318,9,True,True,0
B,diversifier_only_phase13a,max_one_trade_per_session,3,True,50,0.980392,10.176471,0,0,123,9,True,True,0
B,all_parked_modules_with_phase13a,max_one_trade_per_session,3,True,40,1.0,10.075,0,0,1234,8,True,True,0
B,rare_plus_diversifier_modules,max_one_trade_per_session,3,True,46,1.0,9.369565,0,0,256,8,True,True,0
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,3,True,40,1.0,10.175,0,0,393,8,True,True,0
B,audit_a_best_reconstructed,max_one_trade_per_session,4,True,37,1.0,10.513514,0,0,193,10,True,True,0
B,top_cross_family_plus_phase13a,max_one_trade_per_session,4,True,39,1.0,10.564103,0,0,318,9,True,True,0
B,all_parked_modules_with_phase13a,max_one_trade_per_session,4,True,41,1.0,10.170732,0,0,1234,10,True,True,0
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,4,True,40,1.0,10.4,0,0,393,10,True,True,0
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,1,True,42,1.0,9.309524,0,39,0,12,True,False,0
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,1,True,41,1.0,9.414634,0,183,0,11,True,False,0
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,1,True,41,1.0,9.04878,0,165,0,12,True,False,0
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,1,True,38,1.0,9.289474,0,119,0,11,True,False,0
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,1,True,44,1.0,9.113636,0,689,0,13,True,False,0
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,1,True,42,1.0,9.309524,0,152,0,12,True,False,0
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,1,True,41,1.0,9.04878,0,81,0,12,True,False,0
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,2,True,41,0.97619,9.714286,0,689,0,7,True,False,0
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,3,True,50,0.980392,10.176471,0,119,0,9,True,False,0
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,3,True,46,1.0,9.369565,0,152,0,8,True,False,0
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,4,True,39,1.0,10.564103,0,165,0,9,True,False,0
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,4,True,41,1.0,10.170732,0,689,0,10,True,False,0
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,4,True,40,1.0,10.4,0,81,0,10,True,False,0
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,5,True,40,0.97561,8.512195,0,689,0,7,True,False,0
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,6,True,39,1.0,8.205128,0,119,0,14,True,False,0
B,audit_a_best_reconstructed,raw_sum_diagnostic,1,True,41,1.0,9.04878,40,0,0,12,True,False,0
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,1,True,41,1.0,9.04878,213,0,0,12,True,False,0
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,1,True,41,1.0,9.04878,212,0,0,12,True,False,0
B,diversifier_only_phase13a,raw_sum_diagnostic,1,True,41,1.0,9.04878,119,0,0,12,True,False,0
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,1,True,41,1.0,9.04878,2262,0,0,12,True,False,0
B,rare_plus_diversifier_modules,raw_sum_diagnostic,1,True,41,1.0,9.04878,185,0,0,12,True,False,0
B,greedy_low_correlation_with_phase13a,raw_sum_diagnostic,1,True,41,1.0,9.04878,92,0,0,12,True,False,0
B,all_parked_modules_with_phase13a,raw_sum_diagnostic,2,True,41,0.97619,9.52381,2262,0,0,7,True,False,0
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,3,True,41,1.0,10.121951,212,0,0,9,True,False,0
B,diversifier_only_phase13a,raw_sum_diagnostic,3,True,41,1.0,10.121951,119,0,0,9,True,False,0
B,rare_plus_diversifier_modules,raw_sum_diagnostic,3,True,41,1.0,10.121951,185,0,0,9,True,False,0
B,diversifier_only_phase13a,raw_sum_diagnostic,6,True,41,1.0,8.536585,119,0,0,14,True,False,0
C,audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,1,True,40,1.0,9.225,0,0,535,11,True,True,0
C,top_cross_family_plus_13a_14a,max_one_trade_per_session,1,True,40,1.0,9.225,0,0,450,12,True,True,0
C,diversifier_only_13a_14a,max_one_trade_per_session,1,True,39,1.0,9.410256,0,0,202,11,True,True,0
C,prior_level_diversifiers_only,max_one_trade_per_session,1,True,39,1.0,9.410256,0,0,202,11,True,True,0
C,all_parked_modules_with_13a_14a,max_one_trade_per_session,1,True,42,1.0,9.238095,0,0,1514,12,True,True,0
C,greedy_low_correlation_with_14a,max_one_trade_per_session,1,True,40,1.0,9.225,0,0,474,12,True,True,0
C,audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,3,True,40,1.0,10.175,0,0,535,8,True,True,0
C,top_cross_family_plus_13a_14a,max_one_trade_per_session,3,True,40,1.0,10.175,0,0,450,8,True,True,0
C,diversifier_only_13a_14a,max_one_trade_per_session,3,True,41,0.97619,10.452381,0,0,202,6,True,True,0
C,prior_level_diversifiers_only,max_one_trade_per_session,3,True,41,0.97619,10.452381,0,0,202,6,True,True,0
C,all_parked_modules_with_13a_14a,max_one_trade_per_session,3,True,40,1.0,9.925,0,0,1514,8,True,True,0
C,greedy_low_correlation_with_14a,max_one_trade_per_session,3,True,41,1.0,10.121951,0,0,474,9,True,True,0
