gate_type,threshold,pass_count,total_candidates,diagnostic_only
best_day_concentration,0.15,0,144,True
best_day_concentration,0.2,0,144,True
best_day_concentration,0.25,0,144,True
best_day_concentration,0.3,0,144,True
best_trade_concentration,0.08,0,144,True
best_trade_concentration,0.12,0,144,True
best_trade_concentration,0.15,0,144,True
best_trade_concentration,0.2,0,144,True
best_trade_concentration,0.3,0,144,True
positive_wf_test_folds_pct,0.9,0,144,True
positive_wf_test_folds_pct,0.833,0,144,True
positive_wf_test_folds_pct,0.75,0,144,True
positive_wf_test_folds_pct,0.667,0,144,True
positive_wf_test_folds_pct,0.5,0,144,True
active_days,50.0,0,144,True
active_days,75.0,0,144,True
active_days,100.0,0,144,True
