audit_c_rank,phase,candidate_id,selected_reason,phase_rank,phase_score,phase_label,research_axis_status,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,trades,active_days,best_day_concentration,best_trade_concentration,reject_reasons,audit_c_classification
1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,recommendation_top_candidate,1.0,4150.71,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2955.14,2877.14,334.4,811.84,1766.62,0.833333,78,78,0.306503,0.306503,fold instability; concentration,real_but_nontradable_signal
2,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,recommendation_top_candidate,2.0,624.34,phase11a_rejected_fold_instability,axis_positive_but_concentrated,1366.61,1215.61,82.84,303.5,576.23,0.5,151,98,0.263982,0.263982,fold instability; concentration,real_but_nontradable_signal
3,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,recommendation_top_candidate,2.0,700.15,phase12a_rejected_low_activity,axis_positive_but_concentrated,1006.49,953.49,41.79,226.88,440.05,0.5,53,53,0.225298,0.225298,low activity; fold instability; concentration,real_but_nontradable_signal
4,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,2.0,4150.71,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2955.14,2877.14,334.4,811.84,1766.62,0.833333,78,78,0.306503,0.306503,fold instability; concentration,real_but_nontradable_signal
5,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,3.0,3762.37,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2730.48,2643.48,117.16,920.64,1624.18,0.833333,87,87,0.331722,0.331722,fold instability; concentration,real_but_nontradable_signal
6,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,4.0,3762.37,phase10b_rejected_fold_instability,axis_positive_but_concentrated,2730.48,2643.48,117.16,920.64,1624.18,0.833333,87,87,0.331722,0.331722,fold instability; concentration,real_but_nontradable_signal
7,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,positive_stress_validation_holdout_wf,5.0,3665.5,phase10b_rejected_low_activity,axis_positive_but_concentrated,2517.19,2460.19,334.4,811.84,1929.34,0.833333,57,57,0.35983,0.35983,low activity; fold instability; concentration,real_but_nontradable_signal
8,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,positive_stress_validation_holdout_wf,6.0,3665.5,phase10b_rejected_low_activity,axis_positive_but_concentrated,2517.19,2460.19,334.4,811.84,1929.34,0.833333,57,57,0.35983,0.35983,low activity; fold instability; concentration,real_but_nontradable_signal
9,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,positive_stress_validation_holdout_wf,7.0,3441.54,phase10b_rejected_low_activity,axis_positive_but_concentrated,1943.33,1897.33,340.14,692.56,1929.02,0.833333,46,46,0.238127,0.238127,low activity; fold instability; concentration,real_but_nontradable_signal
10,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,positive_stress_validation_holdout_wf,8.0,3441.54,phase10b_rejected_low_activity,axis_positive_but_concentrated,1943.33,1897.33,340.14,692.56,1929.02,0.833333,46,46,0.238127,0.238127,low activity; fold instability; concentration,real_but_nontradable_signal
