phase,candidate_id,iterations,sample_count,observed_pnl,prob_pnl_gt_0,p05,p25,p50,p75,p95,mean_pnl,prob_concentration_within_limit,prob_active_count_ge_limit
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,50000,78,2955.14,0.96718,278.01,1791.24,2894.02,4062.36,5850.58,2955.22,0.70622,1.0
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,50000,98,1366.61,0.85622,-734.76,498.7,1354.15,2220.22,3472.04,1359.69,1.0,1.0
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,50000,53,1006.49,0.94076,-54.81,556.28,997.41,1441.99,2096.5,1004.79,0.99666,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,10000,78,2955.14,0.9696,300.25,1801.01,2895.57,4061.03,5962.79,2982.4,0.7193,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,10000,87,2730.48,0.9456,-69.33,1487.48,2629.43,3857.98,5666.06,2701.11,0.7914,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,10000,87,2730.48,0.9437,-89.4,1535.75,2679.8,3911.51,5732.3,2748.49,0.8018,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,10000,57,2517.19,0.9688,246.84,1528.87,2486.31,3504.43,5072.2,2547.71,0.4916,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,10000,57,2517.19,0.9627,187.17,1474.44,2439.82,3453.96,5007.1,2502.55,0.487,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,10000,46,1943.33,0.9626,135.5,1167.89,1915.58,2683.33,3817.6,1941.85,0.8054,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,10000,46,1943.33,0.9595,116.69,1164.04,1924.64,2699.59,3859.49,1946.48,0.8048,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,10000,66,2292.53,0.9358,-160.43,1211.34,2235.97,3272.53,4923.14,2279.86,0.5817,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,10000,66,2292.53,0.9375,-130.84,1218.09,2256.53,3272.16,5011.4,2294.31,0.5802,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,10000,54,1752.41,0.9316,-180.16,927.03,1747.09,2564.04,3781.17,1765.83,0.8981,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,10000,54,1752.41,0.9233,-239.17,881.41,1705.84,2535.94,3781.11,1730.29,0.8869,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,10000,62,1799.48,0.9368,-116.65,984.28,1796.79,2627.77,3809.09,1819.34,0.9271,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,10000,62,1799.48,0.9354,-159.66,945.78,1747.23,2575.3,3805.87,1783.07,0.9233,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,10000,70,1608.56,0.8974,-437.34,723.41,1613.5,2493.74,3811.33,1632.49,0.964,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,10000,70,1608.56,0.8988,-471.44,755.86,1597.11,2461.81,3794.49,1621.14,0.9659,1.0
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,10000,56,1643.5,0.8809,-600.0,699.22,1615.42,2582.43,3945.58,1641.42,0.9717,1.0
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,10000,56,1643.5,0.8836,-590.81,715.82,1629.22,2594.74,3999.44,1662.07,0.9708,1.0
