phase,candidate_id,trade_positive_prob,daily_positive_prob,weekly_positive_prob,monthly_positive_prob,trade_concentration_gate_prob,daily_concentration_gate_prob,active_day_gate_prob,all_bootstrap_positive_prob_min,diagnostic_gate_probability_pass
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,0.96474,0.96718,0.98374,0.99104,0.02302,0.70622,1.0,0.96474,True
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,0.85188,0.85622,0.89276,0.9539,0.99332,1.0,1.0,0.85188,True
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,0.93984,0.94076,0.9272,0.88894,0.32484,0.99666,1.0,0.88894,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,0.9674,0.9696,0.9838,0.9916,0.0188,0.7193,1.0,0.9674,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,0.944,0.9456,0.9704,0.9789,0.0389,0.7914,1.0,0.944,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,0.9442,0.9437,0.9692,0.976,0.0391,0.8018,1.0,0.9437,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,0.9645,0.9688,0.978,0.952,0.0191,0.4916,1.0,0.952,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,0.9644,0.9627,0.9791,0.9518,0.0138,0.487,1.0,0.9518,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,0.9618,0.9626,0.9594,0.9684,0.0171,0.8054,1.0,0.9594,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,0.9621,0.9595,0.9596,0.9691,0.0165,0.8048,1.0,0.9595,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.9342,0.9358,0.9585,0.9305,0.0417,0.5817,1.0,0.9305,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.9353,0.9375,0.959,0.9257,0.0456,0.5802,1.0,0.9257,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,0.9283,0.9316,0.9318,0.9478,0.0538,0.8981,1.0,0.9283,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,0.9268,0.9233,0.9279,0.9453,0.0538,0.8869,1.0,0.9233,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,0.9374,0.9368,0.9332,0.9603,0.0681,0.9271,1.0,0.9332,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,0.9406,0.9354,0.9303,0.9632,0.0634,0.9233,1.0,0.9303,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,0.8904,0.8974,0.9025,0.9352,0.1538,0.964,1.0,0.8904,True
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,0.8853,0.8988,0.9017,0.9327,0.1538,0.9659,1.0,0.8853,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,0.8794,0.8809,0.8951,0.7816,0.11,0.9717,1.0,0.7816,True
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,0.8828,0.8836,0.8888,0.7909,0.1143,0.9708,1.0,0.7909,True
