phase,candidate_id,iterations,sample_count,observed_pnl,prob_pnl_gt_0,p05,p25,p50,p75,p95,mean_pnl,prob_concentration_within_limit,prob_active_count_ge_limit
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,50000,78,2955.14,0.96474,254.23,1763.74,2881.39,4058.68,5855.67,2944.71,0.02302,1.0
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,50000,151,1366.61,0.85188,-743.67,470.73,1335.79,2217.83,3517.18,1352.92,0.99332,1.0
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,50000,53,1006.49,0.93984,-54.31,555.49,997.55,1442.2,2093.2,1003.21,0.32484,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,10000,78,2955.14,0.9674,286.83,1791.36,2879.64,4036.21,5842.09,2951.16,0.0188,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,10000,87,2730.48,0.944,-74.82,1501.19,2657.54,3835.77,5696.25,2713.15,0.0389,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,10000,87,2730.48,0.9442,-89.82,1504.97,2657.11,3877.2,5740.82,2721.4,0.0391,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,10000,57,2517.19,0.9645,191.81,1463.58,2448.44,3464.59,5015.79,2505.52,0.0191,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,10000,57,2517.19,0.9644,199.8,1498.05,2456.37,3511.28,5094.02,2532.17,0.0138,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,10000,46,1943.33,0.9618,122.14,1178.08,1917.83,2679.55,3844.55,1946.52,0.0171,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,10000,46,1943.33,0.9621,121.69,1193.43,1927.38,2701.92,3833.91,1952.7,0.0165,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,10000,66,2292.53,0.9342,-168.98,1206.71,2244.4,3305.62,4907.41,2287.27,0.0417,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,10000,66,2292.53,0.9353,-166.61,1215.44,2233.53,3292.78,4920.96,2286.19,0.0456,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,10000,54,1752.41,0.9283,-228.23,912.88,1706.22,2542.81,3767.49,1739.09,0.0538,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,10000,54,1752.41,0.9268,-213.77,895.38,1739.78,2560.04,3764.42,1748.03,0.0538,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,10000,62,1799.48,0.9374,-136.73,993.67,1778.04,2597.24,3842.53,1803.4,0.0681,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,10000,62,1799.48,0.9406,-95.77,974.45,1778.61,2604.79,3815.81,1801.73,0.0634,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,10000,70,1608.56,0.8904,-462.72,698.89,1572.0,2457.6,3778.74,1597.47,0.1538,1.0
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,10000,70,1608.56,0.8853,-511.33,684.97,1564.38,2487.39,3759.34,1592.86,0.1538,1.0
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,10000,56,1643.5,0.8794,-657.45,692.04,1625.19,2584.07,3976.69,1641.07,0.11,1.0
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,10000,56,1643.5,0.8828,-582.25,698.09,1637.93,2568.2,3964.49,1650.48,0.1143,1.0
