phase,candidate_id,period,iterations,blocks,sample_count,observed_pnl,prob_pnl_gt_0,p05,p25,p50,p75,p95,mean_pnl,prob_concentration_within_limit,prob_active_count_ge_limit,fold_like_stability_prob
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,weekly,50000,45,45,2955.14,0.98374,640.08,1963.25,2925.45,3926.85,5402.35,2963.98,1.0,1.0,0.98374
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,weekly,50000,46,46,1366.61,0.89276,-488.88,628.9,1374.86,2120.07,3180.86,1370.09,1.0,1.0,0.89276
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,weekly,50000,39,39,1006.49,0.9272,-132.36,538.51,1006.27,1475.24,2167.73,1009.8,1.0,1.0,0.9272
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,weekly,10000,45,45,2955.14,0.9838,634.69,1940.12,2931.47,3917.8,5405.36,2952.93,1.0,1.0,0.9838
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,weekly,10000,47,47,2730.48,0.9704,330.24,1713.8,2706.61,3759.41,5260.56,2745.72,1.0,1.0,0.9704
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,weekly,10000,47,47,2730.48,0.9692,320.97,1689.47,2700.71,3751.02,5253.96,2741.37,1.0,1.0,0.9692
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,weekly,10000,36,36,2517.19,0.978,429.72,1615.08,2508.8,3397.35,4753.93,2529.6,1.0,1.0,0.978
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,weekly,10000,36,36,2517.19,0.9791,439.33,1602.71,2476.03,3376.51,4692.09,2516.29,1.0,1.0,0.9791
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,weekly,10000,31,31,1943.33,0.9594,87.33,1170.46,1913.23,2714.38,3855.3,1944.35,1.0,1.0,0.9594
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,weekly,10000,31,31,1943.33,0.9596,104.72,1183.51,1944.34,2717.54,3810.8,1952.93,1.0,1.0,0.9596
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,weekly,10000,38,38,2292.53,0.9585,122.83,1378.38,2287.42,3198.37,4605.63,2311.31,1.0,1.0,0.9585
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,weekly,10000,38,38,2292.53,0.959,126.26,1377.08,2265.47,3177.49,4623.99,2294.02,1.0,1.0,0.959
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,weekly,10000,34,34,1752.41,0.9318,-174.66,935.84,1746.7,2578.81,3767.5,1768.31,1.0,1.0,0.9318
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,weekly,10000,34,34,1752.41,0.9279,-214.76,917.12,1741.55,2556.34,3760.68,1747.93,1.0,1.0,0.9279
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,weekly,10000,40,40,1799.48,0.9332,-148.98,979.07,1816.64,2638.45,3855.19,1818.51,1.0,1.0,0.9332
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,weekly,10000,40,40,1799.48,0.9303,-186.58,953.43,1759.08,2580.42,3769.0,1773.35,1.0,1.0,0.9303
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,weekly,10000,43,43,1608.56,0.9025,-412.98,761.4,1603.43,2464.73,3759.53,1623.07,1.0,1.0,0.9025
phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,weekly,10000,43,43,1608.56,0.9017,-435.42,768.02,1588.87,2460.08,3734.14,1624.22,1.0,1.0,0.9017
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,weekly,10000,33,33,1643.5,0.8951,-473.34,764.71,1643.97,2515.57,3851.36,1651.0,1.0,1.0,0.8951
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,weekly,10000,33,33,1643.5,0.8888,-592.1,729.23,1621.55,2555.78,3845.49,1632.39,1.0,1.0,0.8888
