signal_key,phase,candidate_id,scheduler_b_net_contribution,accepted_trade_count,all_trade_count,skipped_overlap_count,skipped_session_count,scheduler_b_accepted_trade_count,scheduler_b_skipped_trade_count,scheduler_b_skip_rate,accepted_net_pnl,contribution_in_weak_folds,contribution_in_strong_folds,contribution_on_high_vol_mixed_weak_regime_days,average_daily_correlation_to_other_modules,max_daily_correlation_to_other_modules,overlap_rate_with_other_modules,consistently_skipped,harmful_when_accepted,redundant_with_another_module,paired_duplicate_variant,seed_suspect
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,-2879.43,9,70,0,61,312,808,0.721429,-685.79,-502.31,-183.48,35145.21,0.352077,1.0,0.871429,False,True,True,True,True
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,-9846.32,4,71,0,67,168,968,0.852113,-274.46,-78.48,-195.98,35145.21,0.181375,1.0,0.943662,True,True,True,False,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,2328.57,1,78,0,77,309,939,0.752404,-5.24,-5.24,0.0,35145.21,0.387654,1.0,0.987179,False,True,True,False,False
phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,7183.28,2,151,0,149,1098,1318,0.54553,-139.98,-76.74,-63.24,3121.02,0.052127,0.151557,0.986755,False,True,False,False,False
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,224.6,9,45,0,36,397,323,0.448611,-98.48,-275.26,176.78,1688.62,0.034979,0.167846,0.8,False,True,False,False,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,-10583.36,0,87,0,87,264,1128,0.810345,0.0,0.0,0.0,35145.21,0.390829,1.0,1.0,True,False,True,True,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,-7128.16,0,70,0,70,184,936,0.835714,0.0,0.0,0.0,35145.21,0.352077,1.0,1.0,True,False,True,True,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,-7891.84,0,78,0,78,216,1032,0.826923,0.0,0.0,0.0,35145.21,0.387654,1.0,1.0,True,False,True,True,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,-4706.56,0,62,0,62,144,848,0.854839,0.0,0.0,0.0,35145.21,0.355907,1.0,1.0,True,False,True,True,False
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,-5976.32,0,57,0,57,168,744,0.815789,0.0,0.0,0.0,35145.21,0.394166,1.0,1.0,True,False,True,True,False
