pruning_variant,priority_policy,portfolio_mode,accepted_trades,skipped_overlap_count,skipped_session_count,rejected_positive_trade_count,rejected_positive_pnl,rejected_negative_trade_count,rejected_negative_pnl
keep_only_diversifiers_plus_top_core,concentration_adjusted_priority,max_one_trade_per_session,247,0,600,267,26203.17,333,-20480.58
keep_only_diversifiers_plus_top_core,concentration_adjusted_priority,one_trade_at_a_time_chronological,612,235,0,122,10211.22,113,-8440.81
keep_only_diversifiers_plus_top_core,hybrid_validation_then_correlation,max_one_trade_per_session,247,0,600,267,26203.17,333,-20480.58
keep_only_diversifiers_plus_top_core,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,612,235,0,122,10211.22,113,-8440.81
keep_only_diversifiers_plus_top_core,lowest_correlation_first,max_one_trade_per_session,247,0,600,267,26203.17,333,-20480.58
keep_only_diversifiers_plus_top_core,lowest_correlation_first,one_trade_at_a_time_chronological,612,235,0,122,10211.22,113,-8440.81
keep_only_diversifiers_plus_top_core,rare_setup_first,max_one_trade_per_session,247,0,600,267,26203.17,333,-20480.58
keep_only_diversifiers_plus_top_core,rare_setup_first,one_trade_at_a_time_chronological,612,235,0,122,10211.22,113,-8440.81
keep_only_positive_accepted_contributors,concentration_adjusted_priority,max_one_trade_per_session,238,0,408,165,18158.4,243,-16825.44
keep_only_positive_accepted_contributors,concentration_adjusted_priority,one_trade_at_a_time_chronological,511,135,0,54,6216.54,81,-7311.35
keep_only_positive_accepted_contributors,hybrid_validation_then_correlation,max_one_trade_per_session,238,0,408,164,18016.14,244,-16857.18
keep_only_positive_accepted_contributors,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,512,134,0,54,6216.54,80,-7228.11
keep_only_positive_accepted_contributors,lowest_correlation_first,max_one_trade_per_session,238,0,408,164,18016.14,244,-16857.18
keep_only_positive_accepted_contributors,lowest_correlation_first,one_trade_at_a_time_chronological,512,134,0,54,6216.54,80,-7228.11
keep_only_positive_accepted_contributors,rare_setup_first,max_one_trade_per_session,238,0,408,164,18016.14,244,-16857.18
keep_only_positive_accepted_contributors,rare_setup_first,one_trade_at_a_time_chronological,512,134,0,54,6216.54,80,-7228.11
no_pruning_baseline,concentration_adjusted_priority,max_one_trade_per_session,248,0,2010,829,122342.79,1181,-85606.03
no_pruning_baseline,concentration_adjusted_priority,one_trade_at_a_time_chronological,1150,1108,0,593,95147.18,515,-51937.21
no_pruning_baseline,hybrid_validation_then_correlation,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73
no_pruning_baseline,lowest_correlation_first,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77
no_pruning_baseline,lowest_correlation_first,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73
no_pruning_baseline,rare_setup_first,max_one_trade_per_session,248,0,2010,828,122200.53,1182,-85637.77
no_pruning_baseline,rare_setup_first,one_trade_at_a_time_chronological,1152,1106,0,593,95147.18,513,-51871.73
remove_all_consistently_skipped_modules,concentration_adjusted_priority,max_one_trade_per_session,248,0,1253,522,70245.97,731,-48758.22
remove_all_consistently_skipped_modules,concentration_adjusted_priority,one_trade_at_a_time_chronological,950,551,0,294,43879.94,257,-24478.34
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,max_one_trade_per_session,248,0,1253,521,70103.71,732,-48789.96
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,951,550,0,294,43879.94,256,-24395.1
remove_all_consistently_skipped_modules,lowest_correlation_first,max_one_trade_per_session,248,0,1253,521,70103.71,732,-48789.96
remove_all_consistently_skipped_modules,lowest_correlation_first,one_trade_at_a_time_chronological,951,550,0,294,43879.94,256,-24395.1
remove_all_consistently_skipped_modules,rare_setup_first,max_one_trade_per_session,248,0,1253,521,70103.71,732,-48789.96
remove_all_consistently_skipped_modules,rare_setup_first,one_trade_at_a_time_chronological,951,550,0,294,43879.94,256,-24395.1
remove_harmful_in_weak_folds,concentration_adjusted_priority,max_one_trade_per_session,240,0,1072,426,70423.26,646,-44518.96
remove_harmful_in_weak_folds,concentration_adjusted_priority,one_trade_at_a_time_chronological,737,575,0,323,56860.48,252,-26989.07
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,max_one_trade_per_session,240,0,1072,426,70423.26,646,-44618.96
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,737,575,0,322,56835.22,253,-27106.31
remove_harmful_in_weak_folds,lowest_correlation_first,max_one_trade_per_session,240,0,1072,426,70423.26,646,-44618.96
remove_harmful_in_weak_folds,lowest_correlation_first,one_trade_at_a_time_chronological,737,575,0,322,56835.22,253,-27106.31
remove_harmful_in_weak_folds,rare_setup_first,max_one_trade_per_session,240,0,1072,426,70423.26,646,-44618.96
remove_harmful_in_weak_folds,rare_setup_first,one_trade_at_a_time_chronological,737,575,0,322,56835.22,253,-27106.31
remove_high_redundancy_pairs,concentration_adjusted_priority,max_one_trade_per_session,248,0,986,406,52199.81,580,-41026.41
remove_high_redundancy_pairs,concentration_adjusted_priority,one_trade_at_a_time_chronological,866,368,0,170,24973.7,198,-18979.57
remove_high_redundancy_pairs,hybrid_validation_then_correlation,max_one_trade_per_session,248,0,986,405,52057.55,581,-41058.15
remove_high_redundancy_pairs,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,868,366,0,170,24973.7,196,-18914.09
remove_high_redundancy_pairs,lowest_correlation_first,max_one_trade_per_session,248,0,986,405,52057.55,581,-41058.15
remove_high_redundancy_pairs,lowest_correlation_first,one_trade_at_a_time_chronological,868,366,0,170,24973.7,196,-18914.09
remove_high_redundancy_pairs,rare_setup_first,max_one_trade_per_session,248,0,986,405,52057.55,581,-41058.15
remove_high_redundancy_pairs,rare_setup_first,one_trade_at_a_time_chronological,868,366,0,170,24973.7,196,-18914.09
remove_seed_suspect_only,concentration_adjusted_priority,max_one_trade_per_session,248,0,1940,802,117761.27,1138,-82633.07
remove_seed_suspect_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,1127,1061,0,566,90565.66,495,-49855.27
remove_seed_suspect_only,hybrid_validation_then_correlation,max_one_trade_per_session,248,0,1940,801,117619.01,1139,-82664.81
remove_seed_suspect_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1129,1059,0,566,90565.66,493,-49789.79
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,248,0,1940,801,117619.01,1139,-82664.81
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,1129,1059,0,566,90565.66,493,-49789.79
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,248,0,1940,801,117619.01,1139,-82664.81
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,1129,1059,0,566,90565.66,493,-49789.79
remove_seed_suspect_pair,concentration_adjusted_priority,max_one_trade_per_session,248,0,1696,713,100194.63,983,-72135.95
remove_seed_suspect_pair,concentration_adjusted_priority,one_trade_at_a_time_chronological,1038,906,0,477,72999.02,429,-42895.01
remove_seed_suspect_pair,hybrid_validation_then_correlation,max_one_trade_per_session,248,0,1696,712,100052.37,984,-72167.69
remove_seed_suspect_pair,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1040,904,0,477,72999.02,427,-42829.53
remove_seed_suspect_pair,lowest_correlation_first,max_one_trade_per_session,248,0,1696,712,100052.37,984,-72167.69
remove_seed_suspect_pair,lowest_correlation_first,one_trade_at_a_time_chronological,1040,904,0,477,72999.02,427,-42829.53
remove_seed_suspect_pair,rare_setup_first,max_one_trade_per_session,248,0,1696,712,100052.37,984,-72167.69
remove_seed_suspect_pair,rare_setup_first,one_trade_at_a_time_chronological,1040,904,0,477,72999.02,427,-42829.53
