phase10a_rank,candidate_id,instrument,branch,side,timeframe,entry_window,entry_start,entry_end,execution_exit_variant,atr_cap_multiple,buffer_ticks,target_r,max_trades_per_day,min_minutes_between_entries,time_stop_minutes,trades,active_days,trades_per_active_day,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,phase10a_label,phase10a_score,reject_reasons
1,MNQ_10a_onrange_overnight_range_breakout_short_tf15_midday_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,151,87,1.735632,3728.06,3577.06,-201.22,2720.72,-928.9,0.28514,0.282656,152.18,98.59,3037.97,2964.97,0.833333,-406.62,phase10a_rejected_negative_validation,5613.13,negative validation; fold instability; concentration
2,MNQ_10a_onrange_overnight_range_breakout_short_tf15_midday_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,60,45,151,87,1.735632,2395.5,2244.5,-127.47,1843.49,-864.43,0.339186,0.322597,133.64,95.27,2444.99,2371.99,0.666667,-103.12,phase10a_rejected_negative_validation,3752.06,negative validation; fold instability; concentration
3,MNQ_10a_onrange_overnight_range_breakout_short_tf15_midday_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,15,midday_response,10:30,13:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,135,75,1.8,1921.64,1786.64,-464.26,2710.44,-1522.1,0.788139,0.565538,143.38,118.07,1805.13,1741.13,0.5,-318.14,phase10a_rejected_negative_validation,2005.67,negative validation; fold instability; concentration
4,MNQ_10a_onrange_overnight_range_breakout_short_tf5_midday_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,5,midday_response,10:30,13:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,158,88,1.795455,1939.11,1781.11,-596.79,1910.28,-1270.23,0.29396,0.319868,116.85,79.97,1568.19,1489.19,0.333333,-500.94,phase10a_rejected_negative_validation,2000.07,negative validation; fold instability; concentration
5,MNQ_10a_onrange_overnight_range_fade_long_tf15_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,71,71,1.0,969.7,898.7,729.27,912.14,-1184.57,0.574673,0.574673,147.24,137.42,1763.29,1721.29,0.666667,-306.68,phase10a_rejected_fold_instability,1435.42,fold instability; concentration
6,MNQ_10a_onrange_overnight_range_fade_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,129,84,1.535714,1344.18,1215.18,1243.87,1665.7,-2131.41,0.432055,0.432055,129.74,101.8,2278.98,2205.98,0.666667,-479.74,phase10a_rejected_fold_instability,1289.75,fold instability; concentration
7,MNQ_10a_onrange_overnight_range_fade_long_tf15_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_fade,long,15,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,58,58,1.0,891.03,833.03,758.5,170.12,-761.22,0.538994,0.538994,135.32,132.3,1149.7,1116.7,1.0,1.3,phase10a_rejected_low_activity,1188.51,low activity; concentration
8,MNQ_10a_onrange_overnight_range_breakout_short_tf5_midday_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,5,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,174,97,1.793814,2355.92,2181.92,-526.06,740.74,-1765.42,0.428291,0.396346,110.68,82.92,632.45,546.45,0.333333,-549.88,phase10a_rejected_negative_validation,962.95,negative validation; fold instability; concentration
9,MNQ_10a_onrange_overnight_range_breakout_short_tf15_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,15,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,47,47,1.0,1195.97,1148.97,-589.92,756.56,-851.16,0.376063,0.376063,165.13,128.59,494.48,471.48,0.666667,-345.96,phase10a_rejected_low_activity,769.29,low activity; negative validation; fold instability; concentration
10,MNQ_10a_onrange_overnight_range_breakout_short_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,5,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,93,61,1.52459,1049.06,956.06,-128.39,-427.15,-1060.34,0.586258,0.536442,146.34,99.74,735.38,690.38,0.166667,-214.66,phase10a_rejected_negative_validation,586.1,negative validation; negative holdout; fold instability; concentration
11,MNQ_10a_onrange_overnight_range_fade_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_fade,long,5,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,112,73,1.534247,669.01,557.01,549.84,937.53,-1268.46,1.047847,0.927879,124.78,109.74,1346.94,1279.94,0.5,-311.56,phase10a_rejected_fold_instability,568.49,fold instability; concentration
12,MNQ_10a_onrange_overnight_range_breakout_short_tf5_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,105,70,1.5,811.28,706.28,-161.54,-165.86,-1740.19,1.146978,0.767626,131.72,87.92,1413.04,1359.04,0.666667,-478.38,phase10a_rejected_negative_validation,325.13,negative validation; negative holdout; fold instability; concentration
13,MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,134,91,1.472527,960.71,826.71,-1.5,-364.92,-815.93,0.45177,0.366146,85.22,74.57,353.44,273.44,0.5,-590.26,phase10a_rejected_negative_validation,284.22,negative validation; negative holdout; fold instability; concentration
14,MNQ_10a_onrange_overnight_range_fade_long_tf5_midday_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_fade,long,5,midday_response,10:30,13:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,175,93,1.88172,590.2,415.2,891.43,-460.2,-1138.94,0.801457,0.51552,92.27,82.28,758.46,650.46,0.666667,-447.4,phase10a_rejected_negative_holdout,-73.28,negative holdout; fold instability; concentration
15,MNQ_10a_onrange_overnight_range_fade_short_tf15_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_fade,short,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,72,72,1.0,608.84,536.84,-122.5,-281.64,-1166.0,1.417055,1.417055,181.16,126.88,376.28,335.28,0.5,-549.96,phase10a_rejected_negative_validation,-293.88,negative validation; negative holdout; fold instability; concentration
16,MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30,134,91,1.472527,404.52,270.52,115.06,-436.67,-682.18,0.809651,0.56242,74.27,73.1,66.06,-13.94,0.5,-458.76,phase10a_rejected_negative_holdout,-425.6,negative holdout; fold instability; concentration
17,MNQ_10a_onrange_overnight_range_breakout_long_tf15_midday_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,15,midday_response,10:30,13:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,187,103,1.815534,588.52,401.52,576.49,104.4,-1287.51,0.746823,0.861075,83.46,75.27,527.23,415.23,0.666667,-587.28,phase10a_rejected_fold_instability,-470.76,fold instability; concentration
18,MNQ_10a_onrange_overnight_range_fade_short_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_fade,short,5,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,119,74,1.608108,469.63,350.63,-812.44,-258.97,-1449.19,2.095309,1.100356,136.94,99.53,620.1,553.1,0.5,-384.05,phase10a_rejected_negative_validation,-545.46,negative validation; negative holdout; fold instability; concentration
19,MNQ_10a_onrange_overnight_range_fade_long_tf15_midday_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_fade,long,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,168,93,1.806452,58.82,-109.18,-458.41,379.04,-1301.55,9.3339,8.16491,116.32,112.46,893.17,791.17,0.666667,-323.64,phase10a_rejected_negative_stress,-619.56,negative stress; negative validation; fold instability; concentration
20,MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,5,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,115,77,1.493506,586.75,471.75,-51.23,-539.74,-920.17,0.57268,0.662565,87.78,78.54,-223.38,-290.38,0.5,-700.54,phase10a_rejected_negative_validation,-738.8,negative validation; negative holdout; fold instability; concentration
21,MNQ_10a_onrange_overnight_range_fade_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30,129,84,1.535714,444.62,315.62,523.54,1356.7,-2202.34,1.383249,0.994692,102.27,87.31,1181.65,1108.65,0.5,-457.24,phase10a_rejected_fold_instability,-778.07,fold instability; concentration
22,MNQ_10a_onrange_overnight_range_breakout_short_tf15_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,short,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,59,59,1.0,396.59,337.59,-170.4,-739.18,-1130.86,1.442951,1.442951,150.19,131.43,-140.7,-170.7,0.333333,-552.2,phase10a_rejected_low_activity,-963.97,low activity; negative validation; negative holdout; fold instability; concentration
23,MNQ_10a_onrange_overnight_range_breakout_short_tf5_midday_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,short,5,midday_response,10:30,13:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30,174,97,1.793814,814.88,640.88,-845.02,278.26,-1762.67,0.638082,0.338332,91.86,80.06,-80.07,-166.07,0.5,-549.88,phase10a_rejected_negative_validation,-1287.86,negative validation; fold instability; concentration
24,MNQ_10a_onrange_overnight_range_breakout_short_tf15_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,short,15,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,60,45,59,59,1.0,-195.6,-254.6,-275.9,-796.93,-1216.07,1.0,1.0,126.36,126.89,-341.39,-371.39,0.333333,-609.95,phase10a_rejected_low_activity,-1842.06,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
25,MNQ_10a_onrange_overnight_range_fade_short_tf15_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_fade,short,15,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,60,45,72,72,1.0,-457.91,-529.91,128.25,137.36,-1527.43,1.0,1.0,121.02,108.86,117.28,76.28,0.666667,-276.03,phase10a_rejected_negative_stress,-1981.06,negative stress; fold instability; concentration
26,MNQ_10a_onrange_overnight_range_fade_long_tf5_midday_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_fade,long,5,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,182,98,1.857143,-849.93,-1031.93,714.81,-600.82,-1288.18,1.0,1.0,91.24,88.19,282.39,170.39,0.333333,-455.91,phase10a_rejected_negative_stress,-2149.72,negative stress; negative holdout; fold instability; concentration
27,MNQ_10a_onrange_overnight_range_breakout_long_tf15_midday_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,202,108,1.87037,-519.95,-721.95,489.4,262.81,-1867.37,1.0,1.0,82.82,80.09,187.82,67.82,0.5,-499.34,phase10a_rejected_negative_stress,-2521.5,negative stress; fold instability; concentration
28,MNQ_10a_onrange_overnight_range_fade_short_tf5_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_fade,short,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,138,86,1.604651,-855.62,-993.62,-623.28,-324.77,-1302.19,1.0,1.0,131.18,100.33,-213.08,-294.08,0.333333,-428.62,phase10a_rejected_negative_stress,-2589.89,negative stress; negative validation; negative holdout; fold instability; concentration
29,MNQ_10a_onrange_overnight_range_breakout_long_tf15_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,15,opening_response,09:35,10:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,58,58,1.0,-779.54,-837.54,-174.64,238.12,-1449.78,1.0,1.0,89.78,114.81,-344.52,-379.52,0.5,-602.32,phase10a_rejected_low_activity,-2666.84,low activity; negative stress; negative validation; fold instability; concentration
30,MNQ_10a_onrange_overnight_range_breakout_long_tf15_midday_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,long,15,midday_response,10:30,13:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,60,45,202,108,1.87037,-717.2,-919.2,467.15,315.81,-2021.9,1.0,1.0,76.57,78.03,245.07,125.07,0.5,-422.38,phase10a_rejected_negative_stress,-2816.03,negative stress; fold instability; concentration
31,MNQ_10a_onrange_overnight_range_breakout_short_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,short,5,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30,105,70,1.5,-1211.85,-1316.85,-489.54,-250.61,-1791.67,1.0,1.0,88.54,84.52,190.91,136.91,0.333333,-361.13,phase10a_rejected_negative_stress,-2971.61,negative stress; negative validation; negative holdout; fold instability; concentration
32,MNQ_10a_onrange_overnight_range_breakout_long_tf15_opening_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,60,45,74,74,1.0,-1041.51,-1115.51,-347.37,-439.75,-1076.53,1.0,1.0,85.94,110.99,-748.08,-790.08,0.166667,-382.31,phase10a_rejected_negative_stress,-2982.12,negative stress; negative validation; negative holdout; fold instability; concentration
33,MNQ_10a_onrange_overnight_range_breakout_long_tf15_opening_response_next_bar_open_hard_stop_time_exit,MNQ,overnight_range_breakout,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,1.25,1,1.5,2,60,45,74,74,1.0,-1114.51,-1188.51,-274.12,-456.25,-1149.53,1.0,1.0,90.86,112.35,-796.83,-838.83,0.333333,-533.04,phase10a_rejected_negative_stress,-3176.87,negative stress; negative validation; negative holdout; fold instability; concentration
34,MNQ_10a_onrange_overnight_range_fade_short_tf5_midday_response_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,overnight_range_fade,short,5,midday_response,10:30,13:30,close_confirm_fill_next_open_hard_stop_time_exit,1.25,1,1.5,2,30,30,167,94,1.776596,447.05,280.05,-360.09,-256.5,-2771.32,1.745934,1.586534,115.77,83.14,-1110.06,-1213.06,0.166667,-742.01,phase10a_rejected_negative_validation,-3704.33,negative validation; negative holdout; fold instability; concentration
35,MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_next_bar_open_hard_stop_structure_target_time_exit,MNQ,overnight_range_breakout,long,5,midday_response,10:30,13:30,next_bar_open_hard_stop_structure_target_time_exit,1.25,1,1.5,2,30,30,210,109,1.926606,-1173.05,-1383.05,-388.91,189.94,-1866.45,1.0,1.0,58.45,58.73,-338.01,-461.01,0.666667,-646.54,phase10a_rejected_negative_stress,-3710.51,negative stress; negative validation; fold instability; concentration
