candidate_id,fold,net_pnl,stress_pnl,trades
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,1,-75.78,-89.78,14
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,2,795.64,781.64,14
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,3,-175.36,-189.36,14
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,4,66.1,56.1,10
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,5,318.1,305.1,13
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_time_exit,6,-575.26,-590.26,15
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,1,-11.78,-25.78,14
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,2,399.45,385.45,14
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,3,-16.55,-30.55,14
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,4,66.1,56.1,10
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,5,72.6,59.6,13
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_next_bar_open_hard_stop_structure_target_time_exit,6,-443.76,-458.76,15
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,1,-221.29,-232.29,11
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,2,588.88,575.88,13
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,3,-127.07,-139.07,12
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,4,32.58,24.58,8
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,5,192.06,181.06,11
MNQ_10a_onrange_overnight_range_breakout_long_tf5_opening_response_close_confirm_fill_next_open_hard_stop_time_exit,6,-688.54,-700.54,12
MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_next_bar_open_hard_stop_time_exit,1,-183.01,-200.01,17
MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_next_bar_open_hard_stop_time_exit,2,31.22,11.22,20
MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_next_bar_open_hard_stop_time_exit,3,-650.04,-672.04,22
MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_next_bar_open_hard_stop_time_exit,4,151.83,134.83,17
MNQ_10a_onrange_overnight_range_breakout_long_tf5_midday_response_next_bar_open_hard_stop_time_exit,5,30.01,5.01,25
