phase10b_rank,candidate_id,instrument,axis,branch,side,timeframe,entry_window,entry_start,entry_end,execution_exit_variant,range_filter,gap_filter,touch_filter,max_trades_per_day,atr_cap_multiple,buffer_ticks,target_r,min_minutes_between_entries,time_stop_minutes,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,phase10b_label,research_axis_status,phase10b_score,reject_reasons
1,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,all_gaps,all_touches,1,1.25,1,1.5,60,45,78,78,1.0,3168.88,2955.16,2955.14,2955.14,2877.14,334.4,811.84,-493.05,0.306503,0.306503,164.89,92.19,1803.62,1766.62,0.833333,-43.94,phase10b_rejected_fold_instability,axis_positive_but_concentrated,4150.71,fold instability; concentration
2,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_widest_20,all_gaps,all_touches,2,1.25,1,1.5,60,45,78,78,1.0,3168.88,2955.16,2955.14,2955.14,2877.14,334.4,811.84,-493.05,0.306503,0.306503,164.89,92.19,1803.62,1766.62,0.833333,-43.94,phase10b_rejected_fold_instability,axis_positive_but_concentrated,4150.71,fold instability; concentration
3,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,1,1.25,1,1.5,60,45,87,87,1.0,2968.88,2730.5,2730.48,2730.48,2643.48,117.16,920.64,-505.29,0.331722,0.331722,167.07,95.26,1667.18,1624.18,0.833333,-262.18,phase10b_rejected_fold_instability,axis_positive_but_concentrated,3762.37,fold instability; concentration
4,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,2,1.25,1,1.5,60,45,87,87,1.0,2968.88,2730.5,2730.48,2730.48,2643.48,117.16,920.64,-505.29,0.331722,0.331722,167.07,95.26,1667.18,1624.18,0.833333,-262.18,phase10b_rejected_fold_instability,axis_positive_but_concentrated,3762.37,fold instability; concentration
5,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,all_gaps,all_touches,1,1.25,1,1.5,60,45,57,57,1.0,2673.38,2517.2,2517.19,2517.19,2460.19,334.4,811.84,-724.03,0.35983,0.35983,177.39,100.81,1963.34,1929.34,0.833333,-43.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,3665.5,low activity; fold instability; concentration
6,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,all_gaps,all_touches,2,1.25,1,1.5,60,45,57,57,1.0,2673.38,2517.2,2517.19,2517.19,2460.19,334.4,811.84,-724.03,0.35983,0.35983,177.39,100.81,1963.34,1929.34,0.833333,-43.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,3665.5,low activity; fold instability; concentration
7,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,all_gaps,first_touch_only,1,1.25,1,1.5,60,45,46,46,1.0,2069.38,1943.34,1943.33,1943.33,1897.33,340.14,692.56,-384.81,0.238127,0.238127,169.79,96.09,1956.02,1929.02,0.833333,-43.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,3441.54,low activity; fold instability; concentration
8,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,middle_60_only,all_gaps,first_touch_only,2,1.25,1,1.5,60,45,46,46,1.0,2069.38,1943.34,1943.33,1943.33,1897.33,340.14,692.56,-384.81,0.238127,0.238127,169.79,96.09,1956.02,1929.02,0.833333,-43.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,3441.54,low activity; fold instability; concentration
9,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,1,1.25,1,1.5,60,45,66,66,1.0,2473.38,2292.54,2292.53,2292.53,2226.53,117.16,920.64,-745.49,0.395092,0.395092,178.56,103.68,1826.9,1786.9,0.833333,-262.18,phase10b_rejected_fold_instability,axis_positive_but_concentrated,3267.94,fold instability; concentration
10,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,all_touches,2,1.25,1,1.5,60,45,66,66,1.0,2473.38,2292.54,2292.53,2292.53,2226.53,117.16,920.64,-745.49,0.395092,0.395092,178.56,103.68,1826.9,1786.9,0.833333,-262.18,phase10b_rejected_fold_instability,axis_positive_but_concentrated,3267.94,fold instability; concentration
