candidate_id,family,average_correlation_to_registry,max_correlation_to_registry
MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,0.078818,0.246257
MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_high_low_breakout,0.078738,0.248042
MNQ_13a_lunch_range_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,lunch_range_fade,0.054172,0.085413
MNQ_13a_power_hour_range_fade_short_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_fade,0.03157,0.068232
MNQ_13a_power_hour_range_fade_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_fade,0.061279,0.244958
MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,power_hour_range_breakout,0.090127,0.143787
MNQ_13a_power_hour_range_fade_long_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_range_fade,0.037269,0.112238
MNQ_13a_power_hour_range_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_range_breakout,0.064145,0.119002
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,lunch_range_breakout,0.063141,0.163276
MNQ_13a_prior_rth_high_low_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,0.068077,0.229102
MNQ_13a_power_hour_range_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_breakout,0.092917,0.148253
MNQ_13a_lunch_range_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,lunch_range_breakout,0.064896,0.152863
MNQ_13a_power_hour_range_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,power_hour_range_breakout,0.174845,0.264148
MNQ_13a_power_hour_range_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,power_hour_range_breakout,0.174983,0.264287
MNQ_13a_prior_rth_high_low_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,prior_rth_high_low_breakout,0.068246,0.225346
MNQ_13a_lunch_range_fade_short_close_confirm_fill_next_open_structure_target_time_exit,lunch_range_fade,0.033481,0.052268
