level_type,interaction_family,side,candidates,total_gap_days_covered,max_incremental_gap_days_covered,best_stress_pnl
prior_rth_close,breakout_hold,long,4,310,1,-1196.53
prior_rth_close,breakout_hold,short,4,322,1,-1056.07
prior_rth_close,reclaim_after_breach,long,4,360,1,-804.96
prior_rth_close,reclaim_after_breach,short,4,346,1,-1776.4
prior_rth_close,rejection_from_level,long,4,286,1,306.14
prior_rth_close,rejection_from_level,short,4,248,1,1024.98
prior_rth_midpoint,breakout_hold,long,4,270,1,-1579.91
prior_rth_midpoint,breakout_hold,short,4,270,1,2084.54
prior_rth_midpoint,reclaim_after_breach,long,4,300,1,-1533.26
prior_rth_midpoint,reclaim_after_breach,short,4,284,1,2441.84
prior_rth_midpoint,rejection_from_level,long,4,212,1,363.5
prior_rth_midpoint,rejection_from_level,short,4,198,0,858.97
