candidate_id,module_family,trigger_model,side,average_correlation_to_playbook,max_correlation_to_playbook
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,short,0.15277,0.31801
MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,short,0.125939,0.26653
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,long,0.021875,0.056681
MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,ema20_pullback_resume,long,0.021461,0.089833
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,long,0.048605,0.089771
MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_breakout_continuation,long,0.080831,0.157673
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,power_hour_continuation,power_range_edge_retest_resume,long,0.080831,0.157673
MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,trend_day_late_pullback_continuation,morning_midpoint_retest_resume,long,0.055711,0.122876
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_close_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_breakout,short,0.033198,0.076551
MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,low_volatility_late_expansion,lunch_expansion_retest_resume,short,0.033198,0.076551
