module_family,trigger_model,side,candidates,total_gap_days_covered,total_incremental_gap_days_covered,total_any_target_gap_days_covered,total_trend_days_with_no_module_covered,total_power_hour_expansion_days_with_no_module_covered,total_low_volatility_expansion_days_with_no_module_covered,total_no_trade_large_intraday_movement_days_covered,best_stress_pnl
low_volatility_late_expansion,lunch_expansion_breakout,long,4,0,0,4,4,4,0,0,-46.9
low_volatility_late_expansion,lunch_expansion_breakout,short,4,0,0,4,4,4,0,0,-30.18
low_volatility_late_expansion,lunch_expansion_retest_resume,long,4,0,0,4,4,4,0,0,-46.9
low_volatility_late_expansion,lunch_expansion_retest_resume,short,4,0,0,4,4,4,0,0,-30.18
power_hour_continuation,power_range_breakout_continuation,long,4,0,0,0,0,0,0,0,100.0
power_hour_continuation,power_range_breakout_continuation,short,4,4,4,4,4,4,0,0,-142.16
power_hour_continuation,power_range_edge_retest_resume,long,4,0,0,0,0,0,0,0,100.0
power_hour_continuation,power_range_edge_retest_resume,short,4,4,4,4,4,4,0,0,-142.16
trend_day_late_pullback_continuation,ema20_pullback_resume,long,4,0,0,4,0,0,0,4,430.04
trend_day_late_pullback_continuation,ema20_pullback_resume,short,4,0,0,0,0,0,0,0,905.11
trend_day_late_pullback_continuation,morning_midpoint_retest_resume,long,4,0,0,4,0,0,0,4,249.42
trend_day_late_pullback_continuation,morning_midpoint_retest_resume,short,4,0,0,0,0,0,0,0,80.9
