phase16a_rank,candidate_id,instrument,module_family,side,regime_variant,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,regime_build_start,regime_build_end,lunch_build_start,lunch_build_end,trade_start,trade_end,entry_rule,target_type,paper_trading_approved,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_playbook,max_correlation_to_playbook,gap_days_covered,incremental_gap_days_covered,invalid_risk_skipped_count,signals_found,official_gates_passed,validation_level,primary_fold_view,companion_fold_views,fold_adequacy_status,folds_below_min_activity,high_vol_mixed_power_expand_days_covered,high_vol_mixed_no_power_expand_days_covered,weak_fold_days_covered,no_trade_large_intraday_movement_days_covered,prior_level_interaction_days_covered,phase16a_label,signal_evidence_status,tradability_status,research_track,portfolio_role,reject_reasons,phase16a_score
1,MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False,30,30,1.0,598.82,516.62,486.62,67.03,703.28,-374.19,0.682204,0.682204,77.37,63.15,589.28,568.28,0.5,-133.29,0.071166,0.399801,0.087258,0.307035,29,0,0,30,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,9,5,10,30,0,29,phase16a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_low_activity,priority_research_signal_for_more_data,diversifier_module,low activity; fold instability; concentration; fold adequacy,680.71
2,MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False,30,30,1.0,439.11,356.91,326.91,284.75,415.6,-435.92,1.012188,1.012188,93.75,63.82,519.32,498.32,0.5,-133.29,0.062045,0.324539,0.074191,0.225462,29,0,0,30,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,9,5,10,30,0,29,phase16a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_low_activity,priority_research_signal_for_more_data,diversifier_module,low activity; fold instability; concentration; fold adequacy,389.31
3,MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_late_resolution_breakout,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,11:30,13:00,13:00,15:30,later_bar_open,fixed_1_5r,False,4,4,1.0,169.96,159.0,155.0,0.0,242.2,-155.46,2.216604,2.216604,137.25,103.88,242.2,240.2,0.166667,0.0,0.066237,0.604509,0.102527,0.484698,4,0,0,4,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,15,2,1,4,0,4,phase16a_watchlist_needs_more_history,weak_research_signal,watchlist_needs_more_history,priority_research_signal_for_more_data,rare_setup_module,negative validation; high correlation; low activity; fold instability; concentration; fold adequacy,239.74
4,MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,15,0,0,0,0,0,phase16a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration; fold adequacy,0.0
5,MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,15,0,0,0,0,0,phase16a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration; fold adequacy,0.0
6,MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,15,0,0,0,0,0,phase16a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration; fold adequacy,0.0
7,MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,15,0,0,0,0,0,phase16a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration; fold adequacy,0.0
8,MNQ_16a_high_vol_mixed_extreme_fade_short_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_extreme_fade,short,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,15,0,0,0,0,0,phase16a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration; fold adequacy,0.0
9,MNQ_16a_high_vol_mixed_extreme_fade_short_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,MNQ,high_vol_mixed_extreme_fade,short,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,15,0,0,0,0,0,phase16a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration; fold adequacy,0.0
10,MNQ_16a_high_vol_mixed_extreme_fade_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,high_vol_mixed_extreme_fade,short,strict_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,module_level_validation,existing_project_folds,half_year_folds|rolling_6_month_test_folds|quarterly_folds,low_activity_not_fully_interpretable,15,0,0,0,0,0,phase16a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration; fold adequacy,0.0
