candidate_id,module_family,regime_variant,side,average_correlation_to_registry,max_correlation_to_registry
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,broad_high_vol_mixed,long,0.071166,0.399801
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,broad_high_vol_mixed,long,0.062045,0.324539
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,long,0.066237,0.604509
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,strict_high_vol_mixed,long,0.0,0.0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,strict_high_vol_mixed,long,0.0,0.0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,strict_high_vol_mixed,long,0.0,0.0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,strict_high_vol_mixed,long,0.0,0.0
MNQ_16a_high_vol_mixed_extreme_fade_short_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,strict_high_vol_mixed,short,0.0,0.0
MNQ_16a_high_vol_mixed_extreme_fade_short_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,strict_high_vol_mixed,short,0.0,0.0
MNQ_16a_high_vol_mixed_extreme_fade_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,strict_high_vol_mixed,short,0.0,0.0
MNQ_16a_high_vol_mixed_extreme_fade_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,strict_high_vol_mixed,short,0.0,0.0
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,broad_high_vol_mixed,long,0.081461,0.375336
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,broad_high_vol_mixed,long,0.076094,0.399
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,short,0.057144,0.575522
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_midpoint_reclaim,broad_high_vol_mixed,long,0.059871,0.276396
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_midpoint_reclaim,strict_high_vol_mixed,long,0.030384,0.187854
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,long,0.062908,0.171276
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,short,0.08122,0.409156
MNQ_16a_high_vol_mixed_late_resolution_breakout_short_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,short,0.08122,0.409156
MNQ_16a_high_vol_mixed_midpoint_reclaim_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_midpoint_reclaim,broad_high_vol_mixed,long,0.062251,0.329587
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,long,0.062837,0.680344
MNQ_16a_high_vol_mixed_late_resolution_breakout_long_strict_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_late_resolution_breakout,strict_high_vol_mixed,long,0.062837,0.680344
