candidate_id,instrument,strategy_family,variant,params,session_count,trades,trades_per_session,active_sessions,active_session_pct,gross_pnl,net_pnl,stress_net_pnl,slippage_sensitivity,avg_trade,median_trade,win_rate,profit_factor,gross_profit_factor,max_drawdown,worst_trade,best_trade,worst_day,best_day,positive_week_pct,weekly_pnl,monthly_pnl,discovery_pnl,validation_pnl,holdout_pnl,discovery_trades,validation_trades,holdout_trades,one_day_concentration,one_trade_concentration,label,ranking_score,risk_notes,long_trades,short_trades,long_net_pnl,short_net_pnl,side_balance,longest_losing_streak,slippage_2_ticks_net_pnl,slippage_3_ticks_net_pnl,slippage_4_ticks_net_pnl,skip_first_trade_net_pnl,max_1_trade_per_day_net_pnl,time_of_day_pnl,day_of_week_pnl,phase3_label
MNQ_opening_range_failure_or30_fail_opposite,MNQ,opening_range_failure,or30_fail_opposite,max_trades=2;min_range=10.0;or_minutes=30;target=opposite,63,106,1.6825396825396826,56,0.8888888888888888,6986.9250000000175,6696.485000000017,6590.485000000017,106.0,63.17438679245299,-80.0525,0.42452830188679247,1.735900519961343,1.7821848683050554,-2237.5499999999815,-339.99,735.26,-580.8799999999942,1462.02,0.5384615384615384,2026-04-06/2026-04-12=-166.61;2026-04-13/2026-04-19=-664.38;2026-04-20/2026-04-26=-1006.00;2026-04-27/2026-05-03=1362.88;2026-05-04/2026-05-10=-576.88;2026-05-11/2026-05-17=-542.81;2026-05-18/2026-05-24=2448.09;2026-05-25/2026-05-31=552.78;2026-06-01/2026-06-07=414.38;2026-06-08/2026-06-14=2496.87;2026-06-15/2026-06-21=375.36;2026-06-22/2026-06-28=2449.08;2026-06-29/2026-07-05=-446.27,2026-04=-588.13;2026-05=1995.20;2026-06=4686.72;2026-07=602.69,443.5300000000303,3874.78499999999,2378.169999999997,63,21,22,0.218326480235526,0.10979790143635028,paper_trade_candidate,75.7416,No major Phase 2 risk flags.,43,63,5258.105000000002,1438.3800000000142,mostly long,17,6590.485000000017,6484.485000000017,6378.485000000017,3272.30000000001,3424.1850000000068,10:01=483.53;10:02=-467.31;10:03=-424.25;10:04=837.42;10:05=1111.06;10:06=-3.51;10:07=564.57;10:08=354.26;10:09=73.68;10:10=523.26;10:11=164.95;10:12=354.11;10:13=1075.02;10:14=-15.18;10:15=-145.92;10:21=554.26;10:22=430.26;10:23=-79.89;10:24=-223.76;10:25=-525.71;10:27=-231.84;10:29=726.76;10:30=254.20;10:31=231.70;10:32=686.78;10:35=76.52;10:36=625.26;10:38=-286.13;10:40=187.76;10:41=-381.76;10:42=161.76;10:43=-188.27;10:50=-147.31;10:53=-172.84;10:59=-27.43;11:02=-99.19;11:03=82.26;11:13=-323.33;11:28=-154.04;11:39=422.26;11:40=444.76;11:58=167.76,Friday=-582.31;Monday=925.90;Thursday=3565.64;Tuesday=40.30;Wednesday=2746.96,paper_trade_candidate
MNQ_opening_range_failure_or30_fail_mid,MNQ,opening_range_failure,or30_fail_mid,max_trades=2;min_range=10.0;or_minutes=30;target=mid,63,106,1.6825396825396826,56,0.8888888888888888,3194.8000000000247,2904.3600000000242,2798.3600000000242,106.0,27.399622641509662,62.635000000000005,0.5377358490566038,1.4258773466907002,1.477873591156921,-2045.419999999987,-339.1899999999971,356.01,-580.8799999999942,681.02,0.5384615384615384,2026-04-06/2026-04-12=-503.36;2026-04-13/2026-04-19=-664.38;2026-04-20/2026-04-26=-563.15;2026-04-27/2026-05-03=758.38;2026-05-04/2026-05-10=-519.90;2026-05-11/2026-05-17=-237.16;2026-05-18/2026-05-24=1374.34;2026-05-25/2026-05-31=347.28;2026-06-01/2026-06-07=858.73;2026-06-08/2026-06-14=745.37;2026-06-15/2026-06-21=688.56;2026-06-22/2026-06-28=894.08;2026-06-29/2026-07-05=-274.42,2026-04=-1086.53;2026-05=1078.58;2026-06=2137.77;2026-07=774.54,-765.994999999971,2362.1349999999957,1308.2199999999998,63,21,22,0.23448195127325616,0.1225777796140964,paper_trade_candidate,75.2405,No major Phase 2 risk flags.,43,63,3363.8550000000027,-459.4949999999784,mostly long,15,2798.3600000000242,2692.3600000000242,2586.3600000000242,1366.500000000014,1537.8600000000097,10:01=298.76;10:02=254.05;10:03=-506.25;10:04=263.17;10:05=737.24;10:06=-57.44;10:07=392.32;10:08=167.51;10:09=-103.32;10:10=237.01;10:11=-12.05;10:12=67.86;10:13=512.02;10:14=33.74;10:15=75.51;10:21=274.76;10:22=150.76;10:23=-79.89;10:24=-223.76;10:25=-525.71;10:27=147.26;10:29=336.26;10:30=97.20;10:31=74.70;10:32=421.53;10:35=128.77;10:36=307.76;10:38=-286.13;10:40=171.76;10:41=-381.76;10:42=145.76;10:43=-188.27;10:50=-147.31;10:53=206.26;10:59=-55.18;11:02=-99.19;11:03=54.51;11:13=-323.33;11:28=-154.04;11:39=198.01;11:40=220.51;11:58=73.01,Friday=80.39;Monday=40.63;Thursday=1781.09;Tuesday=-455.56;Wednesday=1457.81,paper_trade_candidate
MNQ_overnight_levels_sweep_reverse_60x90,MNQ,overnight_levels,sweep_reverse_60x90,max_trades=2;mode=sweep_reverse;stop_ticks=60;target_ticks=90;tick_size=0.25,63,64,1.0158730158730158,35,0.5555555555555556,2995.0,2819.6399999999994,2755.6399999999994,64.0,44.05687499999999,-39.24,0.234375,2.1686367479566977,2.3144612683783192,-414.4399999999987,-95.24,628.51,-171.48,824.02,0.6153846153846154,2026-04-06/2026-04-12=-61.93;2026-04-13/2026-04-19=-187.96;2026-04-20/2026-04-26=698.54;2026-04-27/2026-05-03=520.08;2026-05-04/2026-05-10=67.28;2026-05-11/2026-05-17=263.57;2026-05-18/2026-05-24=169.56;2026-05-25/2026-05-31=-255.44;2026-06-01/2026-06-07=366.76;2026-06-08/2026-06-14=1206.57;2026-06-15/2026-06-21=-86.48;2026-06-22/2026-06-28=-327.96;2026-06-29/2026-07-05=447.05,2026-04=1060.71;2026-05=152.99;2026-06=1698.92;2026-07=-92.98,1374.1599999999999,1326.3899999999999,119.09,41,14,9,0.29224298137350874,0.22290434239832038,watchlist,69.9375,active on less than 70% of sessions,29,35,2259.29,560.35,mostly long,7,2755.6399999999994,2691.6399999999994,2627.6399999999994,301.28999999999985,2518.3500000000004,09:36=261.01;09:37=208.77;09:42=-131.98;09:43=149.26;09:46=186.02;09:47=381.01;09:48=504.27;09:49=155.02;09:50=389.01;09:52=-38.74;09:53=-62.74;09:55=552.27;09:56=-45.74;09:57=-46.24;10:01=-69.74;10:04=-34.24;10:07=-37.24;10:08=313.52;10:11=-60.24;10:12=-48.74;10:16=625.51;10:18=-49.24;10:19=404.26;10:24=-33.74;10:26=-35.74;10:28=-46.24;10:33=-94.98;10:34=-82.48;10:37=419.76;10:51=-60.74;10:52=-36.74;10:53=-137.48;10:54=-37.24;10:55=-83.74;10:59=-34.74;11:31=-67.24;11:32=-105.98;11:39=-40.74;11:41=-82.98;11:57=165.26;12:03=158.77;12:04=-76.98;12:09=-35.74;12:10=-62.24;12:34=-42.24;12:36=-52.74;12:41=-59.74;12:42=-33.24;12:55=-34.24;12:56=-51.24,Friday=1321.63;Monday=251.69;Thursday=1093.90;Tuesday=296.88;Wednesday=-144.46,watchlist
MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,63,64,1.0158730158730158,35,0.5555555555555556,2570.0,2394.6399999999994,2330.6399999999994,64.0,37.41624999999999,-31.240000000000002,0.203125,2.1891505358189245,2.3713980789754534,-490.82000000000016,-85.24,628.51,-151.48,770.02,0.5384615384615384,2026-04-06/2026-04-12=-1.93;2026-04-13/2026-04-19=-147.96;2026-04-20/2026-04-26=708.54;2026-04-27/2026-05-03=-334.92;2026-05-04/2026-05-10=87.28;2026-05-11/2026-05-17=323.57;2026-05-18/2026-05-24=209.56;2026-05-25/2026-05-31=-195.44;2026-06-01/2026-06-07=366.76;2026-06-08/2026-06-14=1246.57;2026-06-15/2026-06-21=-66.48;2026-06-22/2026-06-28=-287.96;2026-06-29/2026-07-05=487.05,2026-04=295.71;2026-05=352.99;2026-06=1818.92;2026-07=-72.98,769.1599999999999,1426.3899999999999,199.09,41,14,9,0.3215598169244647,0.2624653392576755,watchlist,72.7917,active on less than 70% of sessions,29,35,1554.29,840.3499999999999,balanced,11,2330.6399999999994,2266.6399999999994,2202.6399999999994,83.78999999999985,2310.8500000000004,09:36=261.01;09:37=218.77;09:42=-111.98;09:43=149.26;09:46=196.02;09:47=381.01;09:48=514.27;09:49=165.02;09:50=389.01;09:52=-28.74;09:53=-52.74;09:55=562.27;09:56=-35.74;09:57=-36.24;10:01=-59.74;10:04=-24.24;10:07=-27.24;10:08=323.52;10:11=-50.24;10:12=-38.74;10:16=625.51;10:18=-39.24;10:19=-53.24;10:24=-23.74;10:26=-25.74;10:28=-36.24;10:33=-74.98;10:34=-62.48;10:37=-37.74;10:51=-50.74;10:52=-26.74;10:53=-117.48;10:54=-27.24;10:55=-73.74;10:59=-24.74;11:31=-57.24;11:32=-85.98;11:39=-30.74;11:41=-62.98;11:57=165.26;12:03=168.77;12:04=-56.98;12:09=-25.74;12:10=-52.24;12:34=-32.24;12:36=-42.74;12:41=-49.74;12:42=-23.24;12:55=-24.24;12:56=-41.24,Friday=1401.63;Monday=411.69;Thursday=278.90;Tuesday=406.88;Wednesday=-104.46,watchlist
MNQ_opening_range_failure_or15_fail_opposite,MNQ,opening_range_failure,or15_fail_opposite,max_trades=2;min_range=10.0;or_minutes=15;target=opposite,63,120,1.9047619047619047,60,0.9523809523809523,2181.2500000000364,1852.4500000000353,1732.4500000000353,120.0,15.437083333333627,-76.52749999999854,0.35833333333333334,1.1941114276822464,1.2337324868065092,-1205.2249999999813,-370.1650000000029,444.76,-729.3300000000058,867.02,0.5384615384615384,2026-04-06/2026-04-12=-497.90;2026-04-13/2026-04-19=120.70;2026-04-20/2026-04-26=-164.30;2026-04-27/2026-05-03=-167.22;2026-05-04/2026-05-10=-397.17;2026-05-11/2026-05-17=952.85;2026-05-18/2026-05-24=1461.40;2026-05-25/2026-05-31=-793.12;2026-06-01/2026-06-07=-121.95;2026-06-08/2026-06-14=719.47;2026-06-15/2026-06-21=106.95;2026-06-22/2026-06-28=360.28;2026-06-29/2026-07-05=272.46,2026-04=-432.74;2026-05=947.98;2026-06=1908.28;2026-07=-571.06,1062.995000000023,-195.3649999999784,984.8199999999911,72,26,22,0.4680396232016969,0.24009285000944236,paper_trade_candidate,56.5245,No major Phase 2 risk flags.,55,65,3715.7000000000085,-1863.2499999999725,mostly long,8,1732.4500000000353,1612.4500000000355,1492.4500000000355,913.5500000000184,938.9000000000169,09:46=208.17;09:47=338.51;09:48=-138.94;09:49=139.06;09:50=1472.02;09:51=-629.45;09:52=-385.06;09:53=-150.41;09:54=-500.59;09:55=-468.96;09:58=-34.49;09:59=56.70;10:00=-146.56;10:01=364.94;10:02=191.37;10:03=-401.16;10:04=57.30;10:05=328.26;10:06=-137.24;10:07=877.28;10:08=796.78;10:11=261.26;10:14=211.76;10:17=-97.99;10:19=-140.49;10:20=-146.31;10:21=-136.81;10:22=430.26;10:23=-172.69;10:26=-166.27;10:27=-363.70;10:30=300.76;10:31=280.26;10:32=-142.02;10:40=-129.27;10:47=402.26;10:53=-532.01;10:55=-370.17;11:06=-171.71;11:11=-169.21;11:39=422.26;11:40=444.76,Friday=1633.60;Monday=2096.16;Thursday=-1526.96;Tuesday=100.84;Wednesday=-451.19,paper_trade_candidate
MGC_opening_range_failure_or15_fail_opposite,MGC,opening_range_failure,or15_fail_opposite,max_trades=2;min_range=1.0;or_minutes=15;target=opposite,63,122,1.9365079365079365,62,0.9841269841269841,2242.3500000000695,1849.5100000000684,1605.5100000000684,244.0,15.159918032787447,-53.02000000000018,0.3524590163934426,1.29204188200594,1.3688894738141018,-1516.6999999999734,-202.41999999999618,578.7800000000027,-373.83999999999327,1097.5600000000054,0.6153846153846154,2026-04-06/2026-04-12=234.92;2026-04-13/2026-04-19=-445.50;2026-04-20/2026-04-26=296.80;2026-04-27/2026-05-03=151.72;2026-05-04/2026-05-10=394.10;2026-05-11/2026-05-17=392.15;2026-05-18/2026-05-24=-450.90;2026-05-25/2026-05-31=-351.16;2026-06-01/2026-06-07=-101.65;2026-06-08/2026-06-14=1328.05;2026-06-15/2026-06-21=13.44;2026-06-22/2026-06-28=-983.90;2026-06-29/2026-07-05=1371.44,2026-04=376.66;2026-05=-154.53;2026-06=13.26;2026-07=1614.12,557.5100000000405,1194.5799999999856,97.42000000004342,72,26,24,0.5934328551886525,0.31293694005438266,paper_trade_candidate,64.6256,one-day concentration risk,56,66,622.5300000000484,1226.980000000021,balanced,20,1605.5100000000684,1361.5100000000684,1117.5100000000684,591.3500000000399,1258.1600000000287,09:46=-375.11;09:47=836.21;09:48=742.80;09:49=-156.46;09:50=-326.02;09:51=63.61;09:52=-77.57;09:53=172.76;09:54=-82.22;09:55=257.89;09:56=230.56;09:57=-185.69;10:00=-41.27;10:01=816.08;10:03=-144.33;10:04=-250.16;10:05=-133.74;10:07=25.26;10:08=149.78;10:10=-229.86;10:11=207.56;10:12=1.49;10:15=-142.42;10:17=-69.07;10:21=-145.39;10:22=-175.39;10:23=261.78;10:24=236.78;10:28=-57.67;10:29=-67.97;10:34=279.78;10:36=-45.67;10:37=-44.67;10:38=252.78;10:47=-116.17;11:00=-67.92;11:02=283.78;11:07=-34.62,Friday=-414.51;Monday=414.08;Thursday=-184.72;Tuesday=130.38;Wednesday=1904.28,paper_trade_candidate
MGC_opening_range_failure_or30_fail_opposite,MGC,opening_range_failure,or30_fail_opposite,max_trades=2;min_range=1.0;or_minutes=30;target=opposite,63,114,1.8095238095238095,59,0.9365079365079365,2031.2500000000728,1664.1700000000724,1436.1700000000724,228.0,14.597982456140986,-69.41999999999209,0.3684210526315789,1.2298707523492456,1.28985765759339,-2290.609999999937,-185.7700000000011,660.7800000000009,-369.540000000004,1311.5600000000018,0.46153846153846156,2026-04-06/2026-04-12=732.32;2026-04-13/2026-04-19=261.57;2026-04-20/2026-04-26=-769.28;2026-04-27/2026-05-03=-895.68;2026-05-04/2026-05-10=1411.35;2026-05-11/2026-05-17=-451.10;2026-05-18/2026-05-24=-43.86;2026-05-25/2026-05-31=-660.96;2026-06-01/2026-06-07=-342.90;2026-06-08/2026-06-14=515.94;2026-06-15/2026-06-21=-315.15;2026-06-22/2026-06-28=739.74;2026-06-29/2026-07-05=1482.18,2026-04=-319.23;2026-05=-96.41;2026-06=768.25;2026-07=1311.56,17.340000000019273,43.6200000000286,1603.2100000000246,68,24,22,0.7881165986647667,0.3970628000744949,paper_trade_candidate,59.6444,one-day concentration risk; one-trade concentration risk,61,53,-1362.0699999999551,3026.240000000028,mostly short,15,1436.1700000000724,1208.1700000000724,980.1700000000723,157.050000000031,1507.1200000000408,10:01=291.17;10:02=-584.82;10:03=584.30;10:04=-348.58;10:05=-133.74;10:06=-70.56;10:07=199.28;10:08=427.17;10:09=-54.46;10:10=-154.24;10:11=530.55;10:12=38.11;10:13=-81.37;10:14=-119.37;10:15=-68.87;10:16=70.78;10:18=124.78;10:20=-89.27;10:21=-10.73;10:22=131.26;10:23=261.78;10:24=114.51;10:26=238.78;10:27=-11.61;10:28=40.14;10:29=-115.22;10:30=84.81;10:32=-96.64;10:33=-121.64;10:34=174.36;10:35=-111.62;10:37=-114.22;10:38=127.31;10:39=660.78;10:40=583.71;10:41=-114.62;10:43=277.78;10:44=83.78;10:47=-150.82;10:48=-139.37;10:51=-161.82;10:56=-69.97;11:00=-119.22;11:01=-143.22;11:02=283.78;11:03=-177.42;11:05=-174.42;11:17=149.78;11:29=-89.22;11:35=-123.72;11:43=-106.67;11:44=-113.67;11:48=158.78;11:54=-2.19,Friday=-985.43;Monday=282.38;Thursday=1327.06;Tuesday=388.23;Wednesday=651.93,paper_trade_candidate
MNQ_opening_range_failure_or15_fail_mid,MNQ,opening_range_failure,or15_fail_mid,max_trades=2;min_range=10.0;or_minutes=15;target=mid,63,120,1.9047619047619047,60,0.9523809523809523,1730.800000000032,1402.0000000000314,1282.0000000000314,120.0,11.683333333333595,54.76,0.55,1.219563035106601,1.2774851902620528,-868.7199999999799,-370.1650000000029,220.51,-729.3300000000058,418.52,0.6153846153846154,2026-04-06/2026-04-12=-661.90;2026-04-13/2026-04-19=-69.67;2026-04-20/2026-04-26=394.65;2026-04-27/2026-05-03=-557.47;2026-05-04/2026-05-10=248.53;2026-05-11/2026-05-17=403.62;2026-05-18/2026-05-24=1044.35;2026-05-25/2026-05-31=-404.67;2026-06-01/2026-06-07=301.20;2026-06-08/2026-06-14=-35.65;2026-06-15/2026-06-21=462.80;2026-06-22/2026-06-28=185.23;2026-06-29/2026-07-05=90.98,2026-04=-618.42;2026-05=1015.86;2026-06=1281.10;2026-07=-276.54,556.7450000000234,-138.88999999997975,984.1449999999882,72,26,22,0.298516405135514,0.15728245363765697,paper_trade_candidate,58.9244,No major Phase 2 risk flags.,55,65,1975.4250000000072,-573.4249999999754,mostly long,8,1282.0000000000314,1162.0000000000314,1042.0000000000314,451.40000000001737,950.600000000014,09:46=387.27;09:47=383.26;09:48=248.91;09:49=103.76;09:50=453.77;09:51=-294.55;09:52=-129.65;09:53=-259.41;09:54=-345.47;09:55=-306.43;09:58=-226.74;09:59=-26.55;10:00=-146.56;10:01=285.32;10:02=4.12;10:03=-33.51;10:04=-24.70;10:05=158.51;10:06=177.26;10:07=395.28;10:08=372.03;10:11=106.76;10:14=102.76;10:17=-97.99;10:19=-140.49;10:20=-146.31;10:21=-136.81;10:22=190.76;10:23=-172.69;10:26=-166.27;10:27=15.39;10:30=143.76;10:31=123.26;10:32=152.51;10:40=-129.27;10:47=182.76;10:53=-152.91;10:55=-370.17;11:06=150.01;11:11=152.51;11:39=198.01;11:40=220.51,Friday=401.38;Monday=1404.11;Thursday=-565.59;Tuesday=-139.58;Wednesday=301.69,paper_trade_candidate
MNQ_opening_range_failure_or5_fail_opposite,MNQ,opening_range_failure,or5_fail_opposite,max_trades=2;min_range=10.0;or_minutes=5;target=opposite,63,115,1.8253968253968254,58,0.9206349206349206,1353.1999999999898,1038.099999999989,923.0999999999894,114.99999999999955,9.026956521739034,-62.91500000000291,0.3826086956521739,1.1490058620551054,1.1998139479940326,-1047.5099999999943,-226.71499999999855,417.76,-369.4299999999971,796.52,0.5384615384615384,2026-04-06/2026-04-12=133.30;2026-04-13/2026-04-19=-480.85;2026-04-20/2026-04-26=435.95;2026-04-27/2026-05-03=-242.25;2026-05-04/2026-05-10=-178.42;2026-05-11/2026-05-17=45.13;2026-05-18/2026-05-24=158.22;2026-05-25/2026-05-31=428.21;2026-06-01/2026-06-07=-209.15;2026-06-08/2026-06-14=890.05;2026-06-15/2026-06-21=-347.45;2026-06-22/2026-06-28=-629.51;2026-06-29/2026-07-05=1034.87,2026-04=-153.85;2026-05=453.14;2026-06=384.72;2026-07=354.09,286.124999999981,514.0899999999984,237.88500000001014,70,24,21,0.7672863885945559,0.40242751180040887,paper_trade_candidate,62.3658,one-day concentration risk; one-trade concentration risk,52,63,406.46999999997513,631.6300000000144,balanced,9,923.0999999999894,808.0999999999893,693.0999999999893,453.6449999999968,584.4549999999927,09:36=-43.47;09:37=115.00;09:38=17.15;09:39=343.27;09:40=-389.80;09:41=-464.28;09:42=-583.53;09:43=293.24;09:44=416.51;09:45=-308.38;09:46=215.43;09:47=-115.54;09:48=-44.89;09:49=112.76;09:50=491.53;09:51=-175.93;09:52=79.87;09:53=211.72;09:54=-70.11;09:55=107.14;09:56=106.67;09:57=-70.52;09:59=-55.12;10:00=-132.53;10:03=-73.39;10:04=-46.69;10:07=306.76;10:10=-75.84;10:14=31.76;10:15=23.26;10:18=70.76;10:27=164.26;10:30=300.76;10:31=280.26,Friday=-603.15;Monday=634.86;Thursday=32.47;Tuesday=594.13;Wednesday=379.79,paper_trade_candidate
MNQ_vwap_reclaim_rejection_reclaim_80x120,MNQ,vwap_reclaim_rejection,reclaim_80x120,max_trades=3;mode=reclaim;stop_ticks=80;target_ticks=120;tick_size=0.25,63,160,2.5396825396825395,61,0.9682539682539683,1159.0,720.5999999999995,560.5999999999995,160.0,4.503749999999997,-41.74,0.475,1.1994928242381295,1.3426966292134832,-541.2400000000002,-49.24,59.26,-130.72,173.78,0.7692307692307693,2026-04-06/2026-04-12=210.14;2026-04-13/2026-04-19=126.86;2026-04-20/2026-04-26=135.36;2026-04-27/2026-05-03=209.14;2026-05-04/2026-05-10=28.86;2026-05-11/2026-05-17=103.64;2026-05-18/2026-05-24=-98.36;2026-05-25/2026-05-31=-243.88;2026-06-01/2026-06-07=-56.12;2026-06-08/2026-06-14=23.86;2026-06-15/2026-06-21=88.64;2026-06-22/2026-06-28=192.14;2026-06-29/2026-07-05=0.32,2026-04=709.22;2026-05=-237.46;2026-06=120.80;2026-07=128.04,730.1999999999998,-220.42000000000007,210.81999999999994,95,33,32,0.24116014432417449,0.08223702470163759,paper_trade_candidate,57.0318,No major Phase 2 risk flags.,160,0,720.5999999999997,0.0,mostly long,10,560.5999999999995,400.59999999999945,240.59999999999945,633.7399999999996,86.85999999999987,09:46=-100.68;09:47=70.28;09:48=-170.46;09:49=27.54;09:50=-72.96;09:51=67.78;09:52=-9.70;09:53=72.10;09:54=56.76;09:55=84.80;09:57=58.26;09:58=15.52;10:00=-83.98;10:01=14.52;10:02=14.02;10:03=16.02;10:04=-42.74;10:05=-92.48;10:06=15.02;10:08=7.02;10:09=85.80;10:11=115.02;10:12=-17.20;10:13=15.52;10:14=174.78;10:15=87.80;10:16=11.02;10:17=-44.24;10:18=14.02;10:19=-44.24;10:21=57.26;10:22=-42.74;10:23=116.52;10:24=55.76;10:25=-42.74;10:26=-85.98;10:28=-42.74;10:29=15.02;10:30=-43.24;10:31=-41.74;10:32=-42.24;10:34=-128.22;10:35=-41.74;10:37=114.52;10:38=-43.24;10:40=-42.74;10:41=-84.98;10:42=58.26;10:44=73.28;10:47=58.26;10:51=-70.46;10:52=-28.72;10:53=12.02;11:11=71.28;11:12=57.76;11:13=-42.74;11:27=58.26;11:29=-42.24;11:34=-42.74;11:47=57.76;11:55=-42.74;11:56=17.52;11:58=58.76;11:59=57.76;12:05=57.26;12:07=58.26;12:09=56.76;12:19=57.76;12:27=57.76;12:30=-41.74;12:36=-43.74;12:51=26.76;12:58=56.76;13:31=-41.74;13:36=57.76;13:38=14.52;13:58=-42.74;14:43=56.26;14:58=57.76,Friday=-74.68;Monday=30.86;Thursday=-61.18;Tuesday=298.78;Wednesday=526.82,paper_trade_candidate
