trade_number,candidate_id,trading_session,split,side,entry_time,exit_time,entry_hour,entry_time_bucket,exit_reason,net_pnl,gross_pnl,mae_dollars,mfe_dollars,initial_risk_dollars,r_multiple,opening_range_high,opening_range_low,opening_range_points,opening_drive_dollars,breakout_side,day_range_points,trend_day_proxy,low_volatility_proxy,high_volatility_proxy,opening_gap_points,large_gap_proxy,rollover_proximity_flag,data_gap_near_trade_minutes,data_gap_proximity_flag,same_bar_stop_target_ambiguity
1,MNQ_opening_range_failure_or30_fail_opposite,2026-04-06,discovery,short,2026-04-06 10:01:00-04:00,2026-04-06 13:12:00-04:00,10:01,10:00-10:29,target,303.76,306.5,-10.0,353.0,159.9250000000029,1.8993903392214755,24418.0,24245.25,172.75,306.0,high,250.5,False,False,True,0.0,False,False,1,False,False
2,MNQ_opening_range_failure_or30_fail_opposite,2026-04-07,discovery,long,2026-04-07 10:24:00-04:00,2026-04-07 10:51:00-04:00,10:24,10:00-10:29,stop,-135.91500000000292,-133.1750000000029,-139.5,52.5,133.1750000000029,-1.0205744321381638,24303.25,24118.0,185.25,-247.0,low,439.25,True,False,True,-119.75,True,False,1,False,False
3,MNQ_opening_range_failure_or30_fail_opposite,2026-04-07,discovery,long,2026-04-07 10:25:00-04:00,2026-04-07 10:51:00-04:00,10:25,10:00-10:29,stop,-134.91500000000292,-132.1750000000029,-138.5,53.5,132.1750000000029,-1.0207300926801586,24303.25,24118.0,185.25,-247.0,low,439.25,True,False,True,-119.75,True,False,1,False,False
4,MNQ_opening_range_failure_or30_fail_opposite,2026-04-08,discovery,long,2026-04-08 10:07:00-04:00,2026-04-08 10:52:00-04:00,10:07,10:00-10:29,stop,-173.96499999999855,-171.22499999999854,-183.5,16.5,171.22499999999854,-1.016002336107461,25251.75,25065.0,186.75,-236.5,low,325.25,True,False,True,830.0,True,False,1,False,False
5,MNQ_opening_range_failure_or30_fail_opposite,2026-04-08,discovery,long,2026-04-08 10:09:00-04:00,2026-04-08 10:52:00-04:00,10:09,10:00-10:29,stop,-139.46499999999855,-136.72499999999854,-149.0,50.5,136.72499999999854,-1.0200402267324926,25251.75,25065.0,186.75,-236.5,low,325.25,True,False,True,830.0,True,False,1,False,False
6,MNQ_opening_range_failure_or30_fail_opposite,2026-04-09,discovery,long,2026-04-09 10:11:00-04:00,2026-04-09 10:27:00-04:00,10:11,10:00-10:29,stop,-96.31499999999708,-93.57499999999709,-102.0,68.0,93.57499999999709,-1.0292813251402626,25112.75,25005.5,107.25,-95.5,low,313.0,True,False,False,1.5,False,False,1,False,False
7,MNQ_opening_range_failure_or30_fail_opposite,2026-04-09,discovery,long,2026-04-09 10:12:00-04:00,2026-04-09 10:27:00-04:00,10:12,10:00-10:29,stop,-102.31499999999708,-99.57499999999709,-108.0,62.0,99.57499999999709,-1.0275169470248564,25112.75,25005.5,107.25,-95.5,low,313.0,True,False,False,1.5,False,False,1,False,False
8,MNQ_opening_range_failure_or30_fail_opposite,2026-04-10,discovery,long,2026-04-10 10:03:00-04:00,2026-04-10 10:32:00-04:00,10:03,10:00-10:29,target,152.76,155.5,-51.0,165.5,65.90000000000146,2.318057663125897,25372.0,25290.0,82.0,8.5,low,171.5,True,False,False,66.25,False,False,1,False,False
9,MNQ_opening_range_failure_or30_fail_opposite,2026-04-10,discovery,long,2026-04-10 10:04:00-04:00,2026-04-10 10:32:00-04:00,10:04,10:00-10:29,target,159.76,162.5,-44.0,172.5,58.900000000001455,2.7123938879456033,25372.0,25290.0,82.0,8.5,low,171.5,True,False,False,66.25,False,False,1,False,False
10,MNQ_opening_range_failure_or30_fail_opposite,2026-04-13,discovery,short,2026-04-13 10:02:00-04:00,2026-04-13 12:25:00-04:00,10:02,10:00-10:29,stop,-123.115,-120.375,-125.5,118.0,120.375,-1.0227622014537903,25311.25,25160.0,151.25,184.0,high,390.25,True,False,True,-68.5,False,False,1,False,False
