trading_session,left_trade_number,right_trade_number,left_entry_time,right_entry_time,left_exit_time,right_exit_time,same_side,same_exit_time,likely_duplicate_or_pyramid,pair_net_pnl,active_sessions,sessions_with_1_trade,sessions_with_2_trades,overlapping_trade_pairs,same_side_overlap_pairs,same_exit_overlap_pairs,likely_duplicate_or_pyramid_entries,overlap_cluster_count,overlap_trade_pnl,first_entry_only_total_pnl,baseline_total_pnl,max_simultaneous_exposure,has_more_than_1_mnq_exposure
2026-04-07,2,3,2026-04-07 10:24:00-04:00,2026-04-07 10:25:00-04:00,2026-04-07 10:51:00-04:00,2026-04-07 10:51:00-04:00,True,True,True,-270.83000000000584,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-08,4,5,2026-04-08 10:07:00-04:00,2026-04-08 10:09:00-04:00,2026-04-08 10:52:00-04:00,2026-04-08 10:52:00-04:00,True,True,True,-313.4299999999971,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-09,6,7,2026-04-09 10:11:00-04:00,2026-04-09 10:12:00-04:00,2026-04-09 10:27:00-04:00,2026-04-09 10:27:00-04:00,True,True,True,-198.62999999999417,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-10,8,9,2026-04-10 10:03:00-04:00,2026-04-10 10:04:00-04:00,2026-04-10 10:32:00-04:00,2026-04-10 10:32:00-04:00,True,True,True,312.52,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-13,10,11,2026-04-13 10:02:00-04:00,2026-04-13 10:09:00-04:00,2026-04-13 12:25:00-04:00,2026-04-13 12:25:00-04:00,True,True,True,-237.73,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-15,13,14,2026-04-15 10:01:00-04:00,2026-04-15 10:06:00-04:00,2026-04-15 10:17:00-04:00,2026-04-15 10:17:00-04:00,True,True,True,-173.0300000000029,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-17,15,16,2026-04-17 10:23:00-04:00,2026-04-17 10:25:00-04:00,2026-04-17 10:33:00-04:00,2026-04-17 10:33:00-04:00,True,True,True,-158.7800000000029,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-20,17,18,2026-04-20 10:32:00-04:00,2026-04-20 10:35:00-04:00,2026-04-20 10:51:00-04:00,2026-04-20 10:51:00-04:00,True,True,True,-210.98,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-21,19,20,2026-04-21 10:03:00-04:00,2026-04-21 10:06:00-04:00,2026-04-21 10:17:00-04:00,2026-04-21 10:17:00-04:00,True,True,True,-176.17999999999708,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
2026-04-22,21,22,2026-04-22 10:03:00-04:00,2026-04-22 10:05:00-04:00,2026-04-22 10:14:00-04:00,2026-04-22 10:14:00-04:00,True,True,True,-153.62999999999417,56,6,50,45,45,45,45,45,8095.800000000008,2573.5850000000137,6696.485000000017,2,True
