strategy_family,variants,traded,best_net_pnl,best_holdout_pnl,best_slippage_4_ticks,best_score,paper_candidates,median_net_pnl
opening_range_failure,240,240,5769.275000000003,3160.820000000005,5514.275000000003,88.966,70,944.5950000000155
compression_breakout,18,18,3379.1000000000004,1238.86,3199.1000000000004,84.1011,2,-195.88999999998526
vwap_pullback_trend,12,12,2147.1599999999994,1078.7199999999998,1949.1599999999994,81.6524,1,-381.48499999997745
opening_range_breakout,60,60,3886.4500000000007,836.0799999999999,3751.4500000000007,80.4586,8,-917.2700000000006
overnight_levels,18,18,2509.58,286.83,2335.58,75.7696,0,-202.2200000000002
first_hour_range,12,12,3992.08,835.5799999999999,3893.08,72.4107,0,1762.7299999999998
time_of_day,20,20,489.35999999998717,1464.62,211.5499999999996,47.6084,0,-211.180000000043
vwap_reclaim_rejection,17,17,571.4199999999998,98.37999999999995,370.4199999999998,43.5212,2,-427.16000000000054
moving_average_pullback,12,12,1157.4299999999994,146.99999999999977,803.4299999999994,40.0373,0,-393.3500000000157
prior_session_levels,24,24,163.51999999999956,1216.3999999999999,-67.48000000000044,-25.4395,0,-540.1400000000002
