candidate_id,instrument,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,session_count,net_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,trades_per_session,active_sessions,active_session_pct,win_rate,avg_trade,median_trade,profit_factor,max_drawdown,worst_day,worst_rolling_5_day,longest_losing_streak,long_net_pnl,short_net_pnl,best_day_concentration,best_trade_concentration,max_simultaneous_exposure,same_bar_stop_target_ambiguity_count,one_open_position_respected,beats_phase3b_benchmark_net,beats_phase3b_benchmark_slippage,label,ranking_score,risk_notes
MNQ_opening_range_failure_or20_tf1_mid_stop_after_first_loser,MNQ,opening_range_failure,or20_tf1_mid_stop_after_first_loser,1,1m,close back inside failed opening range,35pct opening range beyond failed side,mid of opening range,15:55 ET,2,True,True,stop_after_first_loser,new_candidate,min_range=10.0;or_minutes=20;target=mid,63,2275.305000000013,1856.8950000000057,2026.3050000000128,83,1.3174603174603174,61,0.9682539682539683,0.5783132530120482,27.413313253012205,42.26,1.490401806160996,-812.5799999999974,-223.39000000000146,-447.96000000000004,4,1773.2850000000026,502.02000000000976,0.2787582324127958,0.2787582324127958,1,0,True,False,False,paper_trade_candidate,88.966,No major Phase 4A risk flags.
MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,63,4275.41500000003,2773.785,4038.41500000003,79,1.253968253968254,55,0.873015873015873,0.4430379746835443,54.119177215190255,-87.83999999999854,1.597067878282601,-1041.4399999999928,-505.73,-740.6799999999928,6,2973.0950000000084,1302.32000000002,0.2878129959313871,0.15641990309712514,1,0,True,True,True,paper_trade_candidate,87.3798,"opening-range-failure robustness confirmation, not independent discovery"
MNQ_opening_range_failure_or30_tf2_opposite_max2,MNQ,opening_range_failure,or30_tf2_opposite_max2,2,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,63,4390.115000000027,2567.785,4153.115000000027,79,1.253968253968254,56,0.8888888888888888,0.4430379746835443,55.57107594936743,-93.39000000000145,1.613060214481673,-1133.7399999999957,-431.23,-1133.7399999999957,6,3002.5950000000084,1387.520000000017,0.3047801709066828,0.16793637524301652,1,0,True,True,True,paper_trade_candidate,87.143,"opening-range-failure robustness confirmation, not independent discovery"
MNQ_opening_range_failure_or25_tf5_opposite_max2,MNQ,opening_range_failure,or25_tf5_opposite_max2,5,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=25;target=opposite,63,4798.225000000017,2947.4200000000073,4558.225000000017,80,1.2698412698412698,55,0.873015873015873,0.4875,59.97781250000021,-43.74,1.7609689449465311,-1125.4599999999987,-439.73,-783.5049999999972,5,3550.2949999999983,1247.9300000000185,0.2710418957010135,0.13937654028312504,1,0,True,True,True,paper_trade_candidate,87.0633,"opening-range-failure robustness confirmation, not independent discovery"
MNQ_opening_range_failure_or20_tf1_mid_max1,MNQ,opening_range_failure,or20_tf1_mid_max1,1,1m,close back inside failed opening range,35pct opening range beyond failed side,mid of opening range,15:55 ET,1,False,True,max1,new_candidate,min_range=10.0;or_minutes=20;target=mid,63,2181.8599999999997,1637.235,1998.8599999999994,61,0.9682539682539683,61,0.9682539682539683,0.5737704918032787,35.76819672131147,70.76,1.6504782007250527,-726.1599999999974,-223.39000000000146,-447.96000000000004,4,2056.819999999995,125.04000000000417,0.2906969283088741,0.2906969283088741,1,0,True,False,False,paper_trade_candidate,87.0265,No major Phase 4A risk flags.
MNQ_opening_range_failure_or30_tf1_opposite_max2,MNQ,opening_range_failure,or30_tf1_opposite_max2,1,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,63,4771.895000000022,2169.535,4540.895000000022,77,1.2222222222222223,56,0.8888888888888888,0.44155844155844154,61.972662337662626,-80.21499999999854,1.7018065445047408,-1127.2399999999957,-440.48,-1127.2399999999957,6,3645.5600000000077,1126.3350000000141,0.28039594333068807,0.15408134504216806,1,0,True,True,True,paper_trade_candidate,86.9388,"opening-range-failure robustness confirmation, not independent discovery"
MNQ_opening_range_failure_or25_tf3_opposite_max2,MNQ,opening_range_failure,or25_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=25;target=opposite,63,4578.765000000021,2890.0600000000013,4341.765000000021,79,1.253968253968254,54,0.8571428571428571,0.4430379746835443,57.95905063291166,-77.06499999999708,1.6873644697346757,-1092.2649999999971,-505.73,-791.5049999999972,6,3445.0600000000077,1133.7050000000127,0.2687449563364781,0.14605685157460513,1,0,True,True,True,paper_trade_candidate,86.8671,"opening-range-failure robustness confirmation, not independent discovery"
MNQ_opening_range_failure_or30_tf5_opposite_max2,MNQ,opening_range_failure,or30_tf5_opposite_max2,5,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,63,3950.545000000031,2458.0750000000025,3719.545000000031,77,1.2222222222222223,54,0.8571428571428571,0.4675324675324675,51.30577922077963,-77.76500000000145,1.5695452124074596,-1057.1999999999928,-439.73,-756.1799999999928,5,2868.885000000012,1081.6600000000185,0.32920014833396144,0.1692829723493834,1,0,True,True,True,paper_trade_candidate,86.7945,"opening-range-failure robustness confirmation, not independent discovery"
MNQ_opening_range_failure_or20_tf1_mid_max2,MNQ,opening_range_failure,or20_tf1_mid_max2,1,1m,close back inside failed opening range,35pct opening range beyond failed side,mid of opening range,15:55 ET,2,False,True,max2,new_candidate,min_range=10.0;or_minutes=20;target=mid,63,2312.5800000000127,2170.665000000006,2018.5800000000124,98,1.5555555555555556,61,0.9682539682539683,0.5714285714285714,23.597755102040946,48.76,1.4083860611401247,-723.4599999999986,-409.73,-474.1050000000029,4,1909.415000000001,403.16500000001133,0.27426510650442215,0.27426510650442215,1,0,True,False,False,paper_trade_candidate,86.6228,No major Phase 4A risk flags.
MNQ_opening_range_failure_or25_tf2_opposite_max2,MNQ,opening_range_failure,or25_tf2_opposite_max2,2,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=25;target=opposite,63,5474.470000000016,2822.080000000009,5228.470000000016,82,1.3015873015873016,55,0.873015873015873,0.45121951219512196,66.76182926829287,-67.53999999999927,1.844284910127007,-1227.2050000000015,-432.6299999999942,-1227.2050000000015,7,3980.4949999999953,1493.97500000002,0.24441087447734597,0.1346723975106262,1,0,True,True,True,paper_trade_candidate,86.5474,"opening-range-failure robustness confirmation, not independent discovery"
