candidate_id,instrument,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,session_count,net_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,trades_per_session,active_sessions,active_session_pct,win_rate,avg_trade,median_trade,profit_factor,max_drawdown,worst_day,worst_rolling_5_day,longest_losing_streak,long_net_pnl,short_net_pnl,best_day_concentration,best_trade_concentration,max_simultaneous_exposure,same_bar_stop_target_ambiguity_count,one_open_position_respected,beats_phase3b_benchmark_net,beats_phase3b_benchmark_slippage,label,ranking_score,risk_notes,risk_adjusted
MNQ_opening_range_failure_or25_tf1_opposite_max2,MNQ,opening_range_failure,or25_tf1_opposite_max2,1,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=25;target=opposite,63,5769.275000000003,3122.355000000003,5514.275000000003,85,1.3492063492063493,59,0.9365079365079365,0.43529411764705883,67.87382352941181,-77.06499999999708,1.8679066604787333,-1452.0400000000045,-409.73,-1231.2050000000015,7,4553.214999999993,1216.0600000000097,0.23192168860038725,0.12744408959531303,1,0,True,True,True,paper_trade_candidate,86.3021,"opening-range-failure robustness confirmation, not independent discovery",
MNQ_opening_range_failure_or25_tf2_opposite_max2,MNQ,opening_range_failure,or25_tf2_opposite_max2,2,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=25;target=opposite,63,5474.470000000016,2822.080000000009,5228.470000000016,82,1.3015873015873016,55,0.873015873015873,0.45121951219512196,66.76182926829287,-67.53999999999927,1.844284910127007,-1227.2050000000015,-432.6299999999942,-1227.2050000000015,7,3980.4949999999953,1493.97500000002,0.24441087447734597,0.1346723975106262,1,0,True,True,True,paper_trade_candidate,86.5474,"opening-range-failure robustness confirmation, not independent discovery",
MNQ_opening_range_failure_or25_tf1_opposite_stop_after_first_loser,MNQ,opening_range_failure,or25_tf1_opposite_stop_after_first_loser,1,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,True,True,stop_after_first_loser,robustness_confirmation,min_range=10.0;or_minutes=25;target=opposite,63,5465.270000000002,2783.4500000000035,5249.270000000002,72,1.1428571428571428,59,0.9365079365079365,0.4444444444444444,75.90652777777781,-75.93999999999708,1.973325259792879,-1332.3450000000057,-339.99,-958.250000000003,6,3969.8349999999955,1495.4350000000084,0.2448223052109044,0.13453315206750988,1,0,True,True,True,paper_trade_candidate,85.94,"opening-range-failure robustness confirmation, not independent discovery",
MNQ_opening_range_failure_or25_tf5_opposite_max2,MNQ,opening_range_failure,or25_tf5_opposite_max2,5,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=25;target=opposite,63,4798.225000000017,2947.4200000000073,4558.225000000017,80,1.2698412698412698,55,0.873015873015873,0.4875,59.97781250000021,-43.74,1.7609689449465311,-1125.4599999999987,-439.73,-783.5049999999972,5,3550.2949999999983,1247.9300000000185,0.2710418957010135,0.13937654028312504,1,0,True,True,True,paper_trade_candidate,87.0633,"opening-range-failure robustness confirmation, not independent discovery",
MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,63,571.4199999999998,98.37999999999995,370.4199999999998,67,1.0634920634920635,47,0.746031746031746,0.5522388059701493,8.528656716417908,41.26,1.5753322593636727,-99.22000000000003,-71.48,-66.48,3,571.4199999999998,0.0,0.15053725805887092,0.07745616184242765,1,2,True,False,False,paper_trade_candidate,43.5212,No major Phase 4A risk flags.,5.759121144930455
MNQ_overnight_levels_tf5_sweep_reverse_40x60,MNQ,overnight_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,63,2509.58,28.06999999999995,2335.58,58,0.9206349206349206,35,0.5555555555555556,0.29310344827586204,43.26862068965517,-37.49,2.0571816129140967,-443.45999999999935,-256.48,-250.40000000000003,6,1289.9999999999998,1219.5799999999997,0.3060352728344982,0.2504442974521633,1,0,True,False,False,watchlist,64.212,active on less than 70% of sessions,5.659089884093275
MNQ_first_hour_range_tf15_expansion,MNQ,first_hour_range,tf15_expansion,15,1m,expansion,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=expansion;rr=1.5;tick_size=0.25,63,3992.08,171.31999999999994,3893.08,33,0.5238095238095238,33,0.5238095238095238,0.5454545454545454,120.97212121212121,44.26,2.5775231170473405,-820.1999999999989,-492.24,-820.2,4,628.7399999999998,3363.34,0.4202721388348931,0.4202721388348931,1,0,True,True,True,watchlist,63.6476,active on less than 70% of sessions; one-trade concentration risk,4.86720312118996
MNQ_first_hour_range_tf15_pullback,MNQ,first_hour_range,tf15_pullback,15,1m,pullback,first-hour range based,1.5R,15:55 ET,1,False,True,max1,new_candidate,mode=pullback;rr=1.5;tick_size=0.25,63,3992.08,171.31999999999994,3893.08,33,0.5238095238095238,33,0.5238095238095238,0.5454545454545454,120.97212121212121,44.26,2.5775231170473405,-820.1999999999989,-492.24,-820.2,4,628.7399999999998,3363.34,0.4202721388348931,0.4202721388348931,1,0,True,True,True,watchlist,63.6476,active on less than 70% of sessions; one-trade concentration risk,4.86720312118996
MNQ_opening_range_failure_or20_tf1_mid_stop_after_first_loser,MNQ,opening_range_failure,or20_tf1_mid_stop_after_first_loser,1,1m,close back inside failed opening range,35pct opening range beyond failed side,mid of opening range,15:55 ET,2,True,True,stop_after_first_loser,new_candidate,min_range=10.0;or_minutes=20;target=mid,63,2275.305000000013,1856.8950000000057,2026.3050000000128,83,1.3174603174603174,61,0.9682539682539683,0.5783132530120482,27.413313253012205,42.26,1.490401806160996,-812.5799999999974,-223.39000000000146,-447.96000000000004,4,1773.2850000000026,502.02000000000976,0.2787582324127958,0.2787582324127958,1,0,True,False,False,paper_trade_candidate,88.966,No major Phase 4A risk flags.,
MNQ_opening_range_failure_or30_tf3_opposite_max2,MNQ,opening_range_failure,or30_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,robustness_confirmation,min_range=10.0;or_minutes=30;target=opposite,63,4275.41500000003,2773.785,4038.41500000003,79,1.253968253968254,55,0.873015873015873,0.4430379746835443,54.119177215190255,-87.83999999999854,1.597067878282601,-1041.4399999999928,-505.73,-740.6799999999928,6,2973.0950000000084,1302.32000000002,0.2878129959313871,0.15641990309712514,1,0,True,True,True,paper_trade_candidate,87.3798,"opening-range-failure robustness confirmation, not independent discovery",
