phase5c_rank,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost,phase5c_score,complexity_score,drawdown_penalty,low_activity_penalty,concentration_penalty,complexity_penalty,holdout_penalty,slippage_stress_penalty,phase5c_total_penalty,phase5c_label,phase5c_notes
1,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,84.0375,No major Phase 5A risk flags.,4771.895000000022,1873.1699999999998,2169.535,4540.895000000022,77,56,0.8888888888888888,0.44155844155844154,61.972662337662626,1.7018065445047408,-1127.2399999999957,-440.48,6,0.28039594333068807,0.15408134504216806,0,2.74,3.74,76.1535,2.25,4.509,0.0,0.0,3.375,0.0,0.0,7.884,robust_research_candidate,drawdown; complexity
2,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,paper_research_candidate,82.8835,No major Phase 5A risk flags.,4275.41500000003,1236.1699999999998,2773.785,4038.41500000003,79,55,0.873015873015873,0.4430379746835443,54.119177215190255,1.597067878282601,-1041.4399999999928,-505.73,6,0.2878129959313871,0.15641990309712514,0,2.74,3.74,74.5927,2.75,4.1658,0.0,0.0,4.125,0.0,0.0,8.2908,robust_research_candidate,drawdown; complexity
3,MNQ_opening_range_failure_tf1_edf563d7d8,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,76.614,No major Phase 5A risk flags.,3424.1850000000068,2149.009999999994,1147.3349999999984,3256.1850000000068,56,56,0.8888888888888888,0.42857142857142855,61.146160714285834,1.6918167390805863,-1384.3299999999915,-339.99,9,0.2147255478310893,0.2147255478310893,0,2.74,3.74,67.1863,2.25,5.5373,0.0,0.5154,3.375,0.0,0.0,9.4277,watchlist,drawdown; concentration; complexity
4,MNQ_opening_range_failure_tf1_41b10f5cee,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,58.3916,No major Phase 5A risk flags.,1537.8600000000097,1271.184999999997,612.3599999999999,1369.86000000001,56,56,0.8888888888888888,0.5535714285714286,27.461785714285888,1.4286180130715356,-1124.1299999999928,-339.1899999999971,8,0.22418165502711418,0.22418165502711418,0,2.74,3.74,49.6737,2.25,4.4965,0.0,0.8464,3.375,0.0,0.0,8.7179,watchlist,drawdown; concentration; complexity
5,MNQ_opening_range_failure_tf1_812c066564,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,watchlist,60.1691,one-day concentration risk,1486.6200000000167,457.4399999999998,1085.0700000000013,1240.6200000000167,82,56,0.8888888888888888,0.5487804878048781,18.129512195122157,1.265831951977087,-1011.59999999999,-440.48,6,0.41067656832276783,0.23190862493441236,0,2.74,3.74,49.5072,2.25,4.0464,0.0,3.2405,3.375,0.0,0.0,10.6619,watchlist,drawdown; concentration; complexity
6,MGC_opening_range_failure_tf1_9454d5e6d4,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":1.0,""or_minutes"":60,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MGC"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MGC,opening_range_failure,1,watchlist,53.0915,negative validation PnL,1958.8499999999988,-13.129999999990531,919.7100000000082,1718.8499999999988,40,40,0.6349206349206349,0.65,48.97124999999997,2.157076784037143,-542.1599999999853,-227.21999999999636,3,0.16580136304464457,0.16580136304464457,0,3.2199999999999998,5.22,47.5479,2.25,2.1686,0.0,0.0,3.375,0.0,0.0,5.5436,robust_research_candidate,drawdown; complexity
7,MGC_opening_range_failure_tf5_ab026e105a,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":1.0,""or_minutes"":15,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MGC"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MGC,opening_range_failure,5,watchlist,57.8074,one-trade concentration risk,1564.5300000000714,468.75000000002774,654.9600000000024,958.5300000000713,101,61,0.9682539682539683,0.42574257425742573,15.490396039604667,1.3282682998986746,-679.3599999999818,-226.03999999999127,6,0.31433082139682395,0.31433082139682395,0,3.2199999999999998,5.22,46.9634,2.75,2.7174,0.0,4.0016,4.125,0.0,0.0,10.844,watchlist,drawdown; concentration; complexity
8,MGC_opening_range_failure_tf1_8cc53a3ab4,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":1.0,""or_minutes"":60,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MGC"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MGC,opening_range_failure,1,watchlist,46.4914,negative validation PnL; one-trade concentration risk,1269.92000000001,-2.349999999994168,1006.5300000000152,945.9200000000101,54,40,0.6349206349206349,0.5740740740740741,23.517037037037223,1.4797110975121506,-593.8100000000006,-227.21999999999636,4,0.2557483935995962,0.2557483935995962,0,3.2199999999999998,5.22,38.79,2.25,2.3752,0.0,1.9512,3.375,0.0,0.0,7.7014,watchlist,drawdown; concentration; complexity
9,MNQ_opening_range_failure_tf5_abd89ecc94,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,watchlist,48.1655,one-trade concentration risk,950.2900000000141,894.684999999997,642.4100000000028,788.2900000000141,54,54,0.8571428571428571,0.5370370370370371,17.597962962963223,1.2912096835976463,-985.2899999999943,-303.6899999999971,7,0.31307285144534364,0.31307285144534364,0,2.74,3.74,36.1418,2.75,3.9412,0.0,3.9575,4.125,0.0,0.0,12.0237,watchlist,drawdown; concentration; complexity
10,MNQ_opening_range_failure_tf1_454ba8d5ae,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,41.2933,No major Phase 5A risk flags.,950.600000000014,138.2800000000086,321.1349999999941,770.6000000000142,60,60,0.9523809523809523,0.5833333333333334,15.843333333333566,1.3174486558690999,-452.18500000000586,-359.1650000000029,4,0.2083000210393405,0.2083000210393405,0,2.74,3.74,35.8191,2.25,1.8087,0.0,0.2905,3.375,0.0,0.0,5.4742,watchlist,drawdown; concentration; complexity
