fold,segment,segment_start,segment_end,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost
1,train,2023-01-03,2023-12-18,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-60.1861,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1673.9500000000055,-1092.9650000000006,0.0,-2603.9500000000053,310,215,0.8958333333333334,0.3193548387096774,-5.399838709677437,0.8855120547643519,-2455.3400000000083,-220.48,16,1.0,1.0,0,2.74,3.74
1,validation,2023-12-19,2024-03-14,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-46.0703,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-797.3200000000176,-786.5250000000146,-10.795000000002943,-1016.3200000000177,73,53,0.8833333333333333,0.2465753424657534,-10.922191780822159,0.747922858046155,-1033.3050000000148,-175.5300000000029,9,1.0,1.0,0,2.74,3.74
1,test,2024-03-15,2024-06-13,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-69.03,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1585.9700000000191,0.0,-1585.9700000000191,-1804.9700000000191,73,52,0.8666666666666667,0.273972602739726,-21.725616438356425,0.567345123810924,-1527.7500000000196,-219.98,9,1.0,1.0,0,2.74,3.74
1,train,2023-01-03,2023-12-18,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-61.6622,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1653.1650000000116,-1195.115000000002,0.0,-2541.165000000012,296,203,0.8458333333333333,0.35135135135135137,-5.5850168918919305,0.8838882390104297,-2698.8800000000083,-233.98,16,1.0,1.0,0,2.74,3.74
1,validation,2023-12-19,2024-03-14,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-49.1475,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-810.8900000000176,-733.3050000000117,-77.58500000000586,-1008.8900000000176,66,49,0.8166666666666667,0.2727272727272727,-12.286212121212388,0.7376244511530193,-1010.7050000000163,-181.0300000000029,6,1.0,1.0,0,2.74,3.74
1,test,2024-03-15,2024-06-13,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-68.5759,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1439.4750000000147,0.0,-1439.4750000000147,-1634.4750000000147,65,47,0.7833333333333333,0.27692307692307694,-22.145769230769456,0.5794273743628826,-1400.6849999999959,-233.48,7,1.0,1.0,0,2.74,3.74
1,train,2023-01-03,2023-12-18,MGC_opening_range_failure_tf1_9454d5e6d4,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":1.0,""or_minutes"":60,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MGC"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MGC,opening_range_failure,1,rejected,-50.0307,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1183.850000000011,-342.5799999999955,0.0,-2203.8500000000113,170,170,0.7083333333333334,0.43529411764705883,-6.96382352941183,0.6729759369293941,-1327.1900000000123,-84.21999999999909,7,1.0,1.0,0,3.2199999999999998,5.22
1,validation,2023-12-19,2024-03-14,MGC_opening_range_failure_tf1_9454d5e6d4,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":1.0,""or_minutes"":60,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MGC"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MGC,opening_range_failure,1,rejected,-36.9195,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-292.0299999999894,-319.3599999999858,27.329999999996375,-556.0299999999896,44,44,0.7333333333333333,0.38636363636363635,-6.6370454545452136,0.6941421673876036,-502.229999999998,-74.97000000000182,8,1.0,1.0,0,3.2199999999999998,5.22
1,test,2024-03-15,2024-06-13,MGC_opening_range_failure_tf1_9454d5e6d4,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":1.0,""or_minutes"":60,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MGC"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MGC,opening_range_failure,1,rejected,-55.6494,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-710.6300000000135,0.0,-710.6300000000135,-974.6300000000135,44,44,0.7333333333333333,0.38636363636363635,-16.150681818182125,0.5504873836889287,-798.010000000008,-110.66999999999436,7,1.0,1.0,0,3.2199999999999998,5.22
2,train,2023-12-19,2024-12-04,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-75.6445,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-3791.030000000036,-1573.130000000019,0.0,-4712.030000000036,307,218,0.9083333333333333,0.28664495114006516,-12.348631921824222,0.7805661014064826,-3762.790000000002,-334.28000000000293,11,1.0,1.0,0,2.74,3.74
