fold,segment,segment_start,segment_end,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost
1,train,2023-01-03,2023-06-20,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-47.7089,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1224.2299999999964,-502.93999999999846,0.0,-1695.2299999999966,157,110,0.9166666666666666,0.2929936305732484,-7.797643312101888,0.8360850430262877,-1531.7999999999938,-186.23,9,1.0,1.0,0,2.74,3.74
1,validation,2023-06-21,2023-08-01,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,watchlist,-101.4183,negative holdout PnL; one-day concentration risk; one-trade concentration risk,119.27999999999417,385.99999999999693,-266.72000000000287,5.279999999994175,38,25,0.8333333333333334,0.3684210526315789,3.1389473684208995,1.0693544823415824,-654.8100000000052,-220.48,9,2.7709590878606316,1.683098591549378,0,2.74,3.74
1,test,2023-08-02,2023-09-12,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,53.5157,No major Phase 5A risk flags.,1348.6049999999984,0.0,1348.6049999999984,1234.6049999999984,38,26,0.8666666666666667,0.5,35.489605263157856,1.944179761750568,-236.3199999999979,-178.67999999999708,3,0.3044034391093022,0.21411755109909894,0,2.74,3.74
2,train,2024-05-27,2024-11-08,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-39.5075,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-656.0100000000068,-253.94000000000582,0.0,-1133.0100000000066,159,112,0.9333333333333333,0.33962264150943394,-4.125849056603816,0.9323948451855245,-2176.1999999999975,-334.28000000000293,10,1.0,1.0,0,2.74,3.74
2,validation,2024-11-11,2024-12-20,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-73.7303,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1706.1950000000263,-1221.6150000000177,-484.58000000000874,-1820.1950000000263,38,27,0.9,0.15789473684210525,-44.89986842105333,0.38487898174135415,-1593.9550000000263,-278.83000000000584,11,1.0,1.0,0,2.74,3.74
2,test,2024-12-23,2025-02-05,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,watchlist,28.1041,one-day concentration risk; one-trade concentration risk,912.2650000000247,0.0,912.2650000000247,810.2650000000247,34,26,0.8666666666666667,0.35294117647058826,26.83132352941249,1.399790959548278,-823.5649999999855,-234.5800000000058,6,0.6604659830202668,0.49959167566440416,0,2.74,3.74
3,train,2025-10-17,2026-04-08,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-70.3064,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-3645.0549999999657,-233.97999999998706,0.0,-4086.0549999999657,147,109,0.9083333333333333,0.2857142857142857,-24.79629251700657,0.7444214423317967,-4399.08999999997,-369.1299999999942,15,1.0,1.0,0,2.74,3.74
3,validation,2026-04-09,2026-05-20,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,interesting_but_needs_validation,-309.6397,negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,92.72500000001435,512.1200000000131,-419.3949999999986,-12.274999999985653,35,27,0.9,0.37142857142857144,2.6492857142861244,1.0322168194555246,-1127.2399999999957,-339.99,6,5.6431383122126615,5.6431383122126615,0,2.74,3.74
3,test,2026-05-21,2026-07-01,MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,70.9109,No major Phase 5A risk flags.,4035.215000000013,0.0,4035.215000000013,3918.215000000013,39,26,0.8666666666666667,0.48717948717948717,103.46705128205161,2.066748177570409,-681.6150000000016,-440.48,3,0.3315858015000429,0.1822108611313146,0,2.74,3.74
1,train,2023-01-03,2023-06-20,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-36.8988,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-462.2549999999991,-499.07499999999857,0.0,-903.2549999999991,147,102,0.85,0.3469387755102041,-3.1445918367346875,0.932723913424727,-1113.4799999999955,-230.23000000000002,8,1.0,1.0,0,2.74,3.74
