phase5i_rank,candidate_id,instrument,family,timeframe,folds,validation_net_pnl,test_net_pnl,test_slippage_4_ticks_net_pnl,test_trades,test_active_sessions,test_active_session_pct,test_win_rate,test_avg_trade,worst_test_fold_pnl,max_test_drawdown,test_best_day_concentration,test_best_trade_concentration,test_positive_folds,test_positive_fold_pct,phase5d_score,phase5d_label,phase5d_notes,regime_filter,phase5i_score,phase5i_label,phase5i_notes
1,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-529.84,5644.295,5473.295,57,38,0.422222,0.596491,99.022719,580.995,-505.73,0.461434,0.327213,3,1.0,98.0942,robust_research_candidate,test concentration risk,prior_range_bucket=high,82.4561,watchlist_concentrated,day concentration remains; trade concentration remains
2,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-1622.75,5700.945,5364.945,112,76,0.844444,0.464286,50.901295,979.965,-750.5,0.561487,0.409345,3,1.0,103.4772,robust_research_candidate,test concentration risk,all,57.2835,watchlist_concentrated,day concentration remains; trade concentration remains
3,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-403.64,5804.205,5630.205,58,40,0.444444,0.551724,100.0725,761.495,-736.54,0.560267,0.423799,3,1.0,92.7022,robust_research_candidate,test concentration risk,prior_range_bucket=high,55.3641,watchlist_concentrated,day concentration remains; trade concentration remains
4,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-1494.19,6296.085,5963.085,111,78,0.866667,0.45045,56.721486,912.265,-823.565,0.660466,0.499592,3,1.0,98.7043,robust_research_candidate,test concentration risk,all,30.7919,watchlist_concentrated,day concentration remains; trade concentration remains
5,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-874.755,5868.545,5697.545,57,41,0.455556,0.508772,102.95693,471.465,-681.615,0.576416,0.612474,3,1.0,87.8846,robust_research_candidate,test concentration risk,or_width_bucket=high,26.8221,watchlist_concentrated,day concentration remains; trade concentration remains
6,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-881.175,5163.48,5004.48,53,36,0.4,0.490566,97.424151,412.98,-680.025,0.500193,0.699211,3,1.0,86.4615,robust_research_candidate,test concentration risk,gap_abs_bucket=high,24.6834,watchlist_concentrated,day concentration remains; trade concentration remains
7,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-1110.715,5399.53,5225.53,58,40,0.444444,0.517241,93.095345,466.965,-606.81,0.600173,0.643003,3,1.0,86.7434,robust_research_candidate,test concentration risk,or_width_bucket=high,19.0887,watchlist_concentrated,day concentration remains; trade concentration remains
8,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-1121.135,5036.705,4877.705,53,35,0.388889,0.509434,95.03217,334.48,-606.81,0.556318,0.897692,3,1.0,79.4887,robust_research_candidate,test concentration risk,gap_abs_bucket=high,-11.0947,watchlist_concentrated,day concentration remains; trade concentration remains
9,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-1482.01,3839.075,3509.075,110,74,0.822222,0.427273,34.900682,-247.37,-1256.805,1.0,1.0,2,0.666667,47.667,robust_research_candidate,test concentration risk,all,-104.5828,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
10,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,546.445,586.155,562.155,8,6,0.1,0.625,73.269375,0.0,-87.315,1.287973,0.686552,2,0.666667,-9.0669,rejected,low test active-session coverage; test concentration risk; too few test trades,gap_abs_bucket=low;or_width_bucket=mid,-159.0824,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
11,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,191.575,-305.515,-383.515,26,17,0.188889,0.461538,-11.750577,-1203.15,-972.335,1.0,1.0,2,0.666667,-28.0305,rejected,negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; large negative test fold; too few test trades,gap_abs_bucket=low,-177.7265,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
12,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-236.095,352.615,325.615,9,6,0.1,0.555556,39.179444,-81.165,-260.925,1.0,1.0,1,0.333333,-22.2604,rejected,insufficient positive test folds; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=mid;prior_range_bucket=high,-178.4326,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
13,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-319.695,333.035,300.035,11,8,0.133333,0.454545,30.275909,-125.245,-276.545,1.0,1.0,1,0.333333,-22.1427,rejected,insufficient positive test folds; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=mid;prior_range_bucket=high,-178.4352,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
14,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-201.18,327.54,255.54,24,14,0.155556,0.458333,13.6475,-47.37,-215.935,1.0,1.0,1,0.333333,-20.483,rejected,insufficient positive test folds; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=low,-178.6547,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
15,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,418.945,327.895,306.895,7,5,0.083333,0.571429,46.842143,-51.62,-180.88,1.0,1.0,1,0.333333,-22.5488,rejected,insufficient positive test folds; low test active-session coverage; test concentration risk; too few test trades,gap_abs_bucket=low;or_width_bucket=mid,-179.0052,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
16,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-418.255,100.0,10.0,30,23,0.383333,0.333333,3.333333,-363.35,-506.77,1.0,1.0,1,0.333333,-22.2872,rejected,insufficient positive test folds; test concentration risk,or_width_bucket=mid,-180.0833,rejected,weak positive-fold coverage; day concentration remains; trade concentration remains
17,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-251.3,23.375,-51.625,25,14,0.155556,0.44,0.935,-93.87,-236.46,1.0,1.0,1,0.333333,-24.9441,rejected,insufficient positive test folds; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=low,-184.0076,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
18,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-143.815,-48.545,-132.545,28,20,0.333333,0.357143,-1.73375,-391.96,-571.72,1.080384,1.0,1,0.333333,-27.6313,rejected,insufficient positive test folds; negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=mid,-194.4766,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
19,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-1157.215,4229.705,4055.705,58,41,0.455556,0.5,72.925948,316.18,-739.81,1.502372,1.280157,3,1.0,36.0661,robust_research_candidate,test concentration risk,or_width_bucket=high,-196.2874,watchlist_concentrated,day concentration remains; trade concentration remains
20,MNQ_opening_range_failure_tf1_982fe6172f,MNQ,opening_range_failure,1,3,-259.5,-262.02,-301.02,13,9,0.15,0.230769,-20.155385,-238.105,-247.395,1.0,1.0,0,0.0,-38.7609,rejected,insufficient positive test folds; negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=mid;prior_range_bucket=mid,-200.3753,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
21,MNQ_opening_range_failure_tf3_1dce415f36,MNQ,opening_range_failure,3,3,-317.5,-304.02,-343.02,13,9,0.15,0.230769,-23.386154,-238.105,-236.895,1.0,1.0,0,0.0,-39.3069,rejected,insufficient positive test folds; negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=mid;prior_range_bucket=mid,-201.1103,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
22,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-180.98,-342.085,-414.085,24,13,0.144444,0.333333,-14.253542,-171.59,-340.745,1.0,1.0,0,0.0,-39.3539,rejected,insufficient positive test folds; negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=low,-202.1732,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
23,MNQ_opening_range_failure_tf5_763933a432,MNQ,opening_range_failure,5,3,-301.935,-431.71,-473.71,14,9,0.15,0.214286,-30.836429,-310.795,-264.895,1.0,1.0,0,0.0,-41.432,rejected,insufficient positive test folds; negative aggregate test PnL; fails aggregate 4-tick slippage stress; low test active-session coverage; test concentration risk; too few test trades,or_width_bucket=mid;prior_range_bucket=mid,-203.3749,rejected,weak positive-fold coverage; fails aggregate 4-tick slippage stress; day concentration remains; trade concentration remains
