fold,segment,segment_start,segment_end,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost
1,train,2023-01-03,2023-03-27,MNQ_vwap_reclaim_rejection_tf1_d334151748,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,interesting_but_needs_validation,12.7348,fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,91.53999999999972,0.0,0.0,-220.46000000000032,104,56,0.9333333333333333,0.47115384615384615,0.880192307692305,1.073161764705882,-337.22000000000014,-47.980000000000004,7,0.6174350010924204,0.3141795936202762,3,2.74,3.74
1,validation,2023-03-28,2023-04-25,MNQ_vwap_reclaim_rejection_tf1_d334151748,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,interesting_but_needs_validation,1.5236,fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,70.83999999999992,70.83999999999992,0.0,-31.16000000000006,34,18,0.9,0.5,2.0835294117647036,1.181836849940962,-157.66000000000008,-50.480000000000004,6,0.776679841897234,0.39892715979672544,0,2.74,3.74
1,test,2023-04-26,2023-05-23,MNQ_vwap_reclaim_rejection_tf1_d334151748,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,interesting_but_needs_validation,-15.166,fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,48.59999999999993,0.0,48.59999999999993,-56.40000000000006,35,18,0.9,0.4857142857142857,1.3885714285714266,1.1181561801030826,-156.16000000000003,-46.480000000000004,6,1.1526748971193432,0.5814814814814823,0,2.74,3.74
1,train,2023-01-03,2023-03-27,MNQ_vwap_reclaim_rejection_tf1_43050300fc,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""rejection""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,rejected,-28.7634,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-503.44000000000034,0.0,0.0,-821.4400000000005,106,57,0.95,0.3584905660377358,-4.749433962264154,0.6743217192169849,-506.4600000000009,-49.480000000000004,9,1.0,1.0,5,2.74,3.74
1,validation,2023-03-28,2023-04-25,MNQ_vwap_reclaim_rejection_tf1_43050300fc,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""rejection""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,watchlist,19.7985,No major Phase 5A risk flags.,152.0999999999999,152.0999999999999,0.0,47.09999999999993,35,18,0.9,0.5428571428571428,4.345714285714283,1.4197714853452557,-131.42000000000002,-46.480000000000004,5,0.3584483892176202,0.1890861275476661,0,2.74,3.74
1,test,2023-04-26,2023-05-23,MNQ_vwap_reclaim_rejection_tf1_43050300fc,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""rejection""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,rejected,-27.6851,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-74.16000000000008,0.0,-74.16000000000008,-176.16000000000008,34,19,0.95,0.4117647058823529,-2.1811764705882375,0.8369393139841685,-156.44000000000005,-45.980000000000004,5,1.0,1.0,0,2.74,3.74
1,train,2023-01-03,2023-03-27,MNQ_vwap_reclaim_rejection_tf1_a52d373916,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,rejected,-23.2819,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-235.88000000000028,0.0,0.0,-571.8800000000003,112,58,0.9666666666666667,0.4107142857142857,-2.1060714285714313,0.8427823026780593,-278.36000000000024,-49.480000000000004,7,1.0,1.0,3,2.74,3.74
1,validation,2023-03-28,2023-04-25,MNQ_vwap_reclaim_rejection_tf1_a52d373916,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,watchlist,17.6799,one-day concentration risk,121.3599999999999,121.3599999999999,0.0,13.359999999999928,36,19,0.95,0.5277777777777778,3.3711111111111083,1.3087412231606794,-116.20000000000002,-48.980000000000004,5,0.4698417930125251,0.2369808833223469,0,2.74,3.74
1,test,2023-04-26,2023-05-23,MNQ_vwap_reclaim_rejection_tf1_a52d373916,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""both""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,watchlist,22.623,No major Phase 5A risk flags.,151.11999999999992,0.0,151.11999999999992,40.11999999999995,37,19,0.95,0.5405405405405406,4.084324324324323,1.388903185959133,-136.44000000000003,-45.480000000000004,6,0.36739015352038135,0.18369507676019067,0,2.74,3.74
1,train,2023-01-03,2023-03-27,MNQ_vwap_reclaim_rejection_tf1_8be9cf0cdc,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":90}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: VWAP reclaim/rejection confirmation."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,vwap_reclaim_rejection,1,watchlist,24.241,same-bar stop/target ambiguity present,311.2799999999996,0.0,0.0,2.2799999999996743,103,56,0.9333333333333333,0.47572815533980584,3.0221359223300928,1.1759678002894356,-454.02000000000015,-67.98,8,0.2779491133384738,0.1421870984322798,2,2.74,3.74
