phase5n_rank,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost,phase5n_score,phase5n_label,phase5n_notes
1,MNQ_opening_range_breakout_tf1_f927580470,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":20}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,watchlist,32.305,negative holdout PnL,3369.0599999999936,4373.499999999998,-1231.2500000000016,726.0599999999943,881,881,0.9778024417314096,0.3711691259931896,3.824131668558449,1.053148583376479,-3088.4100000000008,-691.74,19,0.1872213614480007,0.1872213614480007,0,2.74,3.74,15.7152,rejected,drawdown exceeds prefilter cap; negative holdout split
2,MNQ_opening_range_breakout_tf1_703d81d835,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":60}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-51.2353,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-181.24000000000387,1271.5599999999993,-780.9300000000012,-2134.240000000004,651,651,0.7225305216426193,0.5038402457757296,-0.27840245775730244,0.996209955579274,-4109.34,-488.74,8,1.0,1.0,0,2.74,3.74,-325.474,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative holdout split
3,MNQ_opening_range_breakout_tf1_10c978da46,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":20}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-60.2438,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1011.4400000000036,3114.249999999999,-979.7500000000016,-3654.4400000000032,881,881,0.9778024417314096,0.4937570942111237,-1.1480590238365536,0.980396375275368,-4397.699999999979,-691.74,11,1.0,1.0,0,2.74,3.74,-332.3624,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative holdout split
4,MNQ_opening_range_failure_tf1_454ba8d5ae,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,rejected,-50.7129,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-938.6099999999436,308.0199999999837,-97.04499999999932,-3455.609999999944,839,839,0.9311875693673696,0.5292014302741359,-1.1187246722287767,0.9701015821847352,-4158.574999999959,-359.1650000000029,10,1.0,1.0,2,2.74,3.74,-336.8998,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative holdout split
5,MNQ_opening_range_breakout_tf1_545bffa6a6,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-54.7353,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-77.57000000000585,1113.7899999999988,-1526.710000000001,-2756.5700000000047,893,893,0.9911209766925638,0.3561030235162374,-0.0868645016797377,0.9987200673214556,-5719.689999999989,-370.24,12,1.0,1.0,0,2.74,3.74,-340.6022,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative holdout split
6,MNQ_prior_session_levels_tf5_73b6527070,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""prior_close_reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: prior-session level reaction."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,prior_session_levels,5,rejected,-71.3311,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1886.4000000000026,-329.8800000000005,-312.00000000000045,-4316.400000000003,810,449,0.4983351831298557,0.4074074074074074,-2.328888888888892,0.8264932580342522,-1960.500000000007,-50.480000000000004,15,1.0,1.0,35,2.74,3.74,-343.5664,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; negative validation split; negative holdout split
7,MNQ_opening_range_breakout_tf1_5565c0efb5,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":30}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-54.935,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-155.77000000000635,2182.449999999999,-3563.0600000000013,-2699.770000000007,848,848,0.9411764705882352,0.3867924528301887,-0.1836910377358565,0.9976766714817652,-4701.02999999996,-421.49,9,1.0,1.0,0,2.74,3.74,-345.0909,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative holdout split
8,MNQ_prior_session_levels_tf3_c9d85fec76,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""prior_close_reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: prior-session level reaction."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,rejected,-81.5386,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-2043.1200000000024,-391.2600000000005,-823.6800000000005,-4557.120000000003,838,453,0.5027746947835738,0.4057279236276849,-2.438090692124108,0.8188485723304119,-2099.0200000000077,-51.48,15,1.0,1.0,37,2.74,3.74,-350.7363,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; negative validation split; negative holdout split
9,MNQ_prior_session_levels_tf1_11d4c92cab,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""sweep_reverse""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":60}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: prior-session level reaction."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,prior_session_levels,1,rejected,-52.9159,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-2645.500000000004,-108.22000000000104,1546.7599999999989,-5945.500000000004,1100,602,0.6681465038845728,0.2609090909090909,-2.405000000000004,0.9056059133408406,-5697.91999999996,-236.98,24,1.0,1.0,19,2.74,3.74,-353.0677,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split
10,MNQ_opening_range_breakout_tf1_e365a26388,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":10}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,rejected,-59.4941,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-2281.510000000003,-1284.2000000000005,462.2999999999986,-4978.510000000004,899,899,0.9977802441731408,0.5005561735261401,-2.5378309232480567,0.9475855455743004,-4079.1099999999865,-317.99,8,1.0,1.0,2,2.74,3.74,-355.2245,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds prefilter cap; negative validation split
