phase6d_rank,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost,side_filter,phase6d_score,phase6d_label,phase6d_notes
1,MNQ_opening_range_breakout_tf5_a76b7c6c6c,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_opening_range_breakout_tf5_00178d2888."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_breakout,5,paper_research_candidate,76.2623,same-bar stop/target ambiguity present,4229.959999999997,2469.3099999999995,1934.419999999999,2591.9599999999973,546,546,0.6059933407325194,0.5347985347985348,7.747179487179483,1.1453321816593862,-2368.900000000001,-429.49,8,0.1375923176578502,0.1375923176578502,1,2.74,3.74,long,64.9486,rejected,drawdown exceeds Phase 6D cap; same-bar stop/target ambiguity remains
2,MNQ_opening_range_breakout_tf5_17581d920e,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_opening_range_breakout_tf5_f83a4876d1."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_breakout,5,paper_research_candidate,76.8836,No major Phase 5A risk flags.,5247.709999999997,3494.810000000001,1737.1699999999987,3609.709999999997,546,546,0.6059933407325194,0.3974358974358974,9.61119047619047,1.1420961037575503,-2967.540000000001,-429.49,11,0.2224322609290529,0.2224322609290529,0,2.74,3.74,long,58.066,rejected,one-trade concentration risk; drawdown exceeds Phase 6D cap
3,MNQ_opening_range_breakout_tf3_d8714fa1d0,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_opening_range_breakout_tf3_d604679de8."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,opening_range_breakout,3,watchlist,56.0782,one-trade concentration risk,1980.619999999998,1302.5999999999992,1106.429999999999,294.6199999999985,562,562,0.6237513873473918,0.5195729537366548,3.5242348754448365,1.065770628660044,-2621.570000000001,-370.24,6,0.2683553634720443,0.2683553634720443,0,2.74,3.74,long,-16.1359,rejected,one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap
4,MNQ_prior_session_levels_tf3_4836691c56,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_prior_session_levels_tf3_507ff9b957."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,interesting_but_needs_validation,26.0256,negative holdout PnL; fails 4-tick slippage; same-bar stop/target ambiguity present,1036.619999999998,291.71999999999963,-65.8200000000003,-349.3800000000019,462,462,0.5127635960044395,0.3896103896103896,2.2437662337662294,1.1124477690949248,-421.0400000000002,-35.24,8,0.0571665605525651,0.0571665605525651,4,2.74,3.74,long,-71.3512,rejected,fails aggregate 4-tick slippage stress; same-bar stop/target ambiguity remains; negative holdout split
5,MNQ_prior_session_levels_tf5_5c68f6c14f,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_prior_session_levels_tf5_321e82e1fa."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,prior_session_levels,5,interesting_but_needs_validation,8.6185,negative holdout PnL; fails 4-tick slippage; low active-session coverage; same-bar stop/target ambiguity present,490.8599999999992,215.1199999999997,-401.08000000000027,-442.14000000000095,311,311,0.3451720310765815,0.382636655948553,1.5783279742765246,1.0782985701251222,-559.9200000000008,-34.74,13,0.1268386097869048,0.1268386097869048,6,2.74,3.74,short,-87.3597,rejected,fails aggregate 4-tick slippage stress; same-bar stop/target ambiguity remains; negative holdout split
6,MNQ_vwap_reclaim_rejection_tf3_b01cd4583e,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_vwap_reclaim_rejection_tf3_8cdcce12b9."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-999.0,No trades generated.,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.74,3.74,short,-97.0,rejected,fails aggregate 4-tick slippage stress; too few full-history trades; insufficient active-day coverage
7,MNQ_vwap_reclaim_rejection_tf3_0814f09a88,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_vwap_reclaim_rejection_tf3_ec05326356."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-999.0,No trades generated.,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.74,3.74,short,-97.0,rejected,fails aggregate 4-tick slippage stress; too few full-history trades; insufficient active-day coverage
8,MNQ_vwap_reclaim_rejection_tf5_1562ce20bd,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_vwap_reclaim_rejection_tf5_fce6effc45."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,vwap_reclaim_rejection,5,rejected,-999.0,No trades generated.,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,2.74,3.74,short,-97.0,rejected,fails aggregate 4-tick slippage stress; too few full-history trades; insufficient active-day coverage
9,MNQ_prior_session_levels_tf3_194a3ef130,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_prior_session_levels_tf3_507ff9b957."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,interesting_but_needs_validation,11.3982,negative validation PnL; fails 4-tick slippage; low active-session coverage; same-bar stop/target ambiguity present,242.37999999999897,-173.62000000000018,68.41999999999979,-696.6200000000009,313,313,0.3473917869034406,0.3738019169329074,0.7743769968051085,1.0378037101850728,-530.9800000000005,-35.74,8,0.2465549962868233,0.2465549962868233,3,2.74,3.74,short,-100.1528,rejected,fails aggregate 4-tick slippage stress; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split
10,MNQ_prior_session_levels_tf2_6e715b0230,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_prior_session_levels_tf2_f3e936320b."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,prior_session_levels,2,rejected,-31.7634,negative net PnL; fails 4-tick slippage; low active-session coverage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-394.620000000001,448.37999999999977,99.15999999999984,-1333.620000000001,313,313,0.3473917869034406,0.3514376996805112,-1.2607667731629426,0.9406338288788396,-1007.6400000000016,-35.74,10,1.0,1.0,3,2.74,3.74,short,-456.2972,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains
