phase7d_rank,combo_id,policy_id,funded_quantity,daily_profit_target,daily_loss_lockout,success,evaluation_pass_date,payout_date,estimated_payout,processed_days,max_loss_remaining_at_payout,final_pnl,breach_date,lockout_day_count,profit_target_lockout_count,loss_lockout_count,same_bar_stop_target_ambiguity_count,component_trade_counts,phase7d_notes
1,MGC_combo_risk_gated_81c3e717a3,q2_ptnone_ll300,2,none,300.0,False,2026-01-02,,0.0,14,0.0,1690.3600000000724,2026-01-16,2,0,2,128,"{""vwap_pullback_continuation"":194,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
2,MGC_combo_risk_gated_1f7a54ca4a,q2_ptnone_ll300,2,none,300.0,False,2026-01-02,,0.0,14,0.0,1688.8000000000616,2026-01-16,2,0,2,123,"{""vwap_pullback_continuation"":185,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
3,MGC_combo_risk_gated_81c3e717a3,q2_ptnone_llnone,2,none,none,False,2026-01-02,,0.0,14,0.0,1639.040000000065,2026-01-16,0,0,0,128,"{""vwap_pullback_continuation"":194,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
4,MGC_combo_risk_gated_1f7a54ca4a,q2_ptnone_llnone,2,none,none,False,2026-01-02,,0.0,14,0.0,1637.4800000000541,2026-01-16,0,0,0,123,"{""vwap_pullback_continuation"":185,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
5,MGC_combo_risk_gated_6985e8842f,q2_ptnone_ll300,2,none,300.0,False,2026-01-08,,0.0,14,0.0,896.1200000000541,2026-01-16,2,0,2,112,"{""vwap_pullback_continuation"":168,""opening_drive_continuation"":113}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
6,MGC_combo_risk_gated_6c8bb9c3a3,q2_ptnone_ll300,2,none,300.0,False,2026-01-08,,0.0,14,0.0,876.1200000000359,2026-01-16,2,0,2,108,"{""vwap_pullback_continuation"":160,""opening_drive_continuation"":116}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
7,MGC_combo_risk_gated_6985e8842f,q2_ptnone_llnone,2,none,none,False,2026-01-08,,0.0,14,0.0,844.8000000000469,2026-01-16,0,0,0,112,"{""vwap_pullback_continuation"":168,""opening_drive_continuation"":113}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
8,MGC_combo_risk_gated_6c8bb9c3a3,q2_ptnone_llnone,2,none,none,False,2026-01-08,,0.0,14,0.0,824.8000000000287,2026-01-16,0,0,0,108,"{""vwap_pullback_continuation"":160,""opening_drive_continuation"":116}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
9,MGC_combo_risk_gated_1f7a54ca4a,q1_ptnone_llnone,1,none,none,False,,,0.0,17,0.0,407.42000000001065,2026-01-21,0,0,0,123,"{""vwap_pullback_continuation"":185,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
10,MGC_combo_risk_gated_1f7a54ca4a,q1_ptnone_ll300,1,none,300.0,False,,,0.0,17,0.0,407.42000000001065,2026-01-21,0,0,0,123,"{""vwap_pullback_continuation"":185,""opening_drive_continuation"":123}",max-loss breach before payout objective; same-bar ambiguity remains; still not promotable
