phase8e_rank,hypothesis_id,instrument,timeframe,side,family,event_count,session_coverage,avg_forward_15m,avg_forward_30m,avg_forward_60m,mfe_15m,mae_15m,directional_hit_rate_15m,ambiguity_proxy,phase8e_score,phase8e_label,phase8e_notes
1,MNQ_opening_range_breakout_tf15_short_only_f54dbdc5,MNQ,15,short_only,opening_range_breakout,4073,0.5786516853932584,2.672723,5.447827,7.300516,54.938006,-50.564449,0.505033,0.986496,120.0837,needs_filter,positive average event behavior but hit rate or sample quality needs filtering
2,MNQ_time_of_day_momentum_reversion_tf15_short_only_f2cac110,MNQ,15,short_only,time_of_day_momentum_reversion,705,1.0,1.615248,2.31844,1.912766,40.199645,-37.668085,0.512057,0.984397,67.8511,needs_filter,positive average event behavior but hit rate or sample quality needs filtering
3,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,5,long_only,vwap_pullback_continuation,2580,0.9831460674157303,2.006492,0.800766,4.511137,43.254748,-45.214729,0.535271,0.985271,61.1956,backtest_candidate,positive 15m forward behavior with acceptable hit rate
4,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,1,long_only,vwap_reclaim_rejection,2580,0.9831460674157303,2.006492,0.800766,4.511137,43.254748,-45.214729,0.535271,0.985271,61.1956,backtest_candidate,positive 15m forward behavior with acceptable hit rate
5,MNQ_volatility_compression_breakout_tf15_long_only_aea99b32,MNQ,15,long_only,volatility_compression_breakout,1855,1.0,1.37035,0.339809,-0.186341,34.781402,-36.002426,0.52938,0.988679,43.6865,backtest_candidate,positive 15m forward behavior with acceptable hit rate
6,MNQ_volatility_compression_breakout_tf15_both_bef83121,MNQ,15,both,volatility_compression_breakout,1855,1.0,1.37035,0.339809,-0.186341,34.781402,-36.002426,0.52938,0.988679,43.6865,backtest_candidate,positive 15m forward behavior with acceptable hit rate
7,MNQ_opening_range_fade_tf3_long_only_ad380f25,MNQ,3,long_only,opening_range_fade,10439,0.9831460674157303,0.217574,1.026272,1.130496,46.810279,-50.266141,0.525625,0.988984,27.3829,backtest_candidate,positive 15m forward behavior with acceptable hit rate
8,MNQ_prior_high_low_rejection_tf3_long_only_55253a76,MNQ,3,long_only,prior_high_low_rejection,38499,0.9269662921348315,0.467285,0.469537,-0.094991,31.768345,-33.275916,0.511416,0.985584,26.3835,needs_filter,positive average event behavior but hit rate or sample quality needs filtering
9,MGC_vwap_pullback_continuation_tf5_short_only_ac31c6ab,MGC,5,short_only,vwap_pullback_continuation,3173,1.0,0.398928,0.627656,0.806529,8.318122,-7.147715,0.504255,0.965648,26.3828,needs_filter,positive average event behavior but hit rate or sample quality needs filtering
10,MGC_time_of_day_momentum_reversion_tf3_short_only_0bae37c0,MGC,3,short_only,time_of_day_momentum_reversion,705,1.0,0.204965,0.755035,0.985106,8.059291,-7.348936,0.50922,0.967376,23.9262,needs_filter,positive average event behavior but hit rate or sample quality needs filtering
