phase8g_rank,calibration_id,hypothesis_id,instrument,family,side,timeframe,entry_delay,stop_model,target_model,time_stop,event_count,executable_trade_count,skipped_event_count,gross_pnl,net_pnl,slippage_4_ticks_net_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,calibration_score,calibration_label,calibration_notes
1,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113__next_5m_close__none_horizon_close_15m,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,none,horizon_close,15,2646,2597,49,15694.5,8578.72,5981.72,1720.6,4776.94,-6801.92,0.355319,0.066299,0,97.2869,concentrated,one-day concentration risk
2,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5__next_5m_close__none_horizon_close_15m,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,vwap_reclaim_rejection,long_only,1,next_5m_close,none,horizon_close,15,2646,2597,49,15694.5,8578.72,5981.72,1720.6,4776.94,-6801.92,0.355319,0.066299,0,97.2869,concentrated,one-day concentration risk
3,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113__next_bar_open__none_horizon_close_15m,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_bar_open,none,horizon_close,15,2646,2617,29,12578.5,5407.92,2790.92,1375.2,5834.54,-11096.64,0.546964,0.13596,0,64.2053,concentrated,one-day concentration risk
4,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5__next_bar_open__none_horizon_close_15m,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,vwap_reclaim_rejection,long_only,1,next_bar_open,none,horizon_close,15,2646,2617,29,12578.5,5407.92,2790.92,1375.2,5834.54,-11096.64,0.546964,0.13596,0,64.2053,concentrated,one-day concentration risk
5,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113__next_3m_close__none_horizon_close_15m,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_3m_close,none,horizon_close,15,2646,2613,33,11136.5,3976.88,1363.88,962.94,4344.04,-9549.06,0.631877,0.182621,0,46.449,concentrated,one-day concentration risk
6,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5__next_3m_close__none_horizon_close_15m,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,vwap_reclaim_rejection,long_only,1,next_3m_close,none,horizon_close,15,2646,2613,33,11136.5,3976.88,1363.88,962.94,4344.04,-9549.06,0.631877,0.182621,0,46.449,concentrated,one-day concentration risk
7,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113__next_1m_close__none_horizon_close_15m,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_1m_close,none,horizon_close,15,2646,2617,29,10570.0,3399.42,782.42,1453.2,4677.04,-10048.06,0.873367,0.157015,0,43.6361,concentrated,one-day concentration risk
8,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5__next_1m_close__none_horizon_close_15m,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,vwap_reclaim_rejection,long_only,1,next_1m_close,none,horizon_close,15,2646,2617,29,10570.0,3399.42,782.42,1453.2,4677.04,-10048.06,0.873367,0.157015,0,43.6361,concentrated,one-day concentration risk
9,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113__next_5m_close__none_horizon_close_30m,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,none,horizon_close,30,2646,2597,49,8387.5,1271.72,-1325.28,5330.1,4343.94,-15476.98,3.849652,0.556144,0,31.697,cost_sensitive,fails 4-tick slippage stress; one-day concentration risk; one-trade concentration risk
10,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5__next_5m_close__none_horizon_close_30m,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,vwap_reclaim_rejection,long_only,1,next_5m_close,none,horizon_close,30,2646,2597,49,8387.5,1271.72,-1325.28,5330.1,4343.94,-15476.98,3.849652,0.556144,0,31.697,cost_sensitive,fails 4-tick slippage stress; one-day concentration risk; one-trade concentration risk
11,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113__next_3m_close__none_horizon_close_30m,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_3m_close,none,horizon_close,30,2646,2613,33,4302.0,-2857.62,-5470.62,5085.94,4249.54,-18134.36,1.0,1.0,0,-11.7329,rejected_timing_cost,negative net after next-step execution assumptions; fails 4-tick slippage stress; one-day concentration risk; one-trade concentration risk
12,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5__next_3m_close__none_horizon_close_30m,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,vwap_reclaim_rejection,long_only,1,next_3m_close,none,horizon_close,30,2646,2613,33,4302.0,-2857.62,-5470.62,5085.94,4249.54,-18134.36,1.0,1.0,0,-11.7329,rejected_timing_cost,negative net after next-step execution assumptions; fails 4-tick slippage stress; one-day concentration risk; one-trade concentration risk
13,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113__next_bar_open__none_horizon_close_30m,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_bar_open,none,horizon_close,30,2646,2617,29,4169.0,-3001.58,-5618.58,6222.7,4045.04,-20596.56,1.0,1.0,0,-13.2624,rejected_timing_cost,negative net after next-step execution assumptions; fails 4-tick slippage stress; one-day concentration risk; one-trade concentration risk
14,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5__next_bar_open__none_horizon_close_30m,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,MNQ,vwap_reclaim_rejection,long_only,1,next_bar_open,none,horizon_close,30,2646,2617,29,4169.0,-3001.58,-5618.58,6222.7,4045.04,-20596.56,1.0,1.0,0,-13.2624,rejected_timing_cost,negative net after next-step execution assumptions; fails 4-tick slippage stress; one-day concentration risk; one-trade concentration risk
15,MNQ_volatility_compression_breakout_tf15_long_only_aea99b32__next_3m_close__none_horizon_close_15m,MNQ_volatility_compression_breakout_tf15_long_only_aea99b32,MNQ,volatility_compression_breakout,long_only,15,next_3m_close,none,horizon_close,15,1949,1914,35,4468.0,-776.36,-2690.36,4515.58,-1801.8,-5242.32,1.0,1.0,0,-27.4937,rejected_timing_cost,negative net after next-step execution assumptions; fails 4-tick slippage stress; negative holdout split; one-day concentration risk; one-trade concentration risk
16,MNQ_volatility_compression_breakout_tf15_long_only_aea99b32__next_5m_close__none_horizon_close_15m,MNQ_volatility_compression_breakout_tf15_long_only_aea99b32,MNQ,volatility_compression_breakout,long_only,15,next_5m_close,none,horizon_close,15,1949,1879,70,3924.5,-1223.96,-3102.96,3498.78,-2047.36,-5017.0,1.0,1.0,0,-33.4459,rejected_timing_cost,negative net after next-step execution assumptions; fails 4-tick slippage stress; negative holdout split; one-day concentration risk; one-trade concentration risk
