summary_scope,summary_key,trade_count,session_count,active_session_pct,net_pnl,stress_net_pnl,max_drawdown,best_day,best_day_net_pnl,best_day_concentration,best_trade_concentration,net_excluding_best_day,stress_excluding_best_day,phase8h_label,phase8h_notes
overall,all,5194,175,1.0,17157.44,11963.44,-13603.84,2026-06-26,6096.36,0.355319,0.033149,11061.08,11963.44,rejected_concentration_artifact,one-day concentration risk
hypothesis,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,2597,175,1.0,8578.72,5981.72,-6801.92,2026-06-26,3048.18,0.355319,0.066299,5530.54,5981.72,rejected_concentration_artifact,one-day concentration risk
hypothesis,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,2597,175,1.0,8578.72,5981.72,-6801.92,2026-06-26,3048.18,0.355319,0.066299,5530.54,5981.72,rejected_concentration_artifact,one-day concentration risk
trading_session,2025-10-23,8,1,1.0,560.08,552.08,0.0,2025-10-23,560.08,1.0,0.16919,0.0,552.08,rejected_cost_or_drawdown,only 8 trades; minimum is 250; edge fails after excluding best day; one-day concentration risk
trading_session,2025-10-24,26,1,1.0,411.76,385.76,-272.48,2025-10-24,411.76,1.0,0.227705,0.0,385.76,rejected_cost_or_drawdown,only 26 trades; minimum is 250; edge fails after excluding best day; one-day concentration risk
trading_session,2025-10-27,36,1,1.0,1692.36,1656.36,-23.48,2025-10-27,1692.36,1.0,0.059834,0.0,1656.36,rejected_cost_or_drawdown,only 36 trades; minimum is 250; edge fails after excluding best day; one-day concentration risk
trading_session,2025-10-28,44,1,1.0,-670.56,-714.56,-921.72,2025-10-28,-670.56,1.0,1.0,0.0,-714.56,rejected_cost_or_drawdown,only 44 trades; minimum is 250; fails 4-tick stress; edge fails after excluding best day; one-day concentration risk; one-trade concentration risk
trading_session,2025-10-29,56,1,1.0,730.56,674.56,-456.16,2025-10-29,730.56,1.0,0.340506,0.0,674.56,rejected_cost_or_drawdown,only 56 trades; minimum is 250; edge fails after excluding best day; one-day concentration risk
trading_session,2025-10-30,56,1,1.0,-223.44,-279.44,-1408.56,2025-10-30,-223.44,1.0,1.0,-0.0,-279.44,rejected_cost_or_drawdown,only 56 trades; minimum is 250; fails 4-tick stress; edge fails after excluding best day; one-day concentration risk; one-trade concentration risk
trading_session,2025-10-31,14,1,1.0,-642.36,-656.36,-632.64,2025-10-31,-642.36,1.0,1.0,0.0,-656.36,rejected_cost_or_drawdown,only 14 trades; minimum is 250; fails 4-tick stress; edge fails after excluding best day; one-day concentration risk; one-trade concentration risk
trading_session,2025-11-03,34,1,1.0,-161.16,-195.16,-432.88,2025-11-03,-161.16,1.0,1.0,-0.0,-195.16,rejected_cost_or_drawdown,only 34 trades; minimum is 250; fails 4-tick stress; edge fails after excluding best day; one-day concentration risk; one-trade concentration risk
trading_session,2025-11-04,14,1,1.0,1313.64,1299.64,-349.44,2025-11-04,1313.64,1.0,0.187844,0.0,1299.64,rejected_cost_or_drawdown,only 14 trades; minimum is 250; edge fails after excluding best day; one-day concentration risk
trading_session,2025-11-05,12,1,1.0,2233.12,2221.12,0.0,2025-11-05,2233.12,1.0,0.146772,0.0,2221.12,rejected_cost_or_drawdown,only 12 trades; minimum is 250; edge fails after excluding best day; one-day concentration risk
