exit_shape,summary_scope,summary_key,trade_count,session_count,active_session_pct,net_pnl,stress_net_pnl,max_drawdown,best_day,best_day_net_pnl,best_day_concentration,best_trade_concentration,net_excluding_best_day,stress_excluding_best_day,phase8h_label,phase8h_notes
horizon_close_10m,hypothesis,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,2597,175,1.0,2939.22,342.22,-7337.82,2026-06-26,2714.18,0.923435,0.183981,225.04,342.22,rejected_concentration_artifact,one-day concentration risk
horizon_close_10m,hypothesis,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,2597,175,1.0,2939.22,342.22,-7337.82,2026-06-26,2714.18,0.923435,0.183981,225.04,342.22,rejected_concentration_artifact,one-day concentration risk
horizon_close_15m,hypothesis,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,2597,175,1.0,8578.72,5981.72,-6801.92,2026-06-26,3048.18,0.355319,0.066299,5530.54,5981.72,rejected_concentration_artifact,one-day concentration risk
horizon_close_15m,hypothesis,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,2597,175,1.0,8578.72,5981.72,-6801.92,2026-06-26,3048.18,0.355319,0.066299,5530.54,5981.72,rejected_concentration_artifact,one-day concentration risk
horizon_close_20m,hypothesis,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,2597,175,1.0,1249.72,-1347.28,-10559.48,2026-06-26,3916.18,3.133646,0.574337,-2666.46,-1347.28,rejected_cost_or_drawdown,fails 4-tick stress; edge fails after excluding best day; one-day concentration risk; one-trade concentration risk
horizon_close_20m,hypothesis,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,2597,175,1.0,1249.72,-1347.28,-10559.48,2026-06-26,3916.18,3.133646,0.574337,-2666.46,-1347.28,rejected_cost_or_drawdown,fails 4-tick stress; edge fails after excluding best day; one-day concentration risk; one-trade concentration risk
trailing_time_stop,hypothesis,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,2597,175,1.0,4084.72,1487.72,-8660.74,2026-06-26,4345.68,1.063887,0.175718,-260.96,1487.72,rejected_concentration_artifact,edge fails after excluding best day; one-day concentration risk
trailing_time_stop,hypothesis,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,2597,175,1.0,4084.72,1487.72,-8660.74,2026-06-26,4345.68,1.063887,0.175718,-260.96,1487.72,rejected_concentration_artifact,edge fails after excluding best day; one-day concentration risk
session_bucket_flatten,hypothesis,MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,2165,175,1.0,13587.9,11422.9,-5130.06,2026-06-26,3747.62,0.275806,0.041858,9840.28,11422.9,phase8h_candidate_filter_design,survives leave-one-day-out concentration diagnostic
session_bucket_flatten,hypothesis,MNQ_vwap_reclaim_rejection_tf1_long_only_bdbad7c5,2165,175,1.0,13587.9,11422.9,-5130.06,2026-06-26,3747.62,0.275806,0.041858,9840.28,11422.9,phase8h_candidate_filter_design,survives leave-one-day-out concentration diagnostic
