phase8k_step,diagnostic_axis,bucket,bucket_label,bucket_score,trades,active_sessions,net_pnl,stress_net_pnl,train_net_pnl,validation_net_pnl,test_net_pnl,test_trades,negative_test_folds,negative_validation_folds,lookahead_guardrail
3_pre_entry_bucket_decomposition,weekday,Wednesday,phase8k_negative_test_bucket,-4623.16,892,36,-7000.58,-7892.58,-1463.5,-1977.84,-3559.24,201,3,3,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,10:00-10:30,phase8k_negative_test_bucket,-2999.95,725,106,3418.5,2693.5,6642.32,-597.74,-2626.08,167,3,2,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,weekday,Tuesday,phase8k_negative_test_bucket,-2284.61,939,35,5810.14,4871.14,8075.24,-60.98,-2204.12,188,2,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,12:30-13:00,phase8k_negative_test_bucket,-1314.85,264,47,204.64,-59.36,1550.68,-162.38,-1183.66,59,2,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,rth_bucket,10:00-11:00,phase8k_negative_test_bucket,-383.6,1244,136,8713.94,7469.94,8598.92,947.24,-832.22,303,1,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,13:30-14:00,phase8k_negative_test_bucket,403.01,284,37,1361.84,1077.84,472.26,923.14,-33.56,44,1,0,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,11:00-11:30,phase8k_negative_validation_bucket,-91.2,376,58,234.26,-141.74,553.52,-506.12,186.86,61,1,2,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,11:30-12:00,phase8k_negative_validation_bucket,117.78,333,50,686.58,353.58,729.12,-420.64,378.1,85,2,2,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,rth_bucket,11:00-12:00,phase8k_negative_validation_bucket,51.58,709,77,920.84,211.84,1282.64,-926.76,564.96,146,2,2,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,weekday,Monday,phase8k_reference_bucket,131.05,700,35,9129.5,8429.5,8861.94,223.02,44.54,179,1,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,13:00-13:30,phase8k_reference_bucket,1076.93,215,38,3592.4,3377.4,2039.62,901.7,651.08,33,1,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,rth_bucket,12:00-14:00,phase8k_reference_bucket,2076.57,1095,91,7609.2,6514.2,4374.76,2265.74,968.7,220,1,0,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,12:00-12:30,phase8k_positive_test_bucket,1836.48,332,54,2450.32,2118.32,312.2,603.28,1534.84,84,0,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,10:30-11:00,phase8k_positive_test_bucket,2566.35,519,89,5295.44,4776.44,1956.6,1544.98,1793.86,136,0,0,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,weekday,Friday,phase8k_reference_bucket,6821.08,1002,34,19122.52,18120.52,10317.8,3917.28,4887.44,194,1,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,minute_bucket,09:30-10:00,phase8k_reference_bucket,7118.52,1520,164,7190.2,5670.2,-508.66,1110.68,6588.18,293,1,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,rth_bucket,09:30-10:00,phase8k_reference_bucket,7118.52,1520,164,7190.2,5670.2,-508.66,1110.68,6588.18,293,1,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
3_pre_entry_bucket_decomposition,weekday,Thursday,phase8k_positive_test_bucket,8768.71,1035,35,-2627.4,-3662.4,-12043.82,1295.42,8121.0,200,0,1,"uses entry timestamp/session metadata only; diagnostic bucket, not promotion"
