phase8m_rank,candidate_id,base_filter,exit_model,risk_model,max_trades_per_day,min_minutes_between_entries,stop_after_loss,stop_after_win,daily_loss_lockout_r,daily_profit_lockout_r,diagnostic_only,source_trades,trades,removed_trades,active_days,active_days_pct,trades_per_active_day,net_pnl,stress_pnl,discovery_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,walk_forward_test_trades,positive_wf_test_folds,positive_wf_test_folds_pct,worst_wf_test_fold,walk_forward_folds,max_drawdown,walk_forward_max_drawdown,best_day_pnl,best_day_concentration,best_trade_pnl,best_trade_concentration,walk_forward_day_concentration,walk_forward_trade_concentration,phase8m_score,phase8m_label,reject_reasons
1,exclude_wednesday__horizon_close_15m__mt3_gap60_sal0_saw0_dl2.0_dp2.0,exclude_wednesday,horizon_close_15m,mt3_gap60_sal0_saw0_dl2.0_dp2.0,3,60,False,False,2.0,2.0,True,2165,274,1891,139,0.794286,1.971223,3805.24,3531.24,1092.42,404.52,2308.3,2502.42,2385.42,117,3,1.0,55.9,3,-985.36,-674.94,467.52,0.122862,472.26,0.124108,4.025403,5.764937,34.3391,phase8m_rejected_concentration,diagnostic-only weekday-style filter; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
2,exclude_10_00_10_30_plus_no_wednesday__horizon_close_15m__mt3_gap15_sal0_saw0_dlnone_dpnone,exclude_10_00_10_30_plus_no_wednesday,horizon_close_15m,mt3_gap15_sal0_saw0_dlnone_dpnone,3,15,False,False,none,none,True,2165,347,1818,139,0.794286,2.496403,4166.22,3819.22,996.1,419.66,2750.46,2940.98,2792.98,148,3,1.0,3.5,3,-1789.14,-776.68,735.28,0.176486,532.26,0.127756,75.72,92.074286,32.261,phase8m_rejected_concentration,diagnostic-only weekday-style filter; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
3,exclude_10_00_10_30_plus_no_wednesday__horizon_close_15m__mt3_gap60_sal0_saw0_dl2.0_dp2.0,exclude_10_00_10_30_plus_no_wednesday,horizon_close_15m,mt3_gap60_sal0_saw0_dl2.0_dp2.0,3,60,False,False,2.0,2.0,True,2165,271,1894,139,0.794286,1.94964,3461.46,3190.46,748.64,404.52,2308.3,2559.66,2443.66,116,3,1.0,113.14,3,-1040.8,-674.94,467.52,0.135064,472.26,0.136434,1.988863,2.84833,31.9815,phase8m_rejected_concentration,diagnostic-only weekday-style filter; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
4,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt3_gap30_sal0_saw0_dl1.5_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt3_gap30_sal0_saw0_dl1.5_dpnone,3,30,False,False,1.5,none,True,2165,276,1889,139,0.794286,1.985612,2423.29,2147.29,1533.61,92.26,797.42,1156.48,1041.48,115,3,1.0,59.63,3,-366.13,-255.99,357.47,0.147514,357.47,0.147514,4.12326,3.712058,20.2686,phase8m_rejected_concentration,diagnostic-only weekday-style filter; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
5,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt3_gap15_sal0_saw0_dlnone_dpnone,3,15,False,False,none,none,True,2165,347,1818,139,0.794286,2.496403,1266.61,919.61,217.93,228.43,820.25,1227.42,1079.42,148,3,1.0,80.73,3,-684.52,-383.57,357.47,0.282226,357.47,0.282226,3.045584,2.741856,-16.79,phase8m_rejected_concentration,diagnostic-only weekday-style filter; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
6,exclude_10_00_10_30__vwap_failure_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,exclude_10_00_10_30,vwap_failure_1_5_time30,mt3_gap15_sal0_saw0_dlnone_dpnone,3,15,False,False,none,none,False,2165,440,1725,175,1.0,2.514286,1048.11,608.11,47.25,86.82,914.04,1103.59,913.59,190,3,1.0,6.88,3,-693.82,-396.21,357.47,0.341062,357.47,0.341062,35.736919,32.172965,-21.9325,phase8m_rejected_concentration,one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
7,base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal0_saw1_dlnone_dp1.5,2,30,False,True,none,1.5,False,2165,285,1880,175,1.0,1.628571,770.85,485.85,-1206.99,651.29,1326.55,1986.16,1870.16,116,3,1.0,188.88,3,-1930.96,-282.24,295.01,0.382707,295.01,0.382707,0.771707,0.771707,-32.9121,phase8m_rejected_concentration,negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
8,exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,exclude_wednesday,fixed_r_1_5_time30,mt2_gap30_sal0_saw0_dl1.5_dpnone,2,30,False,False,1.5,none,True,2165,257,1908,139,0.794286,1.848921,493.82,236.82,-548.48,303.75,738.55,1269.63,1156.63,113,3,1.0,312.12,3,-1304.57,-351.16,280.01,0.567028,280.01,0.567028,0.569798,0.580097,-92.4515,phase8m_rejected_concentration,diagnostic-only weekday-style filter; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
9,exclude_10_00_10_30__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,exclude_10_00_10_30,horizon_close_15m,mt3_gap30_sal0_saw0_dl1.5_dpnone,3,30,False,False,1.5,none,False,2165,377,1788,175,1.0,2.154286,3922.02,3545.02,1693.78,586.72,1641.52,1973.62,1811.62,162,2,0.666667,-598.7,3,-1192.38,-900.54,545.28,0.13903,472.26,0.120412,1.0,1.0,33.2048,phase8m_rejected_fold_instability,not every walk-forward test fold is positive; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
10,exclude_10_00_10_30_plus_no_wednesday__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,exclude_10_00_10_30_plus_no_wednesday,horizon_close_15m,mt3_gap30_sal0_saw0_dl1.5_dpnone,3,30,False,False,1.5,none,True,2165,304,1861,139,0.794286,2.18705,4659.54,4355.54,1832.1,364.82,2462.62,2613.54,2484.54,129,2,0.666667,-332.56,3,-990.7,-622.2,545.28,0.117024,472.26,0.101353,1.0,1.0,32.3513,phase8m_rejected_fold_instability,diagnostic-only weekday-style filter; not every walk-forward test fold is positive; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
11,exclude_10_00_10_30__horizon_close_15m__mt2_gap30_sal0_saw0_dl1.5_dpnone,exclude_10_00_10_30,horizon_close_15m,mt2_gap30_sal0_saw0_dl1.5_dpnone,2,30,False,False,1.5,none,False,2165,312,1853,175,1.0,1.782857,3688.12,3376.12,1541.88,450.12,1696.12,1952.84,1818.84,134,2,0.666667,-462.04,3,-1201.72,-776.1,413.02,0.111987,472.26,0.128049,1.0,1.0,31.4638,phase8m_rejected_fold_instability,not every walk-forward test fold is positive; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
12,exclude_wednesday__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,exclude_wednesday,horizon_close_15m,mt3_gap30_sal0_saw0_dl1.5_dpnone,3,30,False,False,1.5,none,True,2165,331,1834,139,0.794286,2.381295,4178.06,3847.06,1946.5,-709.64,2941.2,2063.16,1922.16,141,2,0.666667,-264.56,3,-1336.96,-779.76,545.28,0.13051,472.26,0.113033,8.821472,7.082027,28.4103,phase8m_rejected_fold_instability,diagnostic-only weekday-style filter; negative validation split; not every walk-forward test fold is positive; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
13,base_pre_14_00__horizon_close_15m__mt2_gap60_sal0_saw0_dl2.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap60_sal0_saw0_dl2.0_dpnone,2,60,False,False,2.0,none,False,2165,301,1864,175,1.0,1.72,3113.76,2812.76,1537.3,294.86,1281.6,1224.06,1093.06,131,2,0.666667,-337.8,3,-1215.7,-740.1,467.52,0.150146,472.26,0.151669,1.511108,1.082537,23.3607,phase8m_rejected_fold_instability,not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
14,exclude_10_00_10_30__horizon_close_15m__mt3_gap15_sal0_saw0_dlnone_dpnone,exclude_10_00_10_30,horizon_close_15m,mt3_gap15_sal0_saw0_dlnone_dpnone,3,15,False,False,none,none,False,2165,440,1725,175,1.0,2.514286,3649.9,3209.9,1091.14,492.36,2066.4,2249.4,2059.4,190,2,0.666667,-399.36,3,-1801.12,-1140.62,735.28,0.201452,532.26,0.145829,1.0,1.0,23.2175,phase8m_rejected_fold_instability,not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
15,base_pre_14_00__horizon_close_15m__mt3_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,horizon_close_15m,mt3_gap30_sal0_saw0_dl1.5_dpnone,3,30,False,False,1.5,none,False,2165,411,1754,175,1.0,2.348571,3217.86,2806.86,1725.22,-516.22,2008.86,1086.02,909.02,177,2,0.666667,-633.2,3,-1703.62,-993.0,545.28,0.169454,472.26,0.146762,39.458633,31.678058,22.3897,phase8m_rejected_fold_instability,negative validation split; not every walk-forward test fold is positive; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
