candidate_id,base_filter,exit_model,risk_model,fold,segment,segment_start,segment_end,trades,active_days,active_days_pct,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap30_sal1_saw0_dl1.0_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,-8.5,-33.5,-426.68,1.0,1.0
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap30_sal1_saw0_dl1.0_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,141.5,116.5,-279.94,1.280989,1.280989
base_pre_14_00__horizon_close_15m__mt1_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap30_sal1_saw0_dl1.0_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,1545.0,1520.0,-413.22,0.240298,0.240298
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap60_sal1_saw0_dl1.0_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,-8.5,-33.5,-426.68,1.0,1.0
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap60_sal1_saw0_dl1.0_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,141.5,116.5,-279.94,1.280989,1.280989
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap60_sal1_saw0_dl1.0_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,1545.0,1520.0,-413.22,0.240298,0.240298
base_pre_14_00__horizon_close_15m__mt2_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap30_sal1_saw0_dl1.0_dpnone,1,test,2026-03-17,2026-04-21,34,25,1.0,-153.66,-187.66,-741.66,1.0,1.0
base_pre_14_00__horizon_close_15m__mt2_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap30_sal1_saw0_dl1.0_dpnone,2,test,2026-04-22,2026-05-27,39,25,1.0,-169.86,-208.86,-601.94,1.0,1.0
base_pre_14_00__horizon_close_15m__mt2_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap30_sal1_saw0_dl1.0_dpnone,3,test,2026-05-28,2026-07-02,40,25,1.0,545.9,505.9,-483.74,0.933358,0.680088
base_pre_14_00__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap60_sal1_saw0_dl1.0_dpnone,1,test,2026-03-17,2026-04-21,34,25,1.0,-550.66,-584.66,-838.9,1.0,1.0
base_pre_14_00__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,test,2026-04-22,2026-05-27,36,25,1.0,35.86,-0.14,-508.62,7.055772,5.054657
base_pre_14_00__horizon_close_15m__mt2_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,horizon_close_15m,mt2_gap60_sal1_saw0_dl1.0_dpnone,3,test,2026-05-28,2026-07-02,35,25,1.0,911.1,876.1,-507.64,0.355087,0.407485
base_pre_14_00__horizon_close_15m__mt1_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,horizon_close_15m,mt1_gap15_sal0_saw0_dlnone_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,-8.5,-33.5,-426.68,1.0,1.0
