session_date,candidate_id,trades,net_pnl,stress_pnl
2025-07-15,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-81.24,-82.24
2025-07-16,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-165.74,-166.74
2025-07-17,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,35.76,34.76
2025-07-21,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,9.26,8.26
2025-07-22,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-78.74,-79.74
2025-07-23,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,111.26,110.26
2025-07-24,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,22.76,21.76
2025-07-25,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-20.24,-21.24
2025-07-30,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-60.24,-61.24
2025-08-01,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-198.24,-199.24
2025-08-04,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,0.76,-0.24
2025-08-06,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-20.24,-21.24
2025-08-07,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-172.24,-173.24
2025-08-08,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,28.26,27.26
2025-08-11,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-44.74,-45.74
2025-08-12,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,112.26,111.26
2025-08-14,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-190.74,-191.74
2025-08-18,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-167.24,-168.24
2025-08-20,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-91.24,-92.24
2025-08-21,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-211.24,-212.24
2025-08-22,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-125.74,-126.74
2025-08-25,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,103.26,102.26
2025-08-26,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-7.74,-8.74
2025-08-27,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-6.74,-7.74
2025-08-28,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-38.74,-39.74
2025-09-02,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,2.76,1.76
2025-09-03,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,-186.74,-187.74
2025-09-04,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000,1,49.26,48.26
