signal_time,entry_time,trading_session,side,box_high,box_low,entry_model,timeframe,compression_method,direction_mode,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,net_pnl,stress_pnl,risk_dollars,same_bar_ambiguity,candidate_id
2025-07-15 11:45:00-04:00,2025-07-15 11:50:00-04:00,2025-07-15,long,23173.75,23113.0,next_bar_open,5,range_percentile,long_only,23175.5,2025-07-15 12:35:00-04:00,23136.25,time_stop,23113.0,23269.25,-78.5,-81.24,-82.24,125.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-07-16 11:10:00-04:00,2025-07-16 11:15:00-04:00,2025-07-16,long,23035.0,22960.0,next_bar_open,5,range_percentile,long_only,23041.5,2025-07-16 11:15:00-04:00,22960.0,stop,22960.0,23163.75,-163.0,-165.74,-166.74,163.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-07-17 09:50:00-04:00,2025-07-17 09:55:00-04:00,2025-07-17,long,23138.0,23065.75,next_bar_open,5,range_percentile,long_only,23153.25,2025-07-17 10:40:00-04:00,23172.5,time_stop,23065.75,23284.5,38.5,35.76,34.76,175.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-07-21 12:50:00-04:00,2025-07-21 12:55:00-04:00,2025-07-21,long,23395.75,23358.75,next_bar_open,5,range_percentile,long_only,23406.5,2025-07-21 13:40:00-04:00,23412.5,time_stop,23358.75,23478.125,12.0,9.26,8.26,95.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-07-22 11:30:00-04:00,2025-07-22 11:35:00-04:00,2025-07-22,long,23230.0,23194.75,next_bar_open,5,range_percentile,long_only,23232.75,2025-07-22 12:00:00-04:00,23194.75,stop,23194.75,23289.75,-76.0,-78.74,-79.74,76.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-07-23 11:45:00-04:00,2025-07-23 11:50:00-04:00,2025-07-23,long,23214.5,23177.0,next_bar_open,5,range_percentile,long_only,23215.0,2025-07-23 11:50:00-04:00,23272.0,target,23177.0,23272.0,114.0,111.26,110.26,76.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-07-24 10:55:00-04:00,2025-07-24 11:00:00-04:00,2025-07-24,long,23371.75,23301.25,next_bar_open,5,range_percentile,long_only,23372.75,2025-07-24 11:45:00-04:00,23385.5,time_stop,23301.25,23480.0,25.5,22.76,21.76,143.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-07-25 14:20:00-04:00,2025-07-25 14:25:00-04:00,2025-07-25,long,23451.5,23428.5,next_bar_open,5,range_percentile,long_only,23456.0,2025-07-25 15:10:00-04:00,23447.25,time_stop,23428.5,23497.25,-17.5,-20.24,-21.24,55.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-07-30 10:50:00-04:00,2025-07-30 10:55:00-04:00,2025-07-30,long,23529.0,23463.75,next_bar_open,5,range_percentile,long_only,23532.0,2025-07-30 11:40:00-04:00,23503.25,time_stop,23463.75,23634.375,-57.5,-60.24,-61.24,136.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-08-01 10:30:00-04:00,2025-08-01 10:35:00-04:00,2025-08-01,long,22984.75,22799.25,next_bar_open,5,range_percentile,long_only,23008.25,2025-08-01 11:20:00-04:00,22910.5,time_stop,22799.25,23321.75,-195.5,-198.24,-199.24,418.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-08-04 09:55:00-04:00,2025-08-04 10:00:00-04:00,2025-08-04,long,23229.5,23088.75,next_bar_open,5,range_percentile,long_only,23246.5,2025-08-04 10:45:00-04:00,23248.25,time_stop,23088.75,23483.125,3.5,0.76,-0.24,315.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-08-06 10:00:00-04:00,2025-08-06 10:05:00-04:00,2025-08-06,long,23245.0,23148.75,next_bar_open,5,range_percentile,long_only,23269.5,2025-08-06 10:50:00-04:00,23260.75,time_stop,23148.75,23450.625,-17.5,-20.24,-21.24,241.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
2025-08-07 09:55:00-04:00,2025-08-07 10:00:00-04:00,2025-08-07,long,23648.0,23569.5,next_bar_open,5,range_percentile,long_only,23654.25,2025-08-07 10:20:00-04:00,23569.5,stop,23569.5,23781.375,-169.5,-172.24,-173.24,169.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt1_gap30_first10_keep1000
