trading_session,trades,net_pnl,stress_pnl,avg_mfe,avg_mae
2026-06-11,66,-9784.34,-9850.34,205.38636363636363,336.67424242424244
2026-06-25,50,-8687.0,-8737.0,120.2,357.16
2026-06-10,54,-6807.460000000001,-6861.46,195.7685185185185,351.1574074074074
2026-04-07,20,-5354.3,-5374.3,72.475,291.075
2026-03-19,48,-5173.52,-5221.52,77.45833333333333,166.89583333333334
2025-11-19,42,-4505.58,-4547.58,138.8452380952381,162.46428571428572
2025-11-17,50,-4455.5,-4505.5,124.35,178.93
2025-11-18,28,-4385.22,-4413.22,88.48214285714286,264.375
2026-06-17,18,-4115.32,-4133.32,118.61111111111111,311.1111111111111
2026-04-21,30,-3697.9500000000003,-3727.9500000000003,103.33333333333333,200.85
2026-03-03,50,-3647.5,-3697.5,130.09,155.75
2025-10-15,32,-3633.1800000000003,-3665.1800000000003,153.140625,143.109375
2026-06-23,42,-3508.5800000000004,-3550.5800000000004,135.8452380952381,217.29761904761904
2025-12-16,48,-3334.52,-3382.52,102.16666666666667,123.1875
2026-03-05,34,-3319.1600000000003,-3353.1600000000003,116.47058823529412,207.2941176470588
2026-06-12,24,-3296.76,-3320.76,135.5,306.0
2026-03-16,32,-3248.68,-3280.68,120.203125,140.484375
2025-08-01,32,-3188.6800000000003,-3220.6800000000003,77.0,166.40625
2026-05-04,30,-3034.2,-3064.2,64.66666666666667,196.46666666666667
2026-03-10,42,-2936.08,-2978.08,83.92857142857143,174.04761904761904
2026-02-02,30,-2870.7,-2900.7,22.983333333333334,119.21666666666667
2025-10-17,48,-2835.52,-2883.52,136.29166666666666,129.97916666666666
2026-02-11,14,-2685.86,-2699.86,55.25,229.53571428571428
2025-08-21,48,-2627.52,-2675.52,59.1875,124.1875
2026-01-13,40,-2614.1,-2654.1,61.6375,107.6375
