candidate_id,instrument,family,timeframe,compression_method,compression_lookback,compression_threshold,direction_mode,entry_model,stop_model,target_model,target_r,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,avoid_first_minutes,avoid_10_00_10_30,notes
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,8,0.25,short_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_range_percentile_lb12_q025_long_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,12,0.25,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_range_percentile_lb12_q025_long_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,12,0.25,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_range_percentile_lb12_q025_short_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,12,0.25,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_range_percentile_lb12_q025_short_only_target20R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,range_percentile,12,0.25,short_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,2.0,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_atr_percentile_lb8_q02_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,8,0.2,long_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_atr_percentile_lb8_q02_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,8,0.2,long_only,next_bar_close,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
MNQ_vcb_tf5_atr_percentile_lb8_q02_short_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,5,atr_percentile,8,0.2,short_only,next_bar_open,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.
