signal_time,confirmation_time,entry_time,trading_session,side,box_high,box_low,atr,timeframe,compression_method,time_window,entry_price,exit_time,exit_price,exit_reason,invalidation_time,opposite_box_stop,hard_cap_stop,stop_price,target_price,gross_pnl,net_pnl,stress_pnl,risk_dollars,mfe,mae,same_bar_ambiguity,target_hit,stop_hit,time_stop,stop_failure_bucket,candidate_id,compression_lookback,compression_threshold,entry_start,entry_end,is_primary_eligible,entry_model,exit_model,direction_mode,target_r,atr_cap_multiple,buffer_ticks,max_trades_per_day,min_minutes_between_entries,time_stop_minutes,instrument,family,split
2025-07-15 10:50:00-04:00,2025-07-15 10:50:00-04:00,2025-07-15 10:55:00-04:00,2025-07-15,short,23198.25,23130.75,33.40625,5,range_percentile,core_midday,23123.25,2025-07-15 11:20:00-04:00,23156.6562,stop,,23198.75,23156.6562,23156.6562,23056.4375,-66.81,-69.55,-70.55,66.81,55.5,77.5,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-07-15 12:05:00-04:00,2025-07-15 12:05:00-04:00,2025-07-15 12:10:00-04:00,2025-07-15,short,23181.0,23141.25,22.3125,5,range_percentile,core_midday,23141.25,2025-07-15 12:40:00-04:00,23136.25,time_stop,,23181.5,23163.5625,23163.5625,23096.625,10.0,7.26,6.26,44.62,31.5,38.5,0,0,0,1,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-07-24 12:00:00-04:00,2025-07-24 12:00:00-04:00,2025-07-24 12:05:00-04:00,2025-07-24,short,23400.5,23368.75,14.96875,5,range_percentile,core_midday,23367.0,2025-07-24 12:35:00-04:00,23361.75,time_stop,,23401.0,23381.9688,23381.9688,23337.0625,10.5,7.76,6.76,29.94,54.0,10.0,0,0,0,1,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-07-25 13:15:00-04:00,2025-07-25 13:15:00-04:00,2025-07-25 13:20:00-04:00,2025-07-25,short,23465.25,23441.5,10.0625,5,range_percentile,core_midday,23437.25,2025-07-25 13:25:00-04:00,23447.3125,stop,,23465.75,23447.3125,23447.3125,23417.125,-20.12,-22.87,-23.87,20.12,11.0,32.5,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-07-30 11:10:00-04:00,2025-07-30 11:10:00-04:00,2025-07-30 11:15:00-04:00,2025-07-30,short,23541.25,23501.5,19.78125,5,range_percentile,core_midday,23482.5,2025-07-30 11:20:00-04:00,23502.2812,stop,,23541.75,23502.2812,23502.2812,23442.9375,-39.56,-42.3,-43.3,39.56,15.0,43.0,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-08-05 10:40:00-04:00,2025-08-05 10:40:00-04:00,2025-08-05 10:45:00-04:00,2025-08-05,short,23362.25,23224.75,40.0,5,range_percentile,core_midday,23187.5,2025-08-05 11:15:00-04:00,23190.0,time_stop,,23362.75,23227.5,23227.5,23107.5,-5.0,-7.74,-8.74,80.0,97.5,65.0,0,0,0,1,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-08-07 11:45:00-04:00,2025-08-07 11:45:00-04:00,2025-08-07 11:50:00-04:00,2025-08-07,short,23558.25,23496.75,35.34375,5,range_percentile,core_midday,23478.75,2025-08-07 11:50:00-04:00,23514.0938,stop,,23558.75,23514.0938,23514.0938,23408.0625,-70.69,-73.43,-74.43,70.69,1.0,79.0,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-08-15 10:55:00-04:00,2025-08-15 10:55:00-04:00,2025-08-15 11:00:00-04:00,2025-08-15,short,23883.25,23801.0,28.46875,5,range_percentile,core_midday,23800.0,2025-08-15 11:15:00-04:00,23828.4688,stop,,23883.75,23828.4688,23828.4688,23743.0625,-56.94,-59.68,-60.68,56.94,25.0,70.5,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-08-19 10:55:00-04:00,2025-08-19 10:55:00-04:00,2025-08-19 11:00:00-04:00,2025-08-19,short,23711.5,23557.75,47.4375,5,range_percentile,core_midday,23540.75,2025-08-19 11:30:00-04:00,23587.0,time_stop,,23712.0,23588.1875,23588.1875,23445.875,-92.5,-95.24,-96.24,94.88,53.5,93.5,0,0,0,1,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-08-21 11:10:00-04:00,2025-08-21 11:10:00-04:00,2025-08-21 11:15:00-04:00,2025-08-21,short,23345.75,23249.0,36.21875,5,range_percentile,core_midday,23212.25,2025-08-21 11:20:00-04:00,23248.4688,stop,,23346.25,23248.4688,23248.4688,23139.8125,-72.44,-75.18,-76.18,72.44,16.5,152.5,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,8,0.2,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
