signal_key,phase,candidate_id,cluster_id,cluster_representative,candidate_action,deprioritization_reason,currently_in_scheduler_c_universe,validation_pnl,holdout_pnl,stress_pnl,best_day_concentration,best_trade_concentration,average_correlation,overlap_rate,scheduler_b_accepted_net_pnl,scheduler_c_accepted_net_pnl,weak_fold_harm,portfolio_role,signal_evidence_status,tradability_status,plain_english_rule
phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,,,deprioritize_harmful,negative accepted contribution or harmful-when-accepted diagnostic,True,82.84,303.5,1215.61,0.263982,0.263982,0.052127,0.986755,7183.28,3673.88,-76.74,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.
phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,,,deprioritize_harmful,negative accepted contribution or harmful-when-accepted diagnostic,True,92.1,337.14,328.59,0.9016,0.9016,0.10232,1.0,-9589.68,-4969.2,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,,,deprioritize_harmful,negative accepted contribution or harmful-when-accepted diagnostic,True,381.0,495.83,637.13,0.325099,0.325099,0.034979,0.8,224.6,218.44,-275.26,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,117.16,920.64,2643.48,0.331722,0.331722,0.390829,1.0,-3657.38,-1856.83,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,117.16,920.64,2643.48,0.331722,0.331722,0.390829,1.0,-10583.36,-5291.68,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,122.9,835.1,1538.56,0.287686,0.287686,0.352077,0.871429,-2879.43,-3395.24,-502.31,parked_module,positive_research_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,122.9,835.1,1538.56,0.287686,0.287686,0.352077,1.0,-7128.16,-3564.08,0.0,parked_module,positive_research_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,334.4,811.84,2877.14,0.306503,0.306503,0.387654,0.987179,2328.57,699.82,-5.24,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,334.4,811.84,2877.14,0.306503,0.306503,0.387654,1.0,-7891.84,-3945.92,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,340.14,692.56,1737.48,0.257163,0.257163,0.355907,1.0,-4706.56,-2353.28,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
