priority_policy,portfolio_mode,diagnostic_filter,fold,net_pnl,stress_pnl,active_days
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,1,-2425.83,-2466.83,41
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,2,-2683.96,-2724.96,41
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,3,385.46,344.46,41
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,4,-2115.42,-2156.42,41
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,5,-1631.5,-1672.5,41
existing_priority_baseline,one_trade_at_a_time_chronological,no_filter_baseline,6,4484.69,4441.69,43
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,5.26,4.26,1
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,-50.06,-51.06,1
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,-82.74,-83.74,1
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,77.26,76.26,1
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,-0.24,-1.24,1
existing_priority_baseline,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,-136.96,-137.96,1
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,1,-848.45,-889.45,41
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,2,872.66,831.66,41
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,3,-246.37,-287.37,41
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,4,-1042.38,-1083.38,41
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,5,1281.67,1240.67,41
existing_priority_baseline,max_one_trade_per_session,no_filter_baseline,6,2662.24,2619.24,43
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
existing_priority_baseline,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,1,-2481.85,-2522.85,41
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,2,-2661.96,-2702.96,41
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,3,246.46,205.46,41
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,4,-1887.42,-1928.42,41
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,5,-1525.76,-1566.76,41
lowest_correlation_first,one_trade_at_a_time_chronological,no_filter_baseline,6,4406.61,4363.61,43
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,5.26,4.26,1
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,-50.06,-51.06,1
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,-82.74,-83.74,1
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,77.26,76.26,1
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,-0.24,-1.24,1
lowest_correlation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,-136.96,-137.96,1
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,1,-936.45,-977.45,41
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,2,886.16,845.16,41
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,3,-72.37,-113.37,41
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,4,-1008.88,-1049.88,41
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,5,1305.17,1264.17,41
lowest_correlation_first,max_one_trade_per_session,no_filter_baseline,6,2635.14,2592.14,43
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
lowest_correlation_first,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,1,-2374.09,-2415.09,41
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,2,-2577.48,-2618.48,41
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,3,385.46,344.46,41
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,4,-2115.42,-2156.42,41
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,5,-1631.5,-1672.5,41
highest_recent_validation_first,one_trade_at_a_time_chronological,no_filter_baseline,6,4381.45,4338.45,43
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,5.26,4.26,1
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,-50.06,-51.06,1
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,-82.74,-83.74,1
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,77.26,76.26,1
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,-0.24,-1.24,1
highest_recent_validation_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,-136.96,-137.96,1
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,1,-848.45,-889.45,41
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,2,872.66,831.66,41
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,3,-246.37,-287.37,41
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,4,-1042.38,-1083.38,41
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,5,1281.67,1240.67,41
highest_recent_validation_first,max_one_trade_per_session,no_filter_baseline,6,2325.24,2282.24,43
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
highest_recent_validation_first,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,1,-2481.85,-2522.85,41
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,2,-2661.96,-2702.96,41
hybrid_validation_then_correlation,one_trade_at_a_time_chronological,no_filter_baseline,3,246.46,205.46,41
