pruning_variant,priority_policy,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
deprioritize_seed_cluster,concentration_adjusted_priority,max_one_trade_per_session,0.305909,0.305909,0.727813,1.059812
deprioritize_seed_cluster,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
deprioritize_seed_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
deprioritize_seed_cluster,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
deprioritize_seed_cluster,lowest_correlation_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
deprioritize_seed_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
deprioritize_seed_cluster,rare_setup_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
deprioritize_seed_cluster,rare_setup_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
keep_only_deduped_representatives,concentration_adjusted_priority,max_one_trade_per_session,0.305909,0.305909,0.727813,1.059812
keep_only_deduped_representatives,concentration_adjusted_priority,one_trade_at_a_time_chronological,0.194093,0.123998,0.405306,0.437159
keep_only_deduped_representatives,hybrid_validation_then_correlation,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
keep_only_deduped_representatives,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,0.194078,0.123988,0.405276,0.437127
keep_only_deduped_representatives,lowest_correlation_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
keep_only_deduped_representatives,lowest_correlation_first,one_trade_at_a_time_chronological,0.194078,0.123988,0.405276,0.437127
keep_only_deduped_representatives,rare_setup_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
keep_only_deduped_representatives,rare_setup_first,one_trade_at_a_time_chronological,0.194078,0.123988,0.405276,0.437127
no_pruning_baseline,concentration_adjusted_priority,max_one_trade_per_session,0.305909,0.305909,0.727813,1.059812
no_pruning_baseline,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
no_pruning_baseline,hybrid_validation_then_correlation,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
no_pruning_baseline,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
no_pruning_baseline,lowest_correlation_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
no_pruning_baseline,lowest_correlation_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
no_pruning_baseline,rare_setup_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
no_pruning_baseline,rare_setup_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
remove_high_redundancy_pairs,concentration_adjusted_priority,max_one_trade_per_session,0.305909,0.305909,0.727813,1.059812
remove_high_redundancy_pairs,concentration_adjusted_priority,one_trade_at_a_time_chronological,0.187685,0.119904,0.396856,0.458008
remove_high_redundancy_pairs,hybrid_validation_then_correlation,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_high_redundancy_pairs,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,0.187672,0.119896,0.396828,0.457975
remove_high_redundancy_pairs,lowest_correlation_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_high_redundancy_pairs,lowest_correlation_first,one_trade_at_a_time_chronological,0.187672,0.119896,0.396828,0.457975
remove_high_redundancy_pairs,rare_setup_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_high_redundancy_pairs,rare_setup_first,one_trade_at_a_time_chronological,0.187672,0.119896,0.396828,0.457975
remove_seed_suspect_cluster,concentration_adjusted_priority,max_one_trade_per_session,0.305909,0.305909,0.727813,1.059812
remove_seed_suspect_cluster,concentration_adjusted_priority,one_trade_at_a_time_chronological,3.939153,2.516559,8.32924,9.612692
remove_seed_suspect_cluster,hybrid_validation_then_correlation,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_seed_suspect_cluster,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3.933252,2.512789,8.316762,9.598291
remove_seed_suspect_cluster,lowest_correlation_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_seed_suspect_cluster,lowest_correlation_first,one_trade_at_a_time_chronological,3.933252,2.512789,8.316762,9.598291
remove_seed_suspect_cluster,rare_setup_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_seed_suspect_cluster,rare_setup_first,one_trade_at_a_time_chronological,3.933252,2.512789,8.316762,9.598291
remove_seed_suspect_only,concentration_adjusted_priority,max_one_trade_per_session,0.305909,0.305909,0.727813,1.059812
remove_seed_suspect_only,concentration_adjusted_priority,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
remove_seed_suspect_only,hybrid_validation_then_correlation,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_seed_suspect_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
remove_seed_suspect_only,lowest_correlation_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_seed_suspect_only,lowest_correlation_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
remove_seed_suspect_only,rare_setup_first,max_one_trade_per_session,0.300093,0.300093,0.713974,1.03966
remove_seed_suspect_only,rare_setup_first,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
