portfolio_set,portfolio_mode,trading_session,net_pnl
top3_cross_family,raw_sum_diagnostic,2025-07-15,-85.98
top3_cross_family,raw_sum_diagnostic,2025-07-16,-24.48
top3_cross_family,raw_sum_diagnostic,2025-07-17,120.76
top3_cross_family,raw_sum_diagnostic,2025-07-18,-22.74
top3_cross_family,raw_sum_diagnostic,2025-07-22,-1.74
top3_cross_family,raw_sum_diagnostic,2025-07-23,36.26
top3_cross_family,raw_sum_diagnostic,2025-07-24,115.52
top3_cross_family,raw_sum_diagnostic,2025-07-28,10.280000000000001
top3_cross_family,raw_sum_diagnostic,2025-07-29,-81.74
top3_cross_family,raw_sum_diagnostic,2025-07-30,-26.24
top3_cross_family,raw_sum_diagnostic,2025-07-31,77.76
top3_cross_family,raw_sum_diagnostic,2025-08-01,-128.71999999999997
top3_cross_family,raw_sum_diagnostic,2025-08-04,-44.74
top3_cross_family,raw_sum_diagnostic,2025-08-05,23.020000000000003
top3_cross_family,raw_sum_diagnostic,2025-08-08,94.76
top3_cross_family,raw_sum_diagnostic,2025-08-11,-25.24
top3_cross_family,raw_sum_diagnostic,2025-08-13,-22.74
top3_cross_family,raw_sum_diagnostic,2025-08-14,71.26
top3_cross_family,raw_sum_diagnostic,2025-08-15,179.76
top3_cross_family,raw_sum_diagnostic,2025-08-18,-99.22
top3_cross_family,raw_sum_diagnostic,2025-08-19,8.76
top3_cross_family,raw_sum_diagnostic,2025-08-20,-281.37
top3_cross_family,raw_sum_diagnostic,2025-08-21,-86.72
top3_cross_family,raw_sum_diagnostic,2025-08-22,195.26
top3_cross_family,raw_sum_diagnostic,2025-08-25,0.0
top3_cross_family,raw_sum_diagnostic,2025-08-28,101.76
top3_cross_family,raw_sum_diagnostic,2025-08-29,25.76
top3_cross_family,raw_sum_diagnostic,2025-09-01,-15.74
top3_cross_family,raw_sum_diagnostic,2025-09-02,0.0
top3_cross_family,raw_sum_diagnostic,2025-09-05,-109.24
top3_cross_family,raw_sum_diagnostic,2025-09-08,-73.74
top3_cross_family,raw_sum_diagnostic,2025-09-09,-95.97999999999999
top3_cross_family,raw_sum_diagnostic,2025-09-10,-30.98
top3_cross_family,raw_sum_diagnostic,2025-09-11,14.26
top3_cross_family,raw_sum_diagnostic,2025-09-16,-19.74
top3_cross_family,raw_sum_diagnostic,2025-09-17,14.26
top3_cross_family,raw_sum_diagnostic,2025-09-19,75.52000000000001
top3_cross_family,raw_sum_diagnostic,2025-09-22,91.26
top3_cross_family,raw_sum_diagnostic,2025-09-23,3.26
top3_cross_family,raw_sum_diagnostic,2025-09-24,225.76
top3_cross_family,raw_sum_diagnostic,2025-09-25,0.0
top3_cross_family,raw_sum_diagnostic,2025-09-26,-135.72
top3_cross_family,raw_sum_diagnostic,2025-09-29,-88.48
top3_cross_family,raw_sum_diagnostic,2025-09-30,164.27999999999997
top3_cross_family,raw_sum_diagnostic,2025-10-03,25.780000000000005
top3_cross_family,raw_sum_diagnostic,2025-10-06,15.76
top3_cross_family,raw_sum_diagnostic,2025-10-07,-52.98
top3_cross_family,raw_sum_diagnostic,2025-10-08,100.76
top3_cross_family,raw_sum_diagnostic,2025-10-09,-130.12
top3_cross_family,raw_sum_diagnostic,2025-10-10,729.26
top3_cross_family,raw_sum_diagnostic,2025-10-13,212.76
top3_cross_family,raw_sum_diagnostic,2025-10-14,0.0
top3_cross_family,raw_sum_diagnostic,2025-10-15,-178.22
top3_cross_family,raw_sum_diagnostic,2025-10-16,-318.44
top3_cross_family,raw_sum_diagnostic,2025-10-17,331.76
top3_cross_family,raw_sum_diagnostic,2025-10-21,93.78
top3_cross_family,raw_sum_diagnostic,2025-10-22,-213.87
top3_cross_family,raw_sum_diagnostic,2025-10-23,66.26
top3_cross_family,raw_sum_diagnostic,2025-10-24,-37.74
top3_cross_family,raw_sum_diagnostic,2025-10-28,0.519999999999996
top3_cross_family,raw_sum_diagnostic,2025-10-29,-81.98
top3_cross_family,raw_sum_diagnostic,2025-10-30,-92.22
top3_cross_family,raw_sum_diagnostic,2025-10-31,23.52
top3_cross_family,raw_sum_diagnostic,2025-11-04,-125.22
top3_cross_family,raw_sum_diagnostic,2025-11-06,131.76
top3_cross_family,raw_sum_diagnostic,2025-11-07,134.26
top3_cross_family,raw_sum_diagnostic,2025-11-10,-120.97999999999999
top3_cross_family,raw_sum_diagnostic,2025-11-11,-12.979999999999997
top3_cross_family,raw_sum_diagnostic,2025-11-12,92.76
top3_cross_family,raw_sum_diagnostic,2025-11-13,233.26
top3_cross_family,raw_sum_diagnostic,2025-11-14,0.0
top3_cross_family,raw_sum_diagnostic,2025-11-17,14.78
top3_cross_family,raw_sum_diagnostic,2025-11-18,-227.72
top3_cross_family,raw_sum_diagnostic,2025-11-19,254.51999999999998
top3_cross_family,raw_sum_diagnostic,2025-11-20,905.76
top3_cross_family,raw_sum_diagnostic,2025-11-21,360.76
top3_cross_family,raw_sum_diagnostic,2025-11-25,-11.720000000000018
top3_cross_family,raw_sum_diagnostic,2025-11-26,149.26
top3_cross_family,raw_sum_diagnostic,2025-11-27,-13.74
top3_cross_family,raw_sum_diagnostic,2025-12-02,24.52000000000001
top3_cross_family,raw_sum_diagnostic,2025-12-04,41.02000000000001
top3_cross_family,raw_sum_diagnostic,2025-12-05,140.52
top3_cross_family,raw_sum_diagnostic,2025-12-08,-28.24
top3_cross_family,raw_sum_diagnostic,2025-12-09,0.0
top3_cross_family,raw_sum_diagnostic,2025-12-10,-23.22
top3_cross_family,raw_sum_diagnostic,2025-12-11,-156.98
top3_cross_family,raw_sum_diagnostic,2025-12-12,392.26
top3_cross_family,raw_sum_diagnostic,2025-12-15,-5.24
top3_cross_family,raw_sum_diagnostic,2025-12-16,51.02
top3_cross_family,raw_sum_diagnostic,2025-12-17,197.26
top3_cross_family,raw_sum_diagnostic,2025-12-18,143.76
top3_cross_family,raw_sum_diagnostic,2025-12-19,-44.74
top3_cross_family,raw_sum_diagnostic,2025-12-22,-13.98
top3_cross_family,raw_sum_diagnostic,2025-12-23,54.76
top3_cross_family,raw_sum_diagnostic,2025-12-26,2.020000000000003
top3_cross_family,raw_sum_diagnostic,2025-12-29,46.26
top3_cross_family,raw_sum_diagnostic,2025-12-30,-9.24
top3_cross_family,raw_sum_diagnostic,2026-01-02,65.26
top3_cross_family,raw_sum_diagnostic,2026-01-05,24.26
top3_cross_family,raw_sum_diagnostic,2026-01-06,-47.24
top3_cross_family,raw_sum_diagnostic,2026-01-07,-54.24
top3_cross_family,raw_sum_diagnostic,2026-01-08,-101.47999999999999
top3_cross_family,raw_sum_diagnostic,2026-01-09,86.26
top3_cross_family,raw_sum_diagnostic,2026-01-12,-25.74
top3_cross_family,raw_sum_diagnostic,2026-01-13,-0.649999999999995
top3_cross_family,raw_sum_diagnostic,2026-01-14,85.76
top3_cross_family,raw_sum_diagnostic,2026-01-15,-105.98
top3_cross_family,raw_sum_diagnostic,2026-01-16,-166.24
top3_cross_family,raw_sum_diagnostic,2026-01-19,0.0
top3_cross_family,raw_sum_diagnostic,2026-01-20,-78.24
top3_cross_family,raw_sum_diagnostic,2026-01-21,-133.48
top3_cross_family,raw_sum_diagnostic,2026-01-22,-21.48
top3_cross_family,raw_sum_diagnostic,2026-01-26,-30.24
top3_cross_family,raw_sum_diagnostic,2026-01-29,-170.74
top3_cross_family,raw_sum_diagnostic,2026-01-30,-156.48
top3_cross_family,raw_sum_diagnostic,2026-02-02,210.76
top3_cross_family,raw_sum_diagnostic,2026-02-03,37.26
top3_cross_family,raw_sum_diagnostic,2026-02-04,462.76
top3_cross_family,raw_sum_diagnostic,2026-02-05,103.01999999999998
top3_cross_family,raw_sum_diagnostic,2026-02-06,147.26
top3_cross_family,raw_sum_diagnostic,2026-02-09,164.26
top3_cross_family,raw_sum_diagnostic,2026-02-10,13.019999999999996
top3_cross_family,raw_sum_diagnostic,2026-02-11,0.0
top3_cross_family,raw_sum_diagnostic,2026-02-12,418.76
top3_cross_family,raw_sum_diagnostic,2026-02-13,0.0
top3_cross_family,raw_sum_diagnostic,2026-02-16,-208.72000000000003
top3_cross_family,raw_sum_diagnostic,2026-02-17,199.51999999999998
top3_cross_family,raw_sum_diagnostic,2026-02-19,-140.72
top3_cross_family,raw_sum_diagnostic,2026-02-20,156.26
top3_cross_family,raw_sum_diagnostic,2026-02-23,14.26
top3_cross_family,raw_sum_diagnostic,2026-02-24,50.76
top3_cross_family,raw_sum_diagnostic,2026-02-25,6.76
top3_cross_family,raw_sum_diagnostic,2026-02-26,-27.24
top3_cross_family,raw_sum_diagnostic,2026-02-27,0.0
top3_cross_family,raw_sum_diagnostic,2026-03-02,55.26
top3_cross_family,raw_sum_diagnostic,2026-03-03,204.76
top3_cross_family,raw_sum_diagnostic,2026-03-05,30.78
top3_cross_family,raw_sum_diagnostic,2026-03-06,0.0
top3_cross_family,raw_sum_diagnostic,2026-03-09,284.76
top3_cross_family,raw_sum_diagnostic,2026-03-11,-72.74
top3_cross_family,raw_sum_diagnostic,2026-03-12,-105.74
top3_cross_family,raw_sum_diagnostic,2026-03-13,-5.74
top3_cross_family,raw_sum_diagnostic,2026-03-16,56.02000000000001
top3_cross_family,raw_sum_diagnostic,2026-03-17,-4.010000000000005
top3_cross_family,raw_sum_diagnostic,2026-03-18,-179.72
top3_cross_family,raw_sum_diagnostic,2026-03-19,-136.24
top3_cross_family,raw_sum_diagnostic,2026-03-20,-71.74
top3_cross_family,raw_sum_diagnostic,2026-03-23,-27.74
top3_cross_family,raw_sum_diagnostic,2026-03-24,-97.97999999999999
top3_cross_family,raw_sum_diagnostic,2026-03-25,-126.48
top3_cross_family,raw_sum_diagnostic,2026-03-26,-33.219999999999985
top3_cross_family,raw_sum_diagnostic,2026-03-27,-108.24
top3_cross_family,raw_sum_diagnostic,2026-03-31,165.76
top3_cross_family,raw_sum_diagnostic,2026-04-06,54.02
top3_cross_family,raw_sum_diagnostic,2026-04-07,-88.22
top3_cross_family,raw_sum_diagnostic,2026-04-08,-27.24
top3_cross_family,raw_sum_diagnostic,2026-04-09,4.019999999999996
top3_cross_family,raw_sum_diagnostic,2026-04-10,94.76
top3_cross_family,raw_sum_diagnostic,2026-04-14,49.26
top3_cross_family,raw_sum_diagnostic,2026-04-16,178.26
top3_cross_family,raw_sum_diagnostic,2026-04-21,-103.22
top3_cross_family,raw_sum_diagnostic,2026-04-23,111.76
top3_cross_family,raw_sum_diagnostic,2026-04-24,203.26
top3_cross_family,raw_sum_diagnostic,2026-04-27,-99.72
top3_cross_family,raw_sum_diagnostic,2026-04-28,-158.48
top3_cross_family,raw_sum_diagnostic,2026-04-30,152.02
top3_cross_family,raw_sum_diagnostic,2026-05-01,-78.24
top3_cross_family,raw_sum_diagnostic,2026-05-05,-27.24
top3_cross_family,raw_sum_diagnostic,2026-05-06,105.26
top3_cross_family,raw_sum_diagnostic,2026-05-07,-163.22
