portfolio_set,portfolio_mode,max_drawdown
top3_cross_family,raw_sum_diagnostic,-920.21
top3_cross_family,one_trade_at_a_time_chronological,-920.21
top3_cross_family,max_one_trade_per_session,-809.41
phase10b_only_top_signals,raw_sum_diagnostic,-4593.22
phase10b_only_top_signals,one_trade_at_a_time_chronological,-6862.66
phase10b_only_top_signals,max_one_trade_per_session,-1392.11
phase11a_only_top_signals,raw_sum_diagnostic,-596.66
phase11a_only_top_signals,one_trade_at_a_time_chronological,-596.66
phase11a_only_top_signals,max_one_trade_per_session,-519.18
phase12a_only_top_signals,raw_sum_diagnostic,-316.9
phase12a_only_top_signals,one_trade_at_a_time_chronological,-316.9
phase12a_only_top_signals,max_one_trade_per_session,-316.9
parked_research_signals_all,raw_sum_diagnostic,-2870.48
parked_research_signals_all,one_trade_at_a_time_chronological,-2261.14
parked_research_signals_all,max_one_trade_per_session,-678.88
rare_setup_research_signals_all,raw_sum_diagnostic,-2677.42
rare_setup_research_signals_all,one_trade_at_a_time_chronological,-1350.75
rare_setup_research_signals_all,max_one_trade_per_session,-955.24
diversified_low_correlation_top5,raw_sum_diagnostic,-1222.71
diversified_low_correlation_top5,one_trade_at_a_time_chronological,-1117.99
diversified_low_correlation_top5,max_one_trade_per_session,-1050.04
diversified_cross_family_top6,raw_sum_diagnostic,-1276.91
diversified_cross_family_top6,one_trade_at_a_time_chronological,-1105.03
diversified_cross_family_top6,max_one_trade_per_session,-809.41
