portfolio_set,portfolio_mode,signals,signal_keys,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,trades,active_days,trades_per_active_day,max_drawdown,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration,average_pairwise_daily_correlation,max_pairwise_daily_correlation,trade_overlap_count,skipped_overlap_count,skipped_session_count,improves_concentration,improves_folds,improves_active_days,improves_drawdown,portfolio_label,research_status,paper_trading_approved
top3_cross_family,raw_sum_diagnostic,3,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,6100.94,5328.24,5046.24,459.03,1342.22,5328.24,5128.24,0.666667,-229.43,282,200,1.41,-920.21,0.169992,0.169992,0.39371,0.54808,-0.012721,0.008381,3,0,0,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
top3_cross_family,one_trade_at_a_time_chronological,3,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,6060.44,5295.96,5016.96,459.03,1342.22,5295.96,5113.96,0.833333,-195.45,279,182,1.532967,-920.21,0.171028,0.171028,0.396109,0.55142,-0.012721,0.008381,0,3,0,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
top3_cross_family,max_one_trade_per_session,3,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,5628.59,5129.89,4947.89,553.81,1301.32,5129.89,4947.89,0.833333,-185.33,182,182,1.0,-809.41,0.176565,0.176565,0.408933,0.569271,-0.012721,0.008381,0,0,100,True,False,True,,portfolio_audit_positive_but_concentrated,diversification_reduces_concentration,False
phase10b_only_top_signals,raw_sum_diagnostic,13,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,32305.5,30025.66,29193.66,3376.98,11997.22,30025.66,29825.66,0.833333,-3902.34,832,200,4.16,-4593.22,0.24133,0.030166,0.583795,0.150831,0.661128,1.0,2255,0,0,False,False,True,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
phase10b_only_top_signals,one_trade_at_a_time_chronological,13,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,-3827.68,-4942.88,-5349.88,-2214.7,538.66,-4942.88,-5051.88,0.333333,-2411.23,407,109,3.733945,-6862.66,1.0,1.0,1.0,1.0,0.661128,1.0,0,425,0,False,False,True,,portfolio_audit_failed_negative,no_portfolio_benefit,False
phase10b_only_top_signals,max_one_trade_per_session,13,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,2555.32,2256.64,2147.64,825.72,1876.3,2256.64,2147.64,0.666667,-632.82,109,109,1.0,-1392.11,0.401375,0.401375,0.981893,1.351921,0.661128,1.0,0,0,723,False,False,True,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
phase11a_only_top_signals,raw_sum_diagnostic,1,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,1780.35,1366.61,1215.61,82.84,303.5,1366.61,1166.61,0.5,-182.99,151,200,0.755,-596.66,0.263982,0.263982,0.762676,1.224417,0.0,0.0,0,0,0,False,False,True,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
phase11a_only_top_signals,one_trade_at_a_time_chronological,1,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,1780.35,1366.61,1215.61,82.84,303.5,1366.61,1268.61,0.666667,-153.52,151,98,1.540816,-596.66,0.263982,0.263982,0.762676,1.224417,0.0,0.0,0,0,0,False,True,False,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
phase11a_only_top_signals,max_one_trade_per_session,1,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,1274.28,1005.76,907.76,462.98,261.92,1005.76,907.76,0.833333,-94.34,98,98,1.0,-519.18,0.358694,0.358694,1.036311,1.53297,0.0,0.0,0,0,53,False,True,False,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
phase12a_only_top_signals,raw_sum_diagnostic,1,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,1151.71,1006.49,953.49,41.79,226.88,1006.49,806.49,0.833333,-93.23,53,200,0.265,-316.9,0.225298,0.225298,0.6287,0.947153,0.0,0.0,0,0,0,False,True,True,,portfolio_audit_positive_but_concentrated,portfolio_still_nontradable,False
