portfolio_set,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
audit_a_best_reconstructed,raw_sum_diagnostic,0.103822,0.103822,0.29422,0.360069
audit_a_best_reconstructed,one_trade_at_a_time_chronological,0.141345,0.141345,0.361187,0.487006
audit_a_best_reconstructed,max_one_trade_per_session,0.163812,0.163812,0.400738,0.551757
audit_a_best_plus_phase13a,raw_sum_diagnostic,0.083041,0.086377,0.240828,0.299567
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,0.133536,0.137401,0.326941,0.473417
audit_a_best_plus_phase13a,max_one_trade_per_session,0.140496,0.140496,0.342501,0.52479
top_cross_family_plus_phase13a,raw_sum_diagnostic,0.153725,0.140604,0.370906,0.454648
top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,0.183629,0.181672,0.417257,0.58744
top_cross_family_plus_phase13a,max_one_trade_per_session,0.17451,0.17451,0.514571,0.84088
diversifier_only_phase13a,raw_sum_diagnostic,0.34252,0.17126,0.818706,0.704767
diversifier_only_phase13a,one_trade_at_a_time_chronological,0.755004,0.755004,1.804644,2.792984
diversifier_only_phase13a,max_one_trade_per_session,0.343299,0.343299,0.820569,1.269966
all_parked_modules_with_phase13a,raw_sum_diagnostic,0.17596,0.031291,0.461216,0.156453
all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
all_parked_modules_with_phase13a,max_one_trade_per_session,0.629789,0.629789,1.55645,2.401778
rare_plus_diversifier_modules,raw_sum_diagnostic,0.157896,0.084825,0.354542,0.337149
rare_plus_diversifier_modules,one_trade_at_a_time_chronological,0.187638,0.123793,0.385776,0.49203
rare_plus_diversifier_modules,max_one_trade_per_session,0.211973,0.211973,0.51675,0.770244
greedy_low_correlation_with_phase13a,raw_sum_diagnostic,0.086369,0.105702,0.250745,0.364196
greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,0.123418,0.122103,0.325836,0.420705
greedy_low_correlation_with_phase13a,max_one_trade_per_session,0.538823,0.538823,1.331639,2.05487
