portfolio_set,portfolio_mode,max_drawdown
audit_a_best_reconstructed,raw_sum_diagnostic,-1222.71
audit_a_best_reconstructed,one_trade_at_a_time_chronological,-1117.99
audit_a_best_reconstructed,max_one_trade_per_session,-1050.04
audit_a_best_plus_phase13a,raw_sum_diagnostic,-1975.91
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,-1005.24
audit_a_best_plus_phase13a,max_one_trade_per_session,-1749.71
top_cross_family_plus_phase13a,raw_sum_diagnostic,-2156.51
top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,-1363.83
top_cross_family_plus_phase13a,max_one_trade_per_session,-1491.27
diversifier_only_phase13a,raw_sum_diagnostic,-2231.0
diversifier_only_phase13a,one_trade_at_a_time_chronological,-1416.8
diversifier_only_phase13a,max_one_trade_per_session,-1132.75
all_parked_modules_with_phase13a,raw_sum_diagnostic,-4248.55
all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,-5776.52
all_parked_modules_with_phase13a,max_one_trade_per_session,-1638.09
rare_plus_diversifier_modules,raw_sum_diagnostic,-2186.74
rare_plus_diversifier_modules,one_trade_at_a_time_chronological,-1389.81
rare_plus_diversifier_modules,max_one_trade_per_session,-2049.98
greedy_low_correlation_with_phase13a,raw_sum_diagnostic,-1776.99
greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,-1528.41
greedy_low_correlation_with_phase13a,max_one_trade_per_session,-1814.75
