portfolio_set,portfolio_mode,signals,signal_keys,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,trades,active_days,trades_per_active_day,max_drawdown,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration,average_pairwise_daily_correlation,max_pairwise_daily_correlation,trade_overlap_count,skipped_overlap_count,skipped_session_count,phase13a_net_contribution,phase13a_trade_count,phase13a_active_days,incremental_active_days_from_phase13a,concentration_delta_vs_audit_a_best,fold_delta_vs_audit_a_best,drawdown_delta_vs_audit_a_best,official_gates_passed,portfolio_label,research_status,paper_trading_approved
audit_a_best_reconstructed,raw_sum_diagnostic,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,8724.15,8332.15,1226.59,4189.3,8724.15,8478.15,0.833333,-246.24,392,246,1.593496,-1222.71,0.103822,0.103822,0.29422,0.360069,0.119279,0.612473,40,0,0,0.0,0,0,0,0.0,0.0,0.0,False,portfolio_b_positive_but_concentrated,portfolio_still_nontradable,False
audit_a_best_reconstructed,one_trade_at_a_time_chronological,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,6408.14,6055.14,577.49,3677.0,6408.14,6209.14,0.833333,-115.11,353,199,1.773869,-1117.99,0.141345,0.141345,0.361187,0.487006,0.119279,0.612473,0,39,0,0.0,0,0,0,0.0,0.0,0.0,False,portfolio_b_positive_but_concentrated,portfolio_still_nontradable,False
audit_a_best_reconstructed,max_one_trade_per_session,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,5529.25,5330.25,1193.09,2884.98,5529.25,5330.25,0.833333,-525.42,199,199,1.0,-1050.04,0.163812,0.163812,0.400738,0.551757,0.119279,0.612473,0,0,193,0.0,0,0,0,0.0,0.0,0.0,False,portfolio_b_positive_but_concentrated,portfolio_still_nontradable,False
audit_a_best_plus_phase13a,raw_sum_diagnostic,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,10486.15,9848.15,4042.25,4359.38,10486.15,10240.15,0.833333,-521.92,638,246,2.593496,-1975.91,0.083041,0.086377,0.240828,0.299567,0.144902,0.999252,213,0,0,1762.0,246,123,37,-0.020781,0.0,-753.2,False,portfolio_b_positive_but_concentrated,phase13a_reduces_concentration,False
audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,6592.07,6137.07,1860.04,3630.54,6592.07,6356.07,0.833333,-418.8,455,236,1.927966,-1005.24,0.133536,0.137401,0.326941,0.473417,0.144902,0.999252,0,183,0,684.57,116,112,47,-0.007809,0.0,112.75,False,portfolio_b_positive_but_concentrated,phase13a_reduces_concentration,False
audit_a_best_plus_phase13a,max_one_trade_per_session,7,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,4133.65,3897.65,2226.07,2351.5,4133.65,3897.65,0.666667,-906.79,236,236,1.0,-1749.71,0.140496,0.140496,0.342501,0.52479,0.144902,0.999252,0,0,402,1089.93,94,94,94,-0.023316,-0.166666,-699.67,False,portfolio_b_positive_but_concentrated,phase13a_reduces_concentration,False
top_cross_family_plus_phase13a,raw_sum_diagnostic,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,6441.91,5889.91,4251.85,2590.33,6441.91,6195.91,0.666667,-1498.51,552,246,2.243902,-2156.51,0.153725,0.140604,0.370906,0.454648,0.188402,0.999252,212,0,0,1762.0,246,123,19,0.049903,-0.166666,-933.8,False,portfolio_b_positive_but_concentrated,portfolio_still_nontradable,False
top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,4985.7,4598.7,1921.94,2174.53,4985.7,4751.7,0.666667,-1275.61,387,234,1.653846,-1363.83,0.183629,0.181672,0.417257,0.58744,0.188402,0.999252,0,165,0,407.95,97,95,25,0.042284,-0.166666,-245.84,False,portfolio_b_positive_but_concentrated,portfolio_still_nontradable,False
top_cross_family_plus_phase13a,max_one_trade_per_session,5,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,2399.63,2165.63,1849.26,1586.4,2399.63,2165.63,0.5,-1191.96,234,234,1.0,-1491.27,0.17451,0.17451,0.514571,0.84088,0.188402,0.999252,0,0,318,164.68,50,50,50,0.010698,-0.333333,-441.23,False,portfolio_b_positive_but_concentrated,portfolio_still_nontradable,False
diversifier_only_phase13a,raw_sum_diagnostic,2,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,1762.0,1516.0,2815.66,170.08,1762.0,1516.0,0.5,-1479.72,246,246,1.0,-2231.0,0.34252,0.17126,0.818706,0.704767,0.999252,0.999252,119,0,0,1762.0,246,123,123,0.238698,-0.333333,-1008.29,False,portfolio_b_positive_but_concentrated,portfolio_still_nontradable,False
