trading_session,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit,phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2
2025-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-15,0.0,0.0,-85.98,0.0,0.0,45.26,45.26,0.0,0.0,-145.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-16,0.0,0.0,-24.48,0.0,0.0,0.0,0.0,0.0,-15.74,-63.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-17,0.0,120.76,0.0,0.0,0.0,-83.9,-83.9,0.0,0.0,0.0,122.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-18,-22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.74,0.0,-22.74,-22.74,-22.74,0.0,0.0,-17.24,-17.24,-22.74,-22.74,-22.74,-22.74,0.0,0.0
2025-07-21,0.0,0.0,0.0,0.0,0.0,38.26,38.26,0.0,0.0,0.0,40.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-22,-1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.74,-1.74,-1.74,0.0,0.0,-42.24,-42.24,-1.74,-1.74,-1.74,-1.74,0.0,0.0
2025-07-23,0.0,0.0,36.26,0.0,0.0,0.0,0.0,-40.74,22.01,-70.24,0.0,0.0,0.0,0.0,0.0,0.0,-70.24,-70.24,0.0,0.0,0.0,0.0,28.26,28.26
2025-07-24,0.0,0.0,115.52,0.0,0.0,15.76,15.76,0.0,62.76,-23.74,0.0,0.0,0.0,0.0,0.0,0.0,62.26,62.26,0.0,0.0,0.0,0.0,94.26,94.26
2025-07-25,0.0,0.0,0.0,0.0,0.0,45.76,45.76,0.0,0.0,102.76,0.0,0.0,0.0,0.0,0.0,0.0,102.76,102.76,0.0,0.0,0.0,0.0,28.76,28.76
2025-07-28,0.0,-42.74,53.02,0.0,0.0,-80.95,-80.95,0.0,0.0,0.0,-27.74,0.0,0.0,0.0,0.0,0.0,55.26,55.26,0.0,0.0,0.0,0.0,-56.74,-56.74
2025-07-29,-81.74,0.0,0.0,0.0,0.0,-10.24,-10.24,-39.74,0.0,0.0,0.0,-81.74,-81.74,-81.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-30,0.0,-26.24,0.0,0.0,0.0,0.0,0.0,76.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31,77.76,0.0,0.0,0.0,77.76,-129.7,-129.7,-23.24,172.76,-97.48,0.0,77.76,77.76,77.76,77.76,77.76,0.0,0.0,77.76,77.76,77.76,77.76,0.0,0.0
