portfolio_set,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
audit_b_best_reconstructed,raw_sum_diagnostic,0.103822,0.103822,0.29422,0.360069
audit_b_best_reconstructed,one_trade_at_a_time_chronological,0.141345,0.141345,0.361187,0.487006
audit_b_best_reconstructed,max_one_trade_per_session,0.163812,0.163812,0.400738,0.551757
audit_b_best_plus_phase14a,raw_sum_diagnostic,0.113792,0.095122,0.309185,0.346488
audit_b_best_plus_phase14a,one_trade_at_a_time_chronological,0.131059,0.131059,0.334902,0.451564
audit_b_best_plus_phase14a,max_one_trade_per_session,0.202193,0.202193,0.494628,0.681029
audit_b_best_plus_phase13a_and_phase14a,raw_sum_diagnostic,0.131606,0.080269,0.29412,0.292384
audit_b_best_plus_phase13a_and_phase14a,one_trade_at_a_time_chronological,0.123406,0.126978,0.314035,0.437502
audit_b_best_plus_phase13a_and_phase14a,max_one_trade_per_session,0.157575,0.157575,0.384138,0.57258
top_cross_family_plus_13a_14a,raw_sum_diagnostic,0.141201,0.125107,0.376158,0.436237
top_cross_family_plus_13a_14a,one_trade_at_a_time_chronological,0.160003,0.158297,0.429413,0.551966
top_cross_family_plus_13a_14a,max_one_trade_per_session,0.242035,0.242035,0.566051,0.871352
diversifier_only_13a_14a,raw_sum_diagnostic,0.399333,0.242487,0.814885,0.769462
diversifier_only_13a_14a,one_trade_at_a_time_chronological,0.759759,0.574092,1.323697,1.756975
diversifier_only_13a_14a,max_one_trade_per_session,0.554141,0.554141,1.067451,1.441056
prior_level_diversifiers_only,raw_sum_diagnostic,0.399333,0.242487,0.814885,0.769462
prior_level_diversifiers_only,one_trade_at_a_time_chronological,0.759759,0.574092,1.323697,1.756975
prior_level_diversifiers_only,max_one_trade_per_session,0.554141,0.554141,1.067451,1.441056
all_parked_modules_with_13a_14a,raw_sum_diagnostic,0.157957,0.028587,0.413544,0.142936
all_parked_modules_with_13a_14a,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
all_parked_modules_with_13a_14a,max_one_trade_per_session,0.430751,0.430751,1.06455,1.642722
greedy_low_correlation_with_14a,raw_sum_diagnostic,0.116889,0.097711,0.298616,0.355918
greedy_low_correlation_with_14a,one_trade_at_a_time_chronological,0.126957,0.125604,0.338438,0.432768
greedy_low_correlation_with_14a,max_one_trade_per_session,0.262841,0.262841,0.631559,0.921706
