portfolio_set,portfolio_mode,phase13a_net_contribution,phase14a_net_contribution,phase15a_net_contribution,phase13a_trade_count,phase14a_trade_count,phase15a_trade_count,phase13a_active_days,phase14a_active_days,phase15a_active_days,incremental_active_days_from_phase13a,incremental_active_days_from_phase14a,incremental_active_days_from_phase15a,phase15a_days_existing_no_trade,phase15a_days_existing_negative_pnl,phase15a_overlap_skipped,phase15a_session_skipped
audit_c_best_reconstructed,raw_sum_diagnostic,1762.0,797.97,0.0,246,141,0,123,108,0,25,3,0,0,0,0,0
audit_c_best_reconstructed,one_trade_at_a_time_chronological,840.39,862.15,0.0,91,106,0,89,86,0,29,4,0,0,0,853,0
audit_c_best_reconstructed,max_one_trade_per_session,208.59,-316.59,0.0,45,13,0,45,13,0,45,13,0,0,0,0,1514
audit_c_best_plus_phase15a,raw_sum_diagnostic,1762.0,797.97,1259.11,246,141,154,123,108,102,20,2,1,1,48,0,0
audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,840.39,1008.87,813.21,91,103,114,89,83,102,24,2,1,1,48,896,0
audit_c_best_plus_phase15a,max_one_trade_per_session,208.59,-316.59,77.26,45,13,1,45,13,1,45,13,1,1,0,0,1667
audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,1762.0,797.97,1259.11,246,141,154,123,108,102,20,2,1,1,48,0,0
audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,840.39,1008.87,813.21,91,103,114,89,83,102,24,2,1,1,48,896,0
audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,208.59,-316.59,77.26,45,13,1,45,13,1,45,13,1,1,0,0,1667
top_cross_family_plus_13a_14a_15a,raw_sum_diagnostic,1762.0,797.97,1259.11,246,141,154,123,108,102,10,5,4,4,51,0,0
top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,415.93,829.21,813.21,95,115,114,93,87,102,16,5,4,4,51,234,0
top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,-153.6,788.72,-125.35,47,19,4,47,19,4,47,19,4,4,0,0,600
diversifier_only_13a_14a_15a,raw_sum_diagnostic,1762.0,797.97,1259.11,246,141,154,123,108,102,49,36,25,25,42,0,0
diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,407.66,820.35,813.21,125,129,114,121,97,102,57,37,26,25,42,173,0
diversifier_only_13a_14a_15a,max_one_trade_per_session,754.7,386.5,128.59,108,75,27,108,75,27,108,75,27,25,2,0,331
trend_power_only_phase15a,raw_sum_diagnostic,0.0,0.0,1259.11,0,0,154,0,0,102,0,0,102,102,0,0,0
trend_power_only_phase15a,one_trade_at_a_time_chronological,0.0,0.0,813.21,0,0,114,0,0,102,0,0,102,102,0,40,0
trend_power_only_phase15a,max_one_trade_per_session,0.0,0.0,1135.09,0,0,102,0,0,102,0,0,102,102,0,0,52
all_parked_modules_with_13a_14a_15a,raw_sum_diagnostic,1762.0,797.97,1259.11,246,141,154,123,108,102,10,2,1,1,48,0,0
all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,1107.51,1492.31,813.21,89,97,114,87,80,102,23,2,1,1,48,1028,0
all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,208.59,-153.62,77.26,45,10,1,45,10,1,45,10,1,1,0,0,1855
rare_setup_plus_15a,raw_sum_diagnostic,0.0,0.0,1259.11,0,0,154,0,0,102,0,0,63,63,15,0,0
rare_setup_plus_15a,one_trade_at_a_time_chronological,0.0,0.0,813.21,0,0,114,0,0,102,0,0,63,63,15,75,0
rare_setup_plus_15a,max_one_trade_per_session,0.0,0.0,478.95,0,0,63,0,0,63,0,0,63,63,0,0,149
greedy_low_correlation_with_15a,raw_sum_diagnostic,0.0,797.97,1109.11,0,141,104,0,108,102,0,4,6,6,48,0,0
greedy_low_correlation_with_15a,one_trade_at_a_time_chronological,0.0,1404.63,1109.11,0,104,104,0,87,102,0,4,6,6,48,96,0
greedy_low_correlation_with_15a,max_one_trade_per_session,0.0,25.47,558.06,0,19,6,0,19,6,0,19,6,6,0,0,530
