portfolio_set,portfolio_mode,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration
scheduler_d_best_reconstructed,raw_sum_diagnostic,0.275011,0.094616,0.5208,0.415161
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,0.14195,0.111891,0.377542,0.467746
scheduler_d_best_reconstructed,max_one_trade_per_session,0.377374,0.377374,0.919965,1.309204
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,0.276188,0.080935,0.530902,0.355129
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,0.161479,0.108979,0.394696,0.455573
scheduler_d_best_plus_phase16a,max_one_trade_per_session,0.377816,0.377816,0.921042,1.310737
portfolio_d_best_plus_phase16a,raw_sum_diagnostic,0.146201,0.086475,0.354257,0.353859
portfolio_d_best_plus_phase16a,one_trade_at_a_time_chronological,0.113725,0.090579,0.287074,0.351359
portfolio_d_best_plus_phase16a,max_one_trade_per_session,0.201769,0.201769,0.520167,0.752201
top_cross_family_plus_13a_14a_15a_16a,raw_sum_diagnostic,0.129769,0.094271,0.334648,0.335219
top_cross_family_plus_13a_14a_15a_16a,one_trade_at_a_time_chronological,0.206147,0.131699,0.449887,0.468309
top_cross_family_plus_13a_14a_15a_16a,max_one_trade_per_session,0.257081,0.257081,0.601238,0.925517
rare_modules_only,raw_sum_diagnostic,0.15164,0.059362,0.369891,0.227764
rare_modules_only,one_trade_at_a_time_chronological,0.404415,0.260155,0.746227,0.831165
rare_modules_only,max_one_trade_per_session,0.374423,0.374423,0.79732,1.08256
phase16a_only,raw_sum_diagnostic,0.640912,0.325735,1.385966,1.159522
phase16a_only,one_trade_at_a_time_chronological,5.601799,5.601799,9.641495,13.301287
phase16a_only,max_one_trade_per_session,1.012188,1.012188,1.74212,2.403407
diversifier_modules_all,raw_sum_diagnostic,0.253002,0.125962,0.518536,0.47387
diversifier_modules_all,one_trade_at_a_time_chronological,0.407364,0.280804,0.809183,1.045077
diversifier_modules_all,max_one_trade_per_session,0.504236,0.504236,0.984721,1.384383
greedy_low_correlation_with_phase16a,raw_sum_diagnostic,0.151761,0.113217,0.340548,0.4484
greedy_low_correlation_with_phase16a,one_trade_at_a_time_chronological,0.150481,0.092201,0.319179,0.365167
greedy_low_correlation_with_phase16a,max_one_trade_per_session,0.154855,0.154855,0.436695,0.656426
weak_regime_focused_mix,raw_sum_diagnostic,0.308993,0.038624,0.647307,0.193121
weak_regime_focused_mix,one_trade_at_a_time_chronological,1.0,1.0,1.0,1.0
weak_regime_focused_mix,max_one_trade_per_session,0.263039,0.263039,0.609209,0.848074
