portfolio_set,portfolio_mode,fold,net_pnl,stress_pnl,active_days
scheduler_d_best_reconstructed,raw_sum_diagnostic,1,-921.1,-960.1,39
scheduler_d_best_reconstructed,raw_sum_diagnostic,2,-497.86,-536.86,39
scheduler_d_best_reconstructed,raw_sum_diagnostic,3,-1115.96,-1154.96,39
scheduler_d_best_reconstructed,raw_sum_diagnostic,4,1728.66,1689.66,39
scheduler_d_best_reconstructed,raw_sum_diagnostic,5,2435.48,2396.48,39
scheduler_d_best_reconstructed,raw_sum_diagnostic,6,4931.61,4889.61,42
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,1,-815.15,-854.15,39
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,2,-264.82,-303.82,39
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,3,-416.09,-455.09,39
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,4,507.14,468.14,39
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,5,1772.75,1733.75,39
scheduler_d_best_reconstructed,one_trade_at_a_time_chronological,6,4406.59,4364.59,42
scheduler_d_best_reconstructed,max_one_trade_per_session,1,-462.58,-501.58,39
scheduler_d_best_reconstructed,max_one_trade_per_session,2,-149.45,-188.45,39
scheduler_d_best_reconstructed,max_one_trade_per_session,3,-1761.29,-1800.29,39
scheduler_d_best_reconstructed,max_one_trade_per_session,4,580.75,541.75,39
scheduler_d_best_reconstructed,max_one_trade_per_session,5,1346.09,1307.09,39
scheduler_d_best_reconstructed,max_one_trade_per_session,6,1985.43,1943.43,42
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,1,-665.73,-704.73,39
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,2,-683.3,-722.3,39
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,3,-1691.04,-1730.04,39
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,4,1406.33,1367.33,39
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,5,3582.3,3543.3,39
scheduler_d_best_plus_phase16a,raw_sum_diagnostic,6,5721.33,5678.33,43
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,1,-753.11,-792.11,39
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,2,-337.3,-376.3,39
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,3,-684.85,-723.85,39
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,4,165.2,126.2,39
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,5,2518.02,2479.02,39
scheduler_d_best_plus_phase16a,one_trade_at_a_time_chronological,6,4421.15,4378.15,43
scheduler_d_best_plus_phase16a,max_one_trade_per_session,1,-462.58,-501.58,39
scheduler_d_best_plus_phase16a,max_one_trade_per_session,2,-149.45,-188.45,39
scheduler_d_best_plus_phase16a,max_one_trade_per_session,3,-1816.1,-1855.1,39
scheduler_d_best_plus_phase16a,max_one_trade_per_session,4,356.75,317.75,39
scheduler_d_best_plus_phase16a,max_one_trade_per_session,5,1816.39,1777.39,39
scheduler_d_best_plus_phase16a,max_one_trade_per_session,6,1792.14,1749.14,43
portfolio_d_best_plus_phase16a,raw_sum_diagnostic,1,-527.47,-568.47,41
portfolio_d_best_plus_phase16a,raw_sum_diagnostic,2,-673.05,-714.05,41
portfolio_d_best_plus_phase16a,raw_sum_diagnostic,3,-461.01,-502.01,41
