signal_key,phase,candidate_id,rare_module_validation_class,fold_adequacy_status,fold_interpretability,research_track,tradability_status,portfolio_role,module_level_fold_warning,playbook_level_contribution_status,net_contribution,trade_count,active_days,overlap_count
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,rare_positive_research_signal,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,parked_module,not_available,positive_contribution,2517.19,57,57,0
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,rare_positive_research_signal,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,parked_module,not_available,positive_contribution,2517.19,57,57,0
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,rare_positive_research_signal,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,parked_module,not_available,positive_contribution,1943.33,46,46,0
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,rare_positive_research_signal,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,parked_module,not_available,positive_contribution,1943.33,46,46,0
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,rare_positive_research_signal,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,parked_module,not_available,positive_contribution,1643.5,56,56,0
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,rare_positive_research_signal,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,parked_module,not_available,positive_contribution,1643.5,56,56,0
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,rare_positive_research_signal,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,rare_setup_module,not_available,positive_contribution,682.13,45,45,0
phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,phase15a,MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,rare_uncorrelated_diversifier_candidate,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,diversifier_module,not_available,positive_contribution,150.0,50,50,0
phase15a::MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a,MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,rare_uncorrelated_diversifier_candidate,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,diversifier_module,not_available,positive_contribution,150.0,50,50,0
phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a,MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit,rare_uncorrelated_diversifier_candidate,not_available,standard_or_not_available,rare_setup_research_signal,not_tradable_low_activity,diversifier_module,not_available,positive_contribution,959.11,54,54,0
