audit,portfolio_set,portfolio_mode,fold,is_weak_fold,module_group,phase,net_pnl_contribution
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,True,phase10b overnight/prior-level branch,phase10b,-4533.27
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,True,phase11a opening range fade,phase11a,-1839.84
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,True,phase12a opening-drive pullback,phase12a,314.53
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,True,phase14a prior RTH midpoint/close reaction,phase14a,50.52
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,True,phase15a trend/power continuation,phase15a,-348.28
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,True,phase11a opening range fade,phase11a,-1774.34
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,True,phase12a opening-drive pullback,phase12a,314.53
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,True,phase15a trend/power continuation,phase15a,-348.28
B,diversifier_only_phase13a,max_one_trade_per_session,1,True,phase10b overnight/prior-level branch,phase10b,-2591.47
B,diversifier_only_phase13a,max_one_trade_per_session,1,True,phase11a opening range fade,phase11a,-1571.64
B,diversifier_only_phase13a,max_one_trade_per_session,1,True,phase12a opening-drive pullback,phase12a,438.33
B,diversifier_only_phase13a,max_one_trade_per_session,1,True,phase13a prior RTH high/low breakout,phase13a,-26.28
B,diversifier_only_phase13a,max_one_trade_per_session,1,True,phase14a prior RTH midpoint/close reaction,phase14a,112.98
B,diversifier_only_phase13a,max_one_trade_per_session,1,True,phase15a trend/power continuation,phase15a,-348.28
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,True,phase10b overnight/prior-level branch,phase10b,-4533.27
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,True,phase11a opening range fade,phase11a,-1866.22
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,True,phase12a opening-drive pullback,phase12a,314.53
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,True,phase13a prior RTH high/low breakout,phase13a,-235.64
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,True,phase14a prior RTH midpoint/close reaction,phase14a,50.52
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,True,phase15a trend/power continuation,phase15a,-397.76
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,True,phase10b overnight/prior-level branch,phase10b,-4533.27
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,True,phase11a opening range fade,phase11a,-1858.8
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,True,phase12a opening-drive pullback,phase12a,314.53
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,True,phase13a prior RTH high/low breakout,phase13a,-248.16
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,True,phase14a prior RTH midpoint/close reaction,phase14a,50.52
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,True,phase15a trend/power continuation,phase15a,-348.28
