audit,portfolio_set,portfolio_mode,fold,trading_session,daily_playbook_pnl,day_classification,phase10b_pnl,phase11a_pnl,phase12a_pnl,phase13a_pnl,phase14a_pnl,phase15a_pnl,phase13a_helped_or_hurt,phase14a_helped_or_hurt,phase15a_helped_or_hurt,module_contribution_detail,module_overlap_count
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,2025-07-14,-35.74,negative,0.0,-65.48,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-65.48,1
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,2025-07-14,-35.74,negative,0.0,-65.48,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-65.48,1
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,1,2025-07-14,-35.74,negative,0.0,-65.48,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-65.48,1
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,2025-07-15,45.26,positive,0.0,-85.98,0.0,90.52,0.0,0.0,helped,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit=-85.98;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=45.26;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=45.26,3
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,2025-07-15,-85.74,negative,0.0,-145.98,0.0,90.52,0.0,0.0,helped,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-145.98;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=45.26;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=45.26,3
B,diversifier_only_phase13a,max_one_trade_per_session,1,2025-07-15,45.26,positive,0.0,0.0,0.0,90.52,0.0,0.0,helped,no_contribution,no_contribution,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=45.26;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=45.26,2
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,2025-07-15,-85.74,negative,0.0,-231.95999999999998,0.0,90.52,0.0,0.0,helped,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit=-85.98;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-145.98;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=45.26;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=45.26,4
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,2025-07-15,45.26,positive,0.0,0.0,0.0,90.52,0.0,0.0,helped,no_contribution,no_contribution,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=45.26;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=45.26,2
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,1,2025-07-15,-85.74,negative,0.0,-231.95999999999998,0.0,45.26,0.0,0.0,helped,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit=-85.98;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-145.98;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=45.26,3
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,2025-07-16,-44.74,negative,0.0,-24.48,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit=-24.48,1
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,2025-07-16,-63.24,negative,0.0,-63.24,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-63.24,1
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,2025-07-16,-63.24,negative,0.0,-87.72,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit=-24.48;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-63.24,2
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,1,2025-07-16,-63.24,negative,0.0,-87.72,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit=-24.48;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-63.24,2
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,2025-07-17,-83.9,negative,0.0,0.0,120.76,-167.8,0.0,0.0,hurt,no_contribution,no_contribution,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit=120.76;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=-83.90;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=-83.90,3
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,2025-07-17,-83.9,negative,0.0,0.0,122.76,-167.8,0.0,0.0,hurt,no_contribution,no_contribution,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit=122.76;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=-83.90;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=-83.90,3
B,diversifier_only_phase13a,max_one_trade_per_session,1,2025-07-17,-83.9,negative,0.0,0.0,0.0,-167.8,0.0,0.0,hurt,no_contribution,no_contribution,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=-83.90;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=-83.90,2
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,2025-07-17,-83.9,negative,0.0,0.0,0.0,-167.8,0.0,0.0,hurt,no_contribution,no_contribution,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=-83.90;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=-83.90,2
B,rare_plus_diversifier_modules,max_one_trade_per_session,1,2025-07-17,-83.9,negative,0.0,0.0,243.52,-167.8,0.0,0.0,hurt,no_contribution,no_contribution,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit=120.76;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit=122.76;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=-83.90;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=-83.90,4
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,1,2025-07-17,-83.9,negative,0.0,0.0,122.76,-83.9,0.0,0.0,hurt,no_contribution,no_contribution,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit=122.76;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=-83.90,2
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,2025-07-18,-22.74,negative,-22.74,0.0,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1=-22.74,1
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,2025-07-18,-38.74,negative,-22.74,-38.74,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1=-22.74;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-38.74,2
B,all_parked_modules_with_phase13a,max_one_trade_per_session,1,2025-07-18,-38.74,negative,-216.40000000000003,-38.74,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1=-22.74;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2=-22.74;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1=-22.74;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2=-22.74;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1=-22.74;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2=-22.74;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1=-22.74;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2=-22.74;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1=-17.24;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2=-17.24;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-38.74,11
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,1,2025-07-18,-38.74,negative,-22.74,-38.74,0.0,0.0,0.0,0.0,no_contribution,no_contribution,no_contribution,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1=-22.74;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit=-38.74,2
B,audit_a_best_plus_phase13a,max_one_trade_per_session,1,2025-07-21,38.26,positive,0.0,0.0,0.0,76.52,0.0,0.0,helped,no_contribution,no_contribution,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=38.26;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=38.26,2
B,top_cross_family_plus_phase13a,max_one_trade_per_session,1,2025-07-21,38.26,positive,0.0,0.0,40.76,76.52,0.0,0.0,helped,no_contribution,no_contribution,phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit=40.76;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit=38.26;phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit=38.26,3
