entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,candidate_id,instrument,family,variant,params,signal_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-04-06 09:52:00-04:00,24395.25,2026-04-06 09:59:00-04:00,24408.25,stop,24408.25,24189.625,-26.0,7,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-06 09:51:00-04:00,2026-04-06,short,overnight_high_sweep,2.74,3.74,-28.740000000000002,-29.740000000000002,discovery,09:52
2026-04-06 09:53:00-04:00,24383.25,2026-04-06 09:59:00-04:00,24408.25,stop,24408.25,24189.625,-50.0,6,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-06 09:52:00-04:00,2026-04-06,short,overnight_high_sweep,2.74,3.74,-52.74,-53.74,discovery,09:53
2026-04-07 10:34:00-04:00,24137.25,2026-04-07 10:34:00-04:00,24123.75,stop,24123.75,24292.625,-27.0,0,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-07 10:33:00-04:00,2026-04-07,long,overnight_low_sweep,2.74,3.74,-29.740000000000002,-30.740000000000002,discovery,10:34
2026-04-07 12:03:00-04:00,24189.5,2026-04-07 13:36:00-04:00,24292.625,target,24123.75,24292.625,206.25,93,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-07 12:02:00-04:00,2026-04-07,long,overnight_low_sweep,2.74,3.74,203.51,202.51,discovery,12:03
2026-04-09 12:04:00-04:00,25255.75,2026-04-09 15:50:00-04:00,25267.0,stop,25267.0,25105.0,-22.5,226,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-09 12:03:00-04:00,2026-04-09,short,overnight_high_sweep,2.74,3.74,-25.240000000000002,-26.240000000000002,discovery,12:04
2026-04-10 10:33:00-04:00,25360.0,2026-04-10 11:15:00-04:00,25376.75,stop,25376.75,25280.0,-33.5,42,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-10 10:32:00-04:00,2026-04-10,short,overnight_high_sweep,2.74,3.74,-36.24,-37.24,discovery,10:33
2026-04-10 10:34:00-04:00,25361.75,2026-04-10 11:15:00-04:00,25376.75,stop,25376.75,25280.0,-30.0,41,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-10 10:33:00-04:00,2026-04-10,short,overnight_high_sweep,2.74,3.74,-32.74,-33.74,discovery,10:34
2026-04-16 10:07:00-04:00,26346.25,2026-04-16 10:17:00-04:00,26334.0,stop,26334.0,26417.5,-24.5,10,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-16 10:06:00-04:00,2026-04-16,long,overnight_low_sweep,2.74,3.74,-27.240000000000002,-28.240000000000002,discovery,10:07
2026-04-16 10:08:00-04:00,26354.25,2026-04-16 10:17:00-04:00,26334.0,stop,26334.0,26417.5,-40.5,9,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-16 10:07:00-04:00,2026-04-16,long,overnight_low_sweep,2.74,3.74,-43.24,-44.24,discovery,10:08
2026-04-17 10:51:00-04:00,26830.75,2026-04-17 11:06:00-04:00,26854.75,stop,26854.75,26644.0,-48.0,15,MNQ_overnight_levels_sweep_reverse_40x60,MNQ,overnight_levels,sweep_reverse_40x60,max_trades=2;mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,2026-04-17 10:50:00-04:00,2026-04-17,short,overnight_high_sweep,2.74,3.74,-50.74,-51.74,discovery,10:51
